# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
0.002,0,0.386,6.003,0.387,6.017,0,0,0,0,0.027,0.42,35.347,-117.809,0.999,85.232,0,0,0,256.352,70.543,11051.259,12.643,NaN,164.546,NaN,0.025,3237018.624,7997.87,0.001,1.24,0.002,0.83,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.779,103.407,900.26,1165.811,0.002,0.004
0.004,0.002,0.772,6,0.774,6.014,0,0,0,0,0.054,0.42,35.347,-117.809,0.999,84.462,0,0,0,256.325,70.516,11050.665,12.642,NaN,164.542,NaN,0.025,3233317.978,7993.609,0.002,1.24,0.003,0.83,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.712,103.407,900.26,1165.811,0.002,0.006
0.006,0.003,1.158,5.997,1.161,6.011,0,0,0,0,0.081,0.419,35.347,-117.809,0.999,83.691,0,0,0,256.298,70.489,11050.07,12.641,NaN,164.539,NaN,0.025,3230200.425,7989.348,0.003,1.241,0.004,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.644,103.407,900.26,1165.811,0.002,0.007
0.008,0.006,1.544,5.994,1.547,6.008,0,0,0,0,0.108,0.419,35.347,-117.809,0.999,82.919,0,0,0,256.271,70.462,11049.476,12.641,NaN,164.535,NaN,0.025,3227666.038,7985.088,0.004,1.241,0.005,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.576,103.407,900.26,1165.811,0.002,0.008
0.01,0.01,1.929,5.991,1.934,6.005,0.001,0,0.001,0,0.135,0.419,35.347,-117.809,0.999,82.147,0,0,0,256.244,70.435,11048.881,12.64,NaN,164.532,NaN,0.025,3225715.325,7980.827,0.005,1.241,0.007,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.509,103.407,900.259,1165.811,0.002,0.01
0.012,0.014,2.314,5.988,2.32,6.002,0.001,0,0.001,0,0.162,0.419,35.347,-117.809,0.999,81.374,0,0,0,256.217,70.408,11048.286,12.639,NaN,164.528,NaN,0.025,3224348.478,7976.567,0.007,1.241,0.01,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.441,103.407,900.259,1165.811,0.002,0.011
0.014,0.019,2.7,5.985,2.706,5.999,0.001,0,0.001,0,0.189,0.418,35.347,-117.809,0.999,80.601,0,0,0,256.19,70.381,11047.692,12.639,NaN,164.525,NaN,0.025,3223565.373,7972.306,0.009,1.241,0.012,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.373,103.407,900.259,1165.811,0.002,0.014
0.016,0.025,3.084,5.982,3.092,5.996,0.002,0,0.002,0,0.216,0.418,35.347,-117.809,0.999,79.828,0,0,0,256.163,70.354,11047.097,12.638,NaN,164.521,NaN,0.025,3223365.568,7968.045,0.012,1.241,0.016,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.306,103.407,900.259,1165.811,0.002,0.015
0.018,0.031,3.469,5.979,3.478,5.993,0.002,0,0.002,0,0.243,0.418,35.347,-117.809,0.999,79.055,0,0,0,256.136,70.327,11046.502,12.637,NaN,164.518,NaN,0.025,3223748.305,7963.785,0.014,1.241,0.019,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.238,103.407,900.259,1165.811,0.002,0.016
0.02,0.039,3.854,5.976,3.863,5.99,0.003,0,0.003,0,0.269,0.418,35.347,-117.809,0.999,78.283,0,0,0,256.109,70.3,11045.907,12.637,NaN,164.514,NaN,0.025,3224712.51,7959.524,0.017,1.241,0.023,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.17,103.407,900.259,1165.811,0.002,0.018
0.022,0.047,4.238,5.973,4.248,5.987,0.003,0,0.003,0,0.296,0.418,35.347,-117.809,0.999,77.512,0,0,0,256.082,70.273,11045.312,12.636,NaN,164.511,NaN,0.025,3226256.795,7955.264,0.021,1.241,0.028,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.103,103.407,900.259,1165.811,0.002,0.02
0.024,0.056,4.622,5.97,4.633,5.984,0.004,0,0.004,0,0.323,0.417,35.347,-117.809,0.999,76.743,0,0,0,256.056,70.246,11044.717,12.635,NaN,164.507,NaN,0.025,3228379.462,7951.003,0.025,1.241,0.033,0.831,0.371,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.17,29.899,86,0,28.035,103.407,900.258,1165.811,0.002,0.022
