Time (s),Thrust (N)
0.000000,11118.74
0.050251,10985.76
0.100503,10858.96
0.150754,10734.54
0.201005,10612.47
0.251256,10492.71
0.301508,10375.24
0.351759,10260.01
0.402010,10147.00
0.452261,10035.93
0.502513,9927.29
0.552764,9820.76
0.603015,9716.31
0.653266,9613.93
0.703518,9513.56
0.753769,9415.18
0.804020,9318.77
0.854271,9224.28
0.904523,9131.69
0.954774,9040.95
1.005025,8952.05
1.055276,8864.94
1.105528,8779.59
1.155779,8695.98
1.206030,8614.07
1.256281,8533.93
1.306533,8455.51
1.356784,8378.72
1.407035,8303.51
1.457286,8229.88
1.507538,8157.77
1.557789,8087.17
1.608040,8018.05
1.658291,7950.37
1.708543,7884.12
1.758794,7819.25
1.809045,7755.78
1.859296,7693.71
1.909548,7632.95
1.959799,7573.48
2.010050,7515.28
2.060302,7458.31
2.110553,7402.56
2.160804,7348.01
2.211055,7294.61
2.261307,7242.51
2.311558,7191.64
2.361809,7141.86
2.412060,7093.27
2.462312,7045.78
2.512563,6999.33
2.562814,6953.91
2.613065,6909.48
2.663317,6866.03
2.713568,6823.54
2.763819,6781.98
2.814070,6741.34
2.864322,6701.60
2.914573,6662.85
2.964824,6625.03
3.015075,6588.06
3.065327,6551.91
3.115578,6516.57
3.165829,6482.01
3.216080,6448.24
3.266332,6415.21
3.316583,6382.92
3.366834,6351.42
3.417085,6320.80
3.467337,6290.88
3.517588,6261.63
3.567839,6233.05
3.618090,6205.12
3.668342,5172.61
3.718593,5168.65
3.768844,5164.75
3.819095,5160.92
3.869347,5157.14
3.919598,5153.43
3.969849,5149.78
4.020101,5146.19
4.070352,5142.65
4.120603,5139.17
4.170854,5135.75
4.221106,5132.38
4.271357,5129.06
4.321608,5125.79
4.371859,5122.57
4.422111,5119.40
4.472362,5116.28
4.522613,5113.21
4.572864,5110.18
4.623116,5107.20
4.673367,5104.27
4.723618,5101.37
4.773869,5098.52
4.824121,5095.71
4.874372,5092.95
4.924623,5090.22
4.974874,5087.53
5.025126,5084.88
5.075377,5082.27
5.125628,5079.70
5.175879,5077.16
5.226131,5074.66
5.276382,5072.19
5.326633,5069.76
5.376884,5067.36
5.427136,5064.99
5.477387,5062.66
5.527638,5060.35
5.577889,5058.08
5.628141,5055.84
5.678392,5053.63
5.728643,5051.45
5.778894,5049.29
5.829146,5047.17
5.879397,5045.07
5.929648,5043.00
5.979899,5040.96
6.030151,5038.94
6.080402,5036.95
6.130653,5034.98
6.180905,5033.04
6.231156,5031.12
6.281407,5029.22
6.331658,5027.35
6.381910,5025.50
6.432161,5023.68
6.482412,5021.87
6.532663,5020.09
6.582915,5018.33
6.633166,5016.59
6.683417,5014.87
6.733668,4992.58
6.783920,4969.15
6.834171,4946.36
6.884422,4925.69
6.934673,4906.18
6.984925,4887.18
7.035176,4869.78
7.085427,4853.55
7.135678,4837.72
7.185930,4823.07
7.236181,4809.56
7.286432,4796.38
7.336683,4783.93
7.386935,4772.59
7.437186,4761.52
7.487437,4750.79
7.537688,4741.34
7.587940,4732.10
7.638191,4723.08
7.688442,4714.83
7.738693,4707.04
7.788945,4699.44
7.839196,4692.01
7.889447,4685.43
7.939698,4679.00
7.989950,4672.71
8.040201,4666.58
8.090452,4661.11
8.140704,4655.74
8.190955,4650.49
8.241206,4645.35
8.291457,4640.63
8.341709,4636.15
8.391960,4631.75
8.442211,4627.45
8.492462,4623.23
8.542714,4619.32
8.592965,4615.57
8.643216,4611.89
8.693467,4608.28
8.743719,4604.75
8.793970,4601.28
8.844221,4598.12
8.894472,4595.03
8.944724,4592.01
8.994975,4589.04
9.045226,4586.12
9.095477,4583.26
9.145729,4580.44
9.195980,4577.79
9.246231,4575.21
9.296482,4510.48
9.346734,4509.05
9.396985,4507.64
9.447236,4506.23
9.497487,4504.83
9.547739,4503.44
9.597990,4502.06
9.648241,4500.69
9.698492,4499.32
9.748744,4497.97
9.798995,4496.62
9.849246,4495.28
9.899497,4493.95
9.949749,4492.63
10.000000,4491.31
