,Idle,Armed,Press Standby,Dome Press,COPV Fill,Fuel Press,LOX Press,Vent,Dome Vent,High Press Vent,Fuel Tank Vent,Ready,Fire,Flow Test
Fuel Upstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High Press CTRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dome CTRL Vent,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuel Main,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Dome CTRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ox Upstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuel Fill Press,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High Press Vent,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuel Fill Vent,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Low Press Vent,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ox Main,0,0,0,0,0,0,0,0,0,0,0,0,0,1
