Time (s),Thrust (N)
0.000000,11118.74
0.050251,10801.08
0.100503,10500.92
0.150754,10214.36
0.201005,9940.87
0.251256,9680.99
0.301508,9434.19
0.351759,9200.01
0.402010,8978.11
0.452261,8768.04
0.502513,8570.45
0.552764,8384.62
0.603015,8210.36
0.653266,8047.49
0.703518,7895.08
0.753769,7753.45
0.804020,7621.37
0.854271,7498.65
0.904523,7385.37
0.954774,7280.47
1.005025,7183.57
1.055276,7094.37
1.105528,7011.25
1.155779,6933.73
1.206030,6861.70
1.256281,6795.60
1.306533,6733.14
1.356784,6674.09
1.407035,5641.00
1.457286,5602.99
1.507538,5565.96
1.557789,5529.91
1.608040,5494.84
1.658291,5460.73
1.708543,5428.38
1.758794,5397.90
1.809045,5368.32
1.859296,5339.64
1.909548,5311.86
1.959799,5284.98
2.010050,5259.00
2.060302,5235.18
2.110553,5212.60
2.160804,5190.65
2.211055,5169.24
2.261307,5148.34
2.311558,5127.95
2.361809,5108.97
2.412060,5091.07
2.462312,5073.59
2.512563,5056.53
2.562814,5039.88
2.613065,5023.62
2.663317,5008.32
2.713568,4994.10
2.763819,4980.20
2.814070,4966.64
2.864322,4953.39
2.914573,4940.44
2.964824,4927.89
3.015075,4916.61
3.065327,4905.59
3.115578,4894.82
3.165829,4884.29
3.216080,4873.99
3.266332,4863.94
3.316583,4854.34
3.366834,4845.55
3.417085,4836.96
3.467337,4828.55
3.517588,4820.33
3.567839,4812.28
3.618090,4804.41
3.668342,4796.70
3.718593,4789.63
3.768844,4782.87
3.819095,4776.25
3.869347,4769.76
3.919598,4763.41
3.969849,4757.19
4.020101,4751.10
4.070352,4745.13
4.120603,4641.05
4.170854,4638.92
4.221106,4636.79
4.271357,4634.68
4.321608,4632.58
4.371859,4630.50
4.422111,4628.43
4.472362,4626.37
4.522613,4624.32
4.572864,4622.29
4.623116,4620.27
4.673367,4618.26
4.723618,4616.26
4.773869,4614.28
4.824121,4612.31
4.874372,4610.35
4.924623,4608.40
4.974874,4606.48
5.025126,4604.58
5.075377,4602.69
5.125628,4600.82
5.175879,4598.95
5.226131,4597.10
5.276382,4595.26
5.326633,4593.43
5.376884,4591.61
5.427136,4589.80
5.477387,4588.01
5.527638,4586.22
5.577889,4584.45
5.628141,4582.69
5.678392,4580.94
5.728643,4579.20
5.778894,4577.47
5.829146,4575.75
5.879397,4574.05
5.929648,4572.35
5.979899,4570.67
6.030151,4568.99
6.080402,4567.33
6.130653,4565.68
6.180905,4564.03
6.231156,4562.40
6.281407,4560.78
6.331658,4559.17
6.381910,4557.57
6.432161,4555.98
6.482412,4554.40
6.532663,4552.83
6.582915,4551.27
6.633166,4549.72
6.683417,4548.18
6.733668,4546.65
6.783920,4545.13
6.834171,4543.62
6.884422,4542.12
6.934673,4540.63
6.984925,4539.15
7.035176,4537.68
7.085427,4536.22
7.135678,4534.77
7.185930,4533.33
7.236181,4531.89
7.286432,4530.47
7.336683,4529.06
7.386935,4527.65
7.437186,4526.26
7.487437,4524.87
7.537688,4523.50
7.587940,4522.13
7.638191,4520.77
7.688442,4519.42
7.738693,4518.08
7.788945,4516.75
7.839196,4515.43
7.889447,4514.11
7.939698,4512.81
7.989950,4511.51
8.040201,4510.22
8.090452,4508.95
8.140704,4507.68
8.190955,4506.41
8.241206,4505.16
8.291457,4503.92
8.341709,4502.68
8.391960,4501.45
8.442211,4500.24
8.492462,4499.02
8.542714,4497.82
8.592965,4496.63
8.643216,4495.44
8.693467,4494.26
8.743719,4493.10
8.793970,4491.93
8.844221,4490.78
8.894472,4489.64
8.944724,4488.50
8.994975,4487.37
9.045226,4486.25
9.095477,4485.13
9.145729,4484.03
9.195980,4482.93
9.246231,4481.84
9.296482,4480.76
9.346734,4479.68
9.396985,4478.61
9.447236,4477.56
9.497487,4476.50
9.547739,4475.46
9.597990,4474.42
9.648241,4473.39
9.698492,4472.37
9.748744,4471.36
9.798995,4470.35
9.849246,4469.35
9.899497,4468.36
9.949749,4467.37
10.000000,4466.39
