month,n_soundings,L_fit_mean_k_per_km,L_fit_sd,L_fit_p05,L_fit_p95,L_eq7_mean_k_per_km,L_isa_k_per_km
1,48,-5.919,0.626,-7.137,-4.994,-6.012,-6.500
2,74,-6.259,0.733,-7.410,-5.149,-6.227,-6.500
3,135,-6.486,0.536,-7.352,-5.582,-6.716,-6.500
4,91,-6.716,0.644,-7.748,-5.567,-7.197,-6.500
5,56,-6.851,0.704,-7.942,-5.727,-7.660,-6.500
6,54,-6.804,0.726,-7.821,-5.528,-7.941,-6.500
7,78,-7.079,0.515,-7.831,-6.230,-8.697,-6.500
8,66,-6.894,0.587,-7.824,-5.875,-8.202,-6.500
9,103,-6.468,0.655,-7.486,-5.466,-7.805,-6.500
10,74,-6.304,0.621,-7.348,-5.229,-7.097,-6.500
11,71,-5.931,0.571,-6.772,-4.720,-6.365,-6.500
12,65,-6.012,0.646,-7.038,-4.986,-6.464,-6.500
