month,n_soundings,H_msl_m,H_agl_ft,T_mean_k,T_sd_k,T_p05_k,T_p50_k,T_p95_k,eq7_minus_measured_k
1,72,630,0,278.31,11.08,257.53,280.37,293.58,+0.00
1,72,880,820,281.99,3.49,276.39,281.86,287.19,-5.16
1,72,1130,1640,281.81,3.55,276.01,281.67,287.77,-6.47
1,72,1380,2461,280.62,3.70,274.50,280.68,286.81,-6.77
1,72,1630,3281,279.62,4.03,272.78,279.97,285.63,-7.25
1,72,1880,4101,278.58,4.40,270.80,279.20,284.88,-7.70
1,72,2130,4921,277.68,4.72,268.91,278.49,283.99,-8.29
1,72,2380,5741,276.74,4.88,267.19,277.74,283.05,-8.84
1,72,2630,6562,275.83,5.10,265.95,276.94,282.54,-9.41
1,72,2880,7382,274.78,5.19,265.07,276.62,281.38,-9.85
1,72,3130,8202,273.59,5.06,264.01,275.17,279.98,-10.14
1,72,3380,9022,272.28,4.94,262.44,273.39,278.43,-10.32
1,72,3630,9843,270.91,4.92,261.12,272.21,276.70,-10.43
1,72,3880,10663,269.37,4.89,259.70,270.50,275.55,-10.39
1,72,4130,11483,267.85,4.87,259.34,268.65,273.96,-10.35
1,72,4380,12303,266.20,4.88,257.60,267.01,272.43,-10.19
1,72,4630,13123,264.46,4.97,255.55,265.18,270.44,-9.93
1,72,4880,13944,262.79,5.08,253.56,263.49,268.89,-9.75
1,72,5130,14764,261.05,5.12,251.73,261.56,267.05,-9.50
1,72,5380,15584,259.29,5.16,250.14,259.71,265.51,-9.22
1,72,5630,16404,257.51,5.23,248.29,257.80,263.60,-8.93
1,72,5880,17224,255.64,5.31,245.99,255.81,261.98,-8.54
1,72,6130,18045,253.83,5.35,243.91,254.06,260.52,-8.22
1,72,6380,18865,251.92,5.40,242.07,252.11,258.87,-7.80
1,72,6630,19685,250.00,5.40,240.16,250.36,256.74,-7.37
1,72,6880,20505,248.12,5.35,239.00,248.67,254.70,-6.97
1,72,7130,21325,246.36,5.31,238.39,246.82,253.00,-6.70
1,72,7380,22146,244.63,4.94,236.54,245.15,251.45,-6.46
1,72,7630,22966,242.79,4.60,235.00,243.02,249.37,-6.10
1,72,7880,23786,240.98,4.36,233.23,241.20,247.32,-5.78
1,72,8130,24606,239.09,4.13,232.81,239.00,245.18,-5.38
1,72,8380,25427,237.20,3.95,231.49,236.93,243.05,-4.97
2,110,630,0,281.83,11.80,259.10,283.30,296.90,+0.00
2,110,880,820,283.23,5.28,274.32,283.81,290.74,-2.97
2,110,1130,1640,282.20,5.24,273.18,282.99,289.77,-3.51
2,110,1380,2461,280.83,5.40,271.78,281.86,288.82,-3.71
2,110,1630,3281,279.37,5.51,270.27,280.43,287.73,-3.82
2,110,1880,4101,277.87,5.55,268.38,278.81,286.11,-3.90
2,110,2130,4921,276.30,5.67,266.24,277.32,284.72,-3.89
2,110,2380,5741,274.87,5.64,264.44,275.94,283.05,-4.03
2,110,2630,6562,273.61,5.58,262.92,274.54,281.73,-4.35
2,110,2880,7382,272.44,5.47,261.50,273.04,280.43,-4.75
2,110,3130,8202,271.19,5.47,260.75,271.52,279.19,-5.07
2,110,3380,9022,269.95,5.42,260.30,270.21,278.04,-5.40
2,110,3630,9843,268.67,5.43,258.87,268.87,277.41,-5.70
2,110,3880,10663,267.21,5.40,257.61,267.43,275.86,-5.80
2,110,4130,11483,265.66,5.39,255.70,265.71,274.41,-5.83
2,110,4380,12303,264.08,5.40,254.16,263.95,272.84,-5.82
2,110,4630,13123,262.45,5.38,252.26,262.33,271.15,-5.76
2,110,4880,13944,260.85,5.33,251.21,260.61,269.25,-5.73
2,110,5130,14764,259.24,5.28,250.38,259.03,267.34,-5.70
2,110,5380,15584,257.57,5.12,249.67,257.56,265.90,-5.59
2,110,5630,16404,255.86,5.16,247.61,256.05,264.42,-5.45
2,110,5880,17224,254.01,5.19,245.43,254.14,262.62,-5.18
2,110,6130,18045,252.18,5.17,243.32,252.39,260.78,-4.91
2,110,6380,18865,250.34,5.01,241.92,250.33,259.12,-4.65
2,110,6630,19685,248.45,4.91,240.62,248.32,257.06,-4.33
2,110,6880,20505,246.54,4.87,239.02,246.25,254.99,-3.99
2,110,7130,21325,244.64,4.79,237.52,244.33,252.90,-3.67
2,110,7380,22146,242.76,4.77,235.83,242.56,251.04,-3.35
2,110,7630,22966,240.83,4.74,233.88,240.51,249.23,-3.00
2,110,7880,23786,238.94,4.69,231.79,238.47,247.55,-2.68
2,110,8130,24606,237.10,4.62,229.84,236.30,245.96,-2.41
2,110,8380,25427,235.25,4.56,228.21,234.63,243.93,-2.13
3,183,630,0,286.28,10.81,267.56,286.57,303.55,+0.00
3,183,880,820,285.75,5.46,278.16,285.08,296.33,-1.15
3,183,1130,1640,284.46,5.57,276.78,284.31,295.58,-1.53
3,183,1380,2461,282.73,5.73,274.71,282.06,293.96,-1.48
3,183,1630,3281,281.00,5.83,272.84,280.25,292.66,-1.43
3,183,1880,4101,279.20,5.87,270.87,278.24,291.53,-1.31
3,183,2130,4921,277.59,5.87,268.88,277.41,290.23,-1.38
3,183,2380,5741,276.20,5.89,267.35,275.97,289.13,-1.67
3,183,2630,6562,275.01,5.88,265.92,275.39,287.87,-2.15
3,183,2880,7382,273.71,5.88,264.13,274.16,285.99,-2.53
3,183,3130,8202,272.42,5.82,262.07,272.69,284.10,-2.92
3,183,3380,9022,271.07,5.74,261.17,271.43,282.45,-3.25
3,183,3630,9843,269.67,5.72,259.57,269.97,281.01,-3.53
3,183,3880,10663,268.20,5.71,257.56,268.52,279.45,-3.74
3,183,4130,11483,266.64,5.71,255.75,267.12,277.51,-3.86
3,183,4380,12303,265.01,5.69,254.43,265.47,275.76,-3.91
3,183,4630,13123,263.29,5.72,253.48,264.02,273.84,-3.87
3,183,4880,13944,261.59,5.73,251.30,262.33,272.49,-3.84
3,183,5130,14764,259.84,5.77,248.98,260.54,270.67,-3.77
3,183,5380,15584,258.07,5.78,246.60,258.78,268.83,-3.68
3,183,5630,16404,256.32,5.79,245.02,256.93,267.02,-3.61
3,183,5880,17224,254.52,5.82,243.06,255.33,265.16,-3.49
3,183,6130,18045,252.70,5.81,241.14,253.42,262.99,-3.34
3,183,6380,18865,250.89,5.73,240.61,251.64,261.08,-3.22
3,183,6630,19685,249.05,5.64,238.42,249.74,259.53,-3.06
3,183,6880,20505,247.19,5.57,236.95,247.86,257.51,-2.87
3,183,7130,21325,245.33,5.37,235.43,245.90,255.75,-2.69
3,183,7380,22146,243.43,5.17,234.27,243.70,253.99,-2.48
3,183,7630,22966,241.50,5.04,233.11,241.64,252.13,-2.22
3,183,7880,23786,239.63,4.85,231.73,239.52,250.14,-2.03
3,183,8130,24606,237.70,4.71,230.08,237.42,247.96,-1.78
3,183,8380,25427,235.84,4.52,228.88,235.45,245.80,-1.60
4,125,630,0,290.47,13.77,270.69,291.50,308.29,+0.00
4,125,880,820,289.61,5.41,281.44,289.18,298.47,-0.91
