month,n_soundings,H_msl_m,H_agl_ft,u_mean_ms,v_mean_ms,spd_mean_ms,spd_sd_ms,spd_p05_ms,spd_p50_ms,spd_p95_ms,dir_mean_deg
1,613,630,0,0.45,0.19,3.23,2.42,0.49,2.79,7.19,247.6
1,613,880,820,-0.37,-1.17,3.74,3.36,0.61,2.56,10.73,17.5
1,613,1130,1640,0.05,-1.82,4.85,3.89,0.70,3.46,12.51,358.4
1,613,1380,2461,0.52,-2.12,6.03,3.98,1.13,5.25,13.20,346.3
1,613,1630,3281,1.14,-2.31,6.81,4.00,1.23,6.11,13.55,333.7
1,613,1880,4101,1.64,-2.32,7.39,4.04,1.72,6.93,14.31,324.7
1,613,2130,4921,2.07,-2.29,8.01,4.24,1.93,7.49,15.52,317.8
1,613,2380,5741,2.52,-2.15,8.70,4.50,2.27,8.35,16.70,310.5
1,613,2630,6562,3.08,-2.15,9.45,4.96,2.52,8.99,18.14,304.8
1,613,2880,7382,3.62,-2.26,10.12,5.38,2.57,9.64,19.78,302.0
1,613,3130,8202,4.15,-2.43,10.76,5.74,2.75,10.03,21.47,300.4
1,613,3380,9022,4.68,-2.68,11.44,6.12,2.70,10.70,23.38,299.8
1,613,3630,9843,5.29,-3.07,12.28,6.53,3.37,11.12,24.85,300.1
1,613,3880,10663,6.06,-3.40,13.14,6.94,3.58,12.13,26.13,299.3
1,613,4130,11483,6.74,-3.64,13.89,7.27,3.95,12.78,27.12,298.4
1,613,4380,12303,7.40,-3.93,14.63,7.59,4.12,13.55,28.54,298.0
1,613,4630,13123,8.11,-4.15,15.37,7.85,4.25,14.41,30.15,297.1
1,613,4880,13944,8.75,-4.48,16.10,8.18,4.81,14.93,32.01,297.1
1,613,5130,14764,9.36,-4.69,16.85,8.61,5.20,15.81,33.61,296.6
1,613,5380,15584,9.94,-4.83,17.56,9.05,4.85,16.39,34.62,295.9
1,613,5630,16404,10.54,-4.96,18.23,9.47,5.15,16.90,34.93,295.2
1,613,5880,17224,11.05,-5.12,18.92,9.84,4.82,17.68,37.78,294.9
1,613,6130,18045,11.52,-5.29,19.63,10.14,4.99,18.28,39.67,294.7
1,613,6380,18865,12.01,-5.49,20.33,10.48,5.23,19.12,40.73,294.6
1,613,6630,19685,12.58,-5.62,21.10,10.81,5.41,19.91,41.30,294.1
1,613,6880,20505,13.07,-5.74,21.76,11.18,5.30,20.11,42.71,293.7
1,613,7130,21325,13.59,-5.88,22.47,11.49,5.81,20.90,43.70,293.4
1,613,7380,22146,14.12,-6.03,23.14,11.75,5.72,21.41,45.40,293.1
1,613,7630,22966,14.68,-6.19,23.88,12.03,6.11,22.65,46.39,292.9
1,613,7880,23786,15.24,-6.23,24.66,12.34,6.70,23.01,47.20,292.3
1,613,8130,24606,15.81,-6.32,25.40,12.67,6.30,23.49,47.75,291.8
1,613,8380,25427,16.36,-6.49,26.15,13.03,6.67,23.97,49.25,291.6
2,562,630,0,-0.05,-0.21,3.83,3.97,0.72,3.07,8.26,12.6
2,562,880,820,0.47,-0.23,4.63,3.74,0.65,3.15,11.18,295.8
2,562,1130,1640,1.00,-0.51,5.51,4.17,0.67,4.38,13.07,297.2
2,562,1380,2461,1.54,-0.59,6.50,4.31,1.15,5.65,14.31,291.1
2,562,1630,3281,2.11,-0.55,7.10,4.37,1.19,6.18,14.97,284.7
2,562,1880,4101,2.65,-0.48,7.56,4.34,1.75,6.85,15.26,280.3
2,562,2130,4921,3.22,-0.31,8.14,4.60,1.86,7.39,16.84,275.4
2,562,2380,5741,3.83,-0.14,8.71,4.99,1.93,7.86,18.63,272.1
2,562,2630,6562,4.37,-0.02,9.42,5.41,2.32,8.48,20.57,270.3
2,562,2880,7382,4.86,-0.05,10.15,5.76,2.36,9.08,21.19,270.6
2,562,3130,8202,5.58,-0.23,11.00,6.12,2.78,9.90,22.83,272.4
2,562,3380,9022,6.40,-0.51,11.86,6.41,3.33,10.60,24.60,274.5
2,562,3630,9843,7.17,-0.75,12.69,6.64,3.48,11.43,24.94,275.9
2,562,3880,10663,7.91,-0.89,13.46,6.93,3.92,12.44,26.67,276.4
2,562,4130,11483,8.68,-1.00,14.25,7.26,4.14,13.14,27.69,276.6
2,562,4380,12303,9.46,-1.16,15.12,7.66,4.16,14.24,28.95,277.0
2,562,4630,13123,10.18,-1.34,16.03,8.11,4.66,15.11,30.77,277.5
2,562,4880,13944,10.90,-1.52,16.91,8.52,4.84,16.14,32.14,278.0
2,562,5130,14764,11.61,-1.61,17.75,8.85,4.77,17.15,33.31,277.9
2,562,5380,15584,12.35,-1.61,18.61,9.19,5.13,17.98,35.20,277.4
2,562,5630,16404,13.06,-1.59,19.46,9.54,5.37,19.00,37.21,276.9
2,562,5880,17224,13.72,-1.59,20.30,9.81,5.27,19.74,37.62,276.6
2,562,6130,18045,14.43,-1.66,21.20,10.18,6.02,20.69,39.63,276.6
2,562,6380,18865,15.21,-1.68,22.18,10.60,6.41,21.58,40.74,276.3
2,562,6630,19685,15.90,-1.64,23.06,11.12,6.49,22.71,42.53,275.9
2,562,6880,20505,16.54,-1.58,23.99,11.57,6.78,23.21,44.66,275.5
2,562,7130,21325,17.17,-1.60,24.89,11.95,7.41,23.64,45.94,275.3
2,562,7380,22146,17.84,-1.64,25.78,12.27,7.84,24.61,47.14,275.3
2,562,7630,22966,18.50,-1.62,26.65,12.52,8.22,25.69,48.09,275.0
2,562,7880,23786,19.14,-1.51,27.51,12.85,8.81,26.31,49.60,274.5
2,562,8130,24606,19.78,-1.48,28.35,13.17,9.30,26.98,51.01,274.3
2,562,8380,25427,20.37,-1.46,29.16,13.59,9.59,27.57,52.09,274.1
3,608,630,0,0.03,-0.12,4.58,4.32,0.98,3.54,12.72,344.5
3,608,880,820,1.41,1.14,5.37,3.59,0.86,4.69,11.79,231.0
3,608,1130,1640,1.92,0.92,6.06,3.96,1.01,5.39,13.01,244.3
3,608,1380,2461,2.34,0.79,6.66,4.22,1.10,6.24,14.47,251.3
3,608,1630,3281,2.63,0.79,7.01,4.27,1.40,6.38,14.94,253.2
3,608,1880,4101,2.99,0.90,7.42,4.34,1.63,6.78,15.80,253.2
3,608,2130,4921,3.34,0.96,7.92,4.50,1.91,7.11,16.62,254.0
3,608,2380,5741,3.62,1.04,8.38,4.68,2.28,7.42,17.79,253.9
3,608,2630,6562,3.99,1.11,8.83,4.93,2.24,8.10,18.79,254.5
3,608,2880,7382,4.46,1.12,9.36,5.33,2.19,8.67,19.93,255.8
3,608,3130,8202,5.06,1.12,10.01,5.61,2.40,9.14,20.68,257.6
3,608,3380,9022,5.76,0.99,10.72,5.77,2.86,9.68,21.49,260.3
3,608,3630,9843,6.56,0.86,11.52,5.96,3.23,10.36,22.45,262.5
3,608,3880,10663,7.37,0.68,12.41,6.21,3.72,11.54,23.11,264.7
3,608,4130,11483,8.09,0.55,13.21,6.54,3.94,12.42,24.86,266.1
3,608,4380,12303,8.78,0.47,14.04,6.91,4.17,13.08,26.16,267.0
3,608,4630,13123,9.46,0.35,14.83,7.29,4.44,13.70,28.17,267.9
3,608,4880,13944,10.13,0.21,15.69,7.64,4.61,14.48,30.05,268.8
3,608,5130,14764,10.83,0.11,16.53,8.10,4.94,15.35,32.01,269.4
3,608,5380,15584,11.54,0.08,17.38,8.59,5.13,16.35,33.28,269.6
3,608,5630,16404,12.20,0.09,18.28,8.95,5.47,17.08,33.77,269.6
3,608,5880,17224,12.87,0.05,19.16,9.29,5.77,17.93,35.91,269.8
3,608,6130,18045,13.46,0.06,20.06,9.63,5.97,18.60,37.96,269.8
3,608,6380,18865,14.13,0.05,21.00,10.14,6.19,19.67,40.35,269.8
3,608,6630,19685,14.82,0.05,21.93,10.59,6.24,20.37,42.16,269.8
3,608,6880,20505,15.47,0.09,22.76,11.13,6.26,21.13,43.88,269.7
3,608,7130,21325,16.09,0.07,23.60,11.67,6.43,22.12,45.10,269.8
3,608,7380,22146,16.74,0.11,24.41,12.12,6.77,23.05,45.96,269.6
3,608,7630,22966,17.46,0.20,25.20,12.49,7.03,23.93,47.50,269.4
3,608,7880,23786,18.19,0.24,26.00,12.80,7.03,25.00,48.12,269.3
3,608,8130,24606,18.83,0.22,26.86,13.05,7.32,25.76,49.79,269.3
3,608,8380,25427,19.52,0.22,27.66,13.39,7.42,26.40,51.60,269.3
4,582,630,0,0.01,0.24,5.39,7.01,0.95,3.78,12.80,183.5
4,582,880,820,1.69,1.27,5.83,3.94,1.03,5.08,13.37,232.9
4,582,1130,1640,2.20,0.78,6.39,4.34,0.98,5.60,14.47,250.4
4,582,1380,2461,2.46,0.41,6.75,4.39,1.01,6.06,14.86,260.6
4,582,1630,3281,2.57,0.45,6.86,4.36,1.13,6.11,15.21,260.2
4,582,1880,4101,2.77,0.64,6.97,4.33,1.40,6.12,15.50,257.0
4,582,2130,4921,3.01,0.84,7.20,4.35,1.57,6.34,15.61,254.4
4,582,2380,5741,3.31,1.02,7.49,4.54,1.77,6.54,16.32,252.8
4,582,2630,6562,3.61,1.12,7.82,4.69,1.81,6.96,17.28,252.8
4,582,2880,7382,4.03,1.18,8.15,4.86,1.87,7.23,18.63,253.7
4,582,3130,8202,4.46,1.17,8.73,5.02,2.20,7.91,18.79,255.3
4,582,3380,9022,5.07,0.92,9.29,5.17,2.48,8.60,19.16,259.7
4,582,3630,9843,5.68,0.60,9.94,5.43,2.66,9.21,20.43,264.0
4,582,3880,10663,6.32,0.31,10.73,5.70,3.01,9.99,21.42,267.2
4,582,4130,11483,6.94,-0.01,11.47,6.04,3.20,10.58,23.26,270.0
4,582,4380,12303,7.71,-0.32,12.19,6.50,3.32,11.20,24.51,272.4
4,582,4630,13123,8.49,-0.51,12.96,6.81,3.16,12.25,25.63,273.4
4,582,4880,13944,9.26,-0.59,13.76,7.25,3.70,13.01,27.97,273.6
4,582,5130,14764,10.09,-0.73,14.67,7.75,3.53,13.61,29.05,274.2
4,582,5380,15584,10.85,-0.87,15.49,8.12,4.49,14.20,30.42,274.6
4,582,5630,16404,11.66,-1.02,16.33,8.50,4.94,14.71,32.11,275.0
4,582,5880,17224,12.38,-1.09,17.19,8.82,5.23,15.61,33.22,275.0
4,582,6130,18045,13.07,-1.21,17.96,9.21,5.31,16.88,34.95,275.3
4,582,6380,18865,13.74,-1.35,18.76,9.61,5.27,17.82,36.17,275.6
4,582,6630,19685,14.41,-1.52,19.56,10.03,5.55,18.49,38.32,276.0
4,582,6880,20505,15.03,-1.64,20.33,10.40,5.58,19.40,39.68,276.2
4,582,7130,21325,15.65,-1.74,21.09,10.76,6.00,20.05,41.76,276.3
4,582,7380,22146,16.24,-1.81,21.75,11.06,6.40,20.60,43.15,276.3
4,582,7630,22966,16.89,-1.84,22.50,11.29,6.54,21.19,43.52,276.2
4,582,7880,23786,17.50,-1.85,23.24,11.49,7.16,22.05,44.07,276.0
4,582,8130,24606,18.04,-1.95,23.92,11.73,7.55,22.48,44.95,276.2
4,582,8380,25427,18.53,-1.94,24.60,11.98,7.77,22.93,45.87,276.0
5,601,630,0,-1.28,0.28,6.43,10.93,0.98,3.88,18.61,102.2
