time,BOARD.HB_51.board_type
2026-03-06 12:31:43.785684,4
2026-03-06 12:31:43.792983,4
2026-03-06 12:31:44.348365,4
2026-03-06 12:31:45.351967,4
2026-03-06 12:31:46.353302,4
2026-03-06 12:31:47.357456,4
2026-03-06 12:31:48.357709,4
2026-03-06 12:31:49.357604,4
2026-03-06 12:31:50.359416,4
2026-03-06 12:31:51.36867,4
2026-03-06 12:31:52.377731,4
2026-03-06 12:31:53.386334,4
2026-03-06 12:31:54.395633,4
2026-03-06 12:31:55.404876,4
2026-03-06 12:31:56.407426,4
2026-03-06 12:31:57.407926,4
2026-03-06 12:31:58.416654,4
2026-03-06 12:31:59.418451,4
2026-03-06 12:32:00.422717,4
2026-03-06 12:32:01.423638,4
2026-03-06 12:32:02.425308,4
2026-03-06 12:32:03.425386,4
2026-03-06 12:32:04.426846,4
2026-03-06 12:32:05.427741,4
2026-03-06 12:32:06.427827,4
2026-03-06 12:32:07.436219,4
2026-03-06 12:32:08.445339,4
2026-03-06 12:32:09.446961,4
2026-03-06 12:32:10.449189,4
2026-03-06 12:32:11.458467,4
2026-03-06 12:32:12.467558,4
2026-03-06 12:32:13.477592,4
2026-03-06 12:32:14.485435,4
2026-03-06 12:32:15.49456,4
2026-03-06 12:32:16.49483,4
2026-03-06 12:32:17.496205,4
2026-03-06 12:32:18.505277,4
2026-03-06 12:32:19.515069,4
2026-03-06 12:32:20.515177,4
2026-03-06 12:32:21.51682,4
2026-03-06 12:32:22.52641,4
2026-03-06 12:32:23.536113,4
2026-03-06 12:32:24.546011,4
2026-03-06 12:32:25.555635,4
2026-03-06 12:32:26.556006,4
2026-03-06 12:32:27.565159,4
2026-03-06 12:32:28.565631,4
2026-03-06 12:32:29.575106,4
2026-03-06 12:32:30.584361,4
2026-03-06 12:32:31.593406,4
2026-03-06 12:32:32.595046,4
2026-03-06 12:32:33.596177,4
2026-03-06 12:32:34.597509,4
2026-03-06 12:32:35.599644,4
2026-03-06 12:32:36.60917,4
2026-03-06 12:32:37.618165,4
2026-03-06 12:32:38.618215,4
2026-03-06 12:32:39.626991,4
2026-03-06 12:32:40.635841,4
2026-03-06 12:32:41.636374,4
2026-03-06 12:32:42.646346,4
2026-03-06 12:32:43.656076,4
2026-03-06 12:32:44.657144,4
2026-03-06 12:32:45.666524,4
2026-03-06 12:32:46.676747,4
2026-03-06 12:32:47.686168,4
2026-03-06 12:32:48.694353,4
2026-03-06 12:32:49.703813,4
2026-03-06 12:32:50.711929,4
2026-03-06 12:32:51.721381,4
2026-03-06 12:32:52.723633,4
2026-03-06 12:32:53.726486,4
2026-03-06 12:32:54.729473,4
2026-03-06 12:32:55.730325,4
2026-03-06 12:32:56.731567,4
2026-03-06 12:32:57.732716,4
2026-03-06 12:32:58.733705,4
2026-03-06 12:32:59.733783,4
2026-03-06 12:33:00.734217,4
2026-03-06 12:33:01.734129,4
2026-03-06 12:33:02.742914,4
2026-03-06 12:33:03.751921,4
2026-03-06 12:33:04.760557,4
2026-03-06 12:33:05.769167,4
2026-03-06 12:33:06.778902,4
2026-03-06 12:33:07.780025,4
2026-03-06 12:33:08.782097,4
2026-03-06 12:33:09.791959,4
2026-03-06 12:33:10.801284,4
2026-03-06 12:33:11.802766,4
2026-03-06 12:33:12.811945,4
2026-03-06 12:33:13.812497,4
2026-03-06 12:33:14.821215,4
2026-03-06 12:33:15.829653,4
2026-03-06 12:33:16.838674,4
2026-03-06 12:33:17.848252,4
2026-03-06 12:33:18.856539,4
2026-03-06 12:33:19.856766,4
2026-03-06 12:33:20.857762,4
2026-03-06 12:33:21.861149,4
2026-03-06 12:33:22.862184,4
2026-03-06 12:33:23.871869,4
2026-03-06 12:33:24.872927,4
2026-03-06 12:33:25.880078,4
2026-03-06 12:33:26.882775,4
2026-03-06 12:33:27.890815,4
2026-03-06 12:33:28.900456,4
2026-03-06 12:33:29.910287,4
2026-03-06 12:33:30.919171,4
2026-03-06 12:33:31.919038,4
2026-03-06 12:33:32.921042,4
2026-03-06 12:33:33.922706,4
2026-03-06 12:33:34.923778,4
2026-03-06 12:33:35.924763,4
2026-03-06 12:33:36.934741,4
2026-03-06 12:33:37.934924,4
2026-03-06 12:33:38.935601,4
2026-03-06 12:33:39.944466,4
2026-03-06 12:33:40.951975,4
2026-03-06 12:33:41.961108,4
2026-03-06 12:33:42.971054,4
2026-03-06 12:33:43.98122,4
2026-03-06 12:33:44.983032,4
2026-03-06 12:33:45.992842,4
2026-03-06 12:33:46.993768,4
2026-03-06 12:33:47.994076,4
2026-03-06 12:33:48.996301,4
2026-03-06 12:33:49.999093,4
2026-03-06 12:33:51.001338,4
2026-03-06 12:33:52.001694,4
2026-03-06 12:33:53.001923,4
2026-03-06 12:33:54.002654,4
2026-03-06 12:33:55.003733,4
2026-03-06 12:33:56.006134,4
2026-03-06 12:33:57.007639,4
2026-03-06 12:33:58.017285,4
2026-03-06 12:33:59.018726,4
2026-03-06 12:34:00.020033,4
2026-03-06 12:34:01.028557,4
2026-03-06 12:34:02.029588,4
2026-03-06 12:34:03.029699,4
2026-03-06 12:34:04.03044,4
2026-03-06 12:34:05.031663,4
2026-03-06 12:34:06.032758,4
2026-03-06 12:34:07.033032,4
2026-03-06 12:34:08.041891,4
2026-03-06 12:34:09.051818,4
2026-03-06 12:34:10.060351,4
2026-03-06 12:34:11.06137,4
2026-03-06 12:34:12.07064,4
2026-03-06 12:34:13.072046,4
2026-03-06 12:34:14.075231,4
2026-03-06 12:34:15.083635,4
2026-03-06 12:34:16.084198,4
2026-03-06 12:34:17.09419,4
2026-03-06 12:34:18.094007,4
2026-03-06 12:34:19.103288,4
2026-03-06 12:34:20.111486,4
2026-03-06 12:34:21.120335,4
2026-03-06 12:34:22.121048,4
2026-03-06 12:34:23.130737,4
2026-03-06 12:34:24.130978,4
2026-03-06 12:34:25.140027,4
2026-03-06 12:34:26.149655,4
2026-03-06 12:34:27.149451,4
2026-03-06 12:34:28.158674,4
2026-03-06 12:34:29.158677,4
2026-03-06 12:34:30.15866,4
2026-03-06 12:34:31.167981,4
2026-03-06 12:34:32.168689,4
2026-03-06 12:34:33.168908,4
2026-03-06 12:34:34.179058,4
2026-03-06 12:34:35.180647,4
2026-03-06 12:34:36.189569,4
2026-03-06 12:34:37.199727,4
2026-03-06 12:34:38.208445,4
2026-03-06 12:34:39.209066,4
2026-03-06 12:34:40.209138,4
2026-03-06 12:34:41.217873,4
2026-03-06 12:34:42.220152,4
2026-03-06 12:34:43.229697,4
2026-03-06 12:34:44.231553,4
2026-03-06 12:34:45.233754,4
2026-03-06 12:34:46.234059,4
2026-03-06 12:34:47.233827,4
2026-03-06 12:34:48.234476,4
2026-03-06 12:34:49.23468,4
2026-03-06 12:34:50.235732,4
2026-03-06 12:34:51.238243,4
2026-03-06 12:34:52.247708,4
2026-03-06 12:34:53.257192,4
2026-03-06 12:34:54.266176,4
2026-03-06 12:34:55.274696,4
2026-03-06 12:34:56.282935,4
2026-03-06 12:34:57.292718,4
2026-03-06 12:34:58.301231,4
2026-03-06 12:34:59.302131,4
2026-03-06 12:35:00.303335,4
2026-03-06 12:35:01.304212,4
2026-03-06 12:35:02.311733,4
2026-03-06 12:35:03.320305,4
2026-03-06 12:35:04.321294,4
2026-03-06 12:35:05.321891,4
2026-03-06 12:35:06.332277,4
2026-03-06 12:35:07.334305,4
2026-03-06 12:35:08.335187,4
2026-03-06 12:35:09.344797,4
2026-03-06 12:35:10.354532,4
2026-03-06 12:35:11.363024,4
2026-03-06 12:35:12.363262,4
2026-03-06 12:35:13.363719,4
2026-03-06 12:35:14.36357,4
2026-03-06 12:35:15.364238,4
2026-03-06 12:35:16.373337,4
2026-03-06 12:35:17.382773,4
2026-03-06 12:35:18.391822,4
2026-03-06 12:35:19.400767,4
2026-03-06 12:35:20.410237,4
2026-03-06 12:35:21.420194,4
2026-03-06 12:35:22.428666,4
2026-03-06 12:35:23.436685,4
2026-03-06 12:35:24.445856,4
2026-03-06 12:35:25.447693,4
2026-03-06 12:35:26.447479,4
2026-03-06 12:35:27.455337,4
2026-03-06 12:35:28.464924,4
2026-03-06 12:35:29.466524,4
2026-03-06 12:35:30.476236,4
2026-03-06 12:35:31.486525,4
