time,PT.GSE_Low.raw_adc_counts
2026-03-06 12:31:43.780355,399935640
2026-03-06 12:31:43.788243,399844677
2026-03-06 12:31:43.788816,399716000
2026-03-06 12:31:43.789249,399557292
2026-03-06 12:31:43.789666,399359911
2026-03-06 12:31:43.79004,399123071
2026-03-06 12:31:43.79036,398861881
2026-03-06 12:31:43.790448,398547058
2026-03-06 12:31:43.79054,398200646
2026-03-06 12:31:43.790626,397826230
2026-03-06 12:31:43.7907,397405455
2026-03-06 12:31:43.795332,396951973
2026-03-06 12:31:43.795783,396470670
2026-03-06 12:31:43.796125,395950718
2026-03-06 12:31:43.796504,395399078
2026-03-06 12:31:43.796798,394825936
2026-03-06 12:31:43.870986,394206605
2026-03-06 12:31:43.973033,393566051
2026-03-06 12:31:44.0744,392890544
2026-03-06 12:31:44.175879,392175570
2026-03-06 12:31:44.277109,391441608
2026-03-06 12:31:44.378683,390679957
2026-03-06 12:31:44.479046,389886374
2026-03-06 12:31:44.580379,389063979
2026-03-06 12:31:44.68153,388217774
2026-03-06 12:31:44.783164,387338846
2026-03-06 12:31:44.88369,386440349
2026-03-06 12:31:44.98459,385528287
2026-03-06 12:31:45.085734,384580155
2026-03-06 12:31:45.186741,383609655
2026-03-06 12:31:45.28768,382626399
2026-03-06 12:31:45.388187,381614573
2026-03-06 12:31:45.488924,380591605
2026-03-06 12:31:45.590212,379539053
2026-03-06 12:31:45.691162,378473000
2026-03-06 12:31:45.792397,377391622
2026-03-06 12:31:45.893404,376281564
2026-03-06 12:31:45.994587,375170073
2026-03-06 12:31:46.096722,374037153
2026-03-06 12:31:46.197682,372893392
2026-03-06 12:31:46.298941,371732093
2026-03-06 12:31:46.399977,370576019
2026-03-06 12:31:46.501086,369399645
2026-03-06 12:31:46.602098,368209275
2026-03-06 12:31:46.703596,367018736
2026-03-06 12:31:46.804365,365822699
2026-03-06 12:31:46.905898,364621519
2026-03-06 12:31:47.007287,363409204
2026-03-06 12:31:47.108101,362192989
2026-03-06 12:31:47.209823,360985352
2026-03-06 12:31:47.311068,359763944
2026-03-06 12:31:47.413095,358547580
2026-03-06 12:31:47.514002,357333106
2026-03-06 12:31:47.615265,356124258
2026-03-06 12:31:47.716672,354916930
2026-03-06 12:31:47.817614,353715278
2026-03-06 12:31:47.919973,352509555
2026-03-06 12:31:48.021263,351317331
2026-03-06 12:31:48.122551,350134630
2026-03-06 12:31:48.22375,348956925
2026-03-06 12:31:48.324931,347803564
2026-03-06 12:31:48.425996,346647959
2026-03-06 12:31:48.526831,345509146
2026-03-06 12:31:48.628508,344379057
2026-03-06 12:31:48.729899,343265825
2026-03-06 12:31:48.831195,342176112
2026-03-06 12:31:48.932187,341096834
2026-03-06 12:31:49.033461,340030964
2026-03-06 12:31:49.134195,338993563
2026-03-06 12:31:49.234506,337976325
2026-03-06 12:31:49.335533,336979640
2026-03-06 12:31:49.436056,336000951
2026-03-06 12:31:49.536804,335043215
2026-03-06 12:31:49.638115,334108710
2026-03-06 12:31:49.73913,333201026
2026-03-06 12:31:49.840367,332309308
2026-03-06 12:31:49.941733,331441590
2026-03-06 12:31:50.042885,330608800
2026-03-06 12:31:50.144673,329790813
2026-03-06 12:31:50.246588,329006150
2026-03-06 12:31:50.348276,328253731
2026-03-06 12:31:50.449223,327520436
2026-03-06 12:31:50.550403,326827504
2026-03-06 12:31:50.650978,326168204
2026-03-06 12:31:50.752562,325541242
2026-03-06 12:31:50.853256,324940000
2026-03-06 12:31:50.955053,324364999
2026-03-06 12:31:51.056105,323835047
2026-03-06 12:31:51.157804,323329485
2026-03-06 12:31:51.258883,322856480
2026-03-06 12:31:51.360956,322422937
2026-03-06 12:31:51.461402,322028344
2026-03-06 12:31:51.563073,321659982
2026-03-06 12:31:51.664333,321337140
2026-03-06 12:31:51.765593,321037195
2026-03-06 12:31:51.867102,320782929
2026-03-06 12:31:51.968594,320557438
2026-03-06 12:31:52.069959,320377159
2026-03-06 12:31:52.172107,320227038
2026-03-06 12:31:52.272983,320120980
2026-03-06 12:31:52.373624,320045616
