time,RTD.CH1.raw_resistance_counts
2026-03-06 12:31:43.786767,2025286
2026-03-06 12:31:43.788545,2023813
2026-03-06 12:31:43.788878,2022452
2026-03-06 12:31:43.789281,2021244
2026-03-06 12:31:43.7897,2019979
2026-03-06 12:31:43.790133,2018743
2026-03-06 12:31:43.790376,2017524
2026-03-06 12:31:43.790464,2016541
2026-03-06 12:31:43.790551,2015364
2026-03-06 12:31:43.790633,2014217
2026-03-06 12:31:43.794896,2013256
2026-03-06 12:31:43.795432,2012223
2026-03-06 12:31:43.795819,2011436
2026-03-06 12:31:43.796174,2010511
2026-03-06 12:31:43.796552,2009642
2026-03-06 12:31:43.856622,2008801
2026-03-06 12:31:43.957869,2007984
2026-03-06 12:31:44.058548,2007167
2026-03-06 12:31:44.159665,2006348
2026-03-06 12:31:44.260934,2005761
2026-03-06 12:31:44.361593,2005026
2026-03-06 12:31:44.46223,2004579
2026-03-06 12:31:44.563846,2004035
2026-03-06 12:31:44.665573,2003448
2026-03-06 12:31:44.76673,2002861
2026-03-06 12:31:44.867746,2002410
2026-03-06 12:31:44.969511,2001955
2026-03-06 12:31:45.070649,2001687
2026-03-06 12:31:45.172164,2001403
2026-03-06 12:31:45.273746,2000989
2026-03-06 12:31:45.374993,2000821
2026-03-06 12:31:45.476452,2000482
2026-03-06 12:31:45.577286,2000430
2026-03-06 12:31:45.678599,2000172
2026-03-06 12:31:45.780174,2000084
2026-03-06 12:31:45.881104,1999937
2026-03-06 12:31:45.982392,1999948
2026-03-06 12:31:46.084589,1999909
2026-03-06 12:31:46.185605,2000009
2026-03-06 12:31:46.287182,2000108
2026-03-06 12:31:46.389117,2000272
2026-03-06 12:31:46.490165,2000416
2026-03-06 12:31:46.591957,2000720
2026-03-06 12:31:46.69359,2000809
2026-03-06 12:31:46.794867,2001188
2026-03-06 12:31:46.895655,2001422
2026-03-06 12:31:46.997503,2001874
2026-03-06 12:31:47.098593,2002159
2026-03-06 12:31:47.199649,2002631
2026-03-06 12:31:47.301124,2003083
2026-03-06 12:31:47.402839,2003695
2026-03-06 12:31:47.503755,2004228
2026-03-06 12:31:47.604877,2004743
2026-03-06 12:31:47.706192,2005285
2026-03-06 12:31:47.807296,2005931
2026-03-06 12:31:47.909349,2006681
2026-03-06 12:31:48.010657,2007424
2026-03-06 12:31:48.112111,2008234
2026-03-06 12:31:48.213589,2009107
2026-03-06 12:31:48.314521,2009862
2026-03-06 12:31:48.41697,2010755
2026-03-06 12:31:48.518194,2011757
2026-03-06 12:31:48.619605,2012621
2026-03-06 12:31:48.72116,2013797
2026-03-06 12:31:48.821503,2014681
2026-03-06 12:31:48.923449,2015892
2026-03-06 12:31:49.024198,2016934
2026-03-06 12:31:49.124878,2018092
2026-03-06 12:31:49.225508,2019195
2026-03-06 12:31:49.326429,2020605
2026-03-06 12:31:49.427374,2021806
2026-03-06 12:31:49.528496,2023004
2026-03-06 12:31:49.6299,2024416
2026-03-06 12:31:49.731126,2025821
2026-03-06 12:31:49.832262,2027222
2026-03-06 12:31:49.93339,2028663
2026-03-06 12:31:50.034142,2030231
2026-03-06 12:31:50.135376,2031648
2026-03-06 12:31:50.236376,2033299
2026-03-06 12:31:50.33699,2034838
2026-03-06 12:31:50.438102,2036483
2026-03-06 12:31:50.539089,2038234
2026-03-06 12:31:50.639788,2039949
2026-03-06 12:31:50.741013,2041787
2026-03-06 12:31:50.842396,2043506
2026-03-06 12:31:50.943227,2045321
2026-03-06 12:31:51.044063,2047215
2026-03-06 12:31:51.145737,2049120
2026-03-06 12:31:51.246639,2051055
2026-03-06 12:31:51.348103,2053059
2026-03-06 12:31:51.449159,2055074
2026-03-06 12:31:51.550248,2057093
2026-03-06 12:31:51.651686,2059192
2026-03-06 12:31:51.752256,2061361
2026-03-06 12:31:51.853491,2063413
2026-03-06 12:31:51.955318,2065617
2026-03-06 12:31:52.056314,2067902
2026-03-06 12:31:52.158666,2070143
2026-03-06 12:31:52.259214,2072485
2026-03-06 12:31:52.361861,2075008
2026-03-06 12:31:52.46277,2077395
2026-03-06 12:31:52.5643,2079624
2026-03-06 12:31:52.665961,2082276
2026-03-06 12:31:52.76743,2084681
2026-03-06 12:31:52.869205,2087231
2026-03-06 12:31:52.970128,2089729
2026-03-06 12:31:53.071173,2092322
2026-03-06 12:31:53.172421,2095031
2026-03-06 12:31:53.272887,2097630
2026-03-06 12:31:53.37391,2100511
2026-03-06 12:31:53.474431,2103080
2026-03-06 12:31:53.575114,2105843
2026-03-06 12:31:53.675871,2108676
2026-03-06 12:31:53.777078,2111611
2026-03-06 12:31:53.878361,2114535
2026-03-06 12:31:53.980479,2117489
2026-03-06 12:31:54.081444,2120394
2026-03-06 12:31:54.182143,2123391
2026-03-06 12:31:54.283584,2126392
2026-03-06 12:31:54.384574,2129484
2026-03-06 12:31:54.485951,2132658
2026-03-06 12:31:54.58679,2135674
2026-03-06 12:31:54.688122,2138847
2026-03-06 12:31:54.788432,2142143
2026-03-06 12:31:54.889398,2145367
2026-03-06 12:31:54.990633,2148523
2026-03-06 12:31:55.091016,2151814
2026-03-06 12:31:55.191836,2155165
2026-03-06 12:31:55.292694,2158635
2026-03-06 12:31:55.393497,2161841
2026-03-06 12:31:55.494088,2165366
2026-03-06 12:31:55.594877,2168741
2026-03-06 12:31:55.696387,2172293
2026-03-06 12:31:55.79673,2175877
2026-03-06 12:31:55.898333,2179532
2026-03-06 12:31:55.999535,2183141
2026-03-06 12:31:56.101191,2186766
2026-03-06 12:31:56.202743,2190527
2026-03-06 12:31:56.304832,2194278
2026-03-06 12:31:56.40714,2197978
2026-03-06 12:31:56.507784,2201718
2026-03-06 12:31:56.609018,2205525
2026-03-06 12:31:56.710178,2209532
2026-03-06 12:31:56.812027,2213295
2026-03-06 12:31:56.91253,2217208
2026-03-06 12:31:57.013684,2221202
2026-03-06 12:31:57.114662,2225215
2026-03-06 12:31:57.215344,2229215
2026-03-06 12:31:57.316402,2233257
2026-03-06 12:31:57.417804,2237254
2026-03-06 12:31:57.518633,2241439
2026-03-06 12:31:57.619873,2245585
2026-03-06 12:31:57.720855,2249708
2026-03-06 12:31:57.821115,2253851
2026-03-06 12:31:57.922179,2258019
2026-03-06 12:31:58.023156,2262282
2026-03-06 12:31:58.123902,2266667
2026-03-06 12:31:58.225205,2270949
2026-03-06 12:31:58.326182,2275462
2026-03-06 12:31:58.427166,2279798
2026-03-06 12:31:58.528921,2284267
2026-03-06 12:31:58.630302,2288683
2026-03-06 12:31:58.732342,2293224
2026-03-06 12:31:58.833521,2297801
2026-03-06 12:31:58.935532,2302315
2026-03-06 12:31:59.037043,2306953
2026-03-06 12:31:59.138365,2311579
2026-03-06 12:31:59.239542,2316157
2026-03-06 12:31:59.34172,2320821
2026-03-06 12:31:59.443599,2325539
2026-03-06 12:31:59.544589,2330454
2026-03-06 12:31:59.646197,2335154
2026-03-06 12:31:59.747723,2339888
2026-03-06 12:31:59.84884,2344830
2026-03-06 12:31:59.950141,2349677
2026-03-06 12:32:00.051447,2354484
2026-03-06 12:32:00.152545,2359375
2026-03-06 12:32:00.253942,2364331
2026-03-06 12:32:00.35461,2369397
2026-03-06 12:32:00.455906,2374403
2026-03-06 12:32:00.556518,2379426
2026-03-06 12:32:00.657449,2384384
2026-03-06 12:32:00.757904,2389370
2026-03-06 12:32:00.859095,2394648
2026-03-06 12:32:00.960379,2399718
2026-03-06 12:32:01.06187,2404809
2026-03-06 12:32:01.163073,2410014
2026-03-06 12:32:01.26419,2415253
2026-03-06 12:32:01.365277,2420601
2026-03-06 12:32:01.466864,2425917
2026-03-06 12:32:01.568878,2431162
2026-03-06 12:32:01.669616,2436601
2026-03-06 12:32:01.770595,2441936
2026-03-06 12:32:01.871722,2447274
2026-03-06 12:32:01.972402,2452650
2026-03-06 12:32:02.073467,2458194
2026-03-06 12:32:02.174338,2463681
2026-03-06 12:32:02.275039,2468983
2026-03-06 12:32:02.375931,2474476
2026-03-06 12:32:02.476756,2480062
2026-03-06 12:32:02.577419,2485672
2026-03-06 12:32:02.678179,2491160
2026-03-06 12:32:02.77968,2496792
2026-03-06 12:32:02.881439,2502526
2026-03-06 12:32:02.982674,2508240
2026-03-06 12:32:03.083793,2514065
2026-03-06 12:32:03.185273,2519776
2026-03-06 12:32:03.287034,2525499
2026-03-06 12:32:03.388628,2531221
2026-03-06 12:32:03.489634,2537105
2026-03-06 12:32:03.590873,2542972
2026-03-06 12:32:03.692652,2548781
2026-03-06 12:32:03.794435,2554799
2026-03-06 12:32:03.896406,2560756
2026-03-06 12:32:03.997574,2566672
2026-03-06 12:32:04.099375,2572592
2026-03-06 12:32:04.199996,2578497
2026-03-06 12:32:04.301702,2584536
2026-03-06 12:32:04.403784,2590581
2026-03-06 12:32:04.50424,2596713
2026-03-06 12:32:04.605297,2602652
