time,RTD_Cal.CH2.raw_resistance
2026-03-06 12:31:43.787058,2472605
2026-03-06 12:31:43.788586,2478157
2026-03-06 12:31:43.788906,2483632
2026-03-06 12:31:43.789308,2489256
2026-03-06 12:31:43.789728,2494947
2026-03-06 12:31:43.790162,2500485
2026-03-06 12:31:43.790381,2506255
2026-03-06 12:31:43.790473,2512022
2026-03-06 12:31:43.790557,2517762
2026-03-06 12:31:43.790639,2523463
2026-03-06 12:31:43.794946,2529104
2026-03-06 12:31:43.79546,2534967
2026-03-06 12:31:43.795845,2540763
2026-03-06 12:31:43.796199,2546690
2026-03-06 12:31:43.796576,2552494
2026-03-06 12:31:43.856665,2558290
2026-03-06 12:31:43.957937,2564338
2026-03-06 12:31:44.058636,2570291
2026-03-06 12:31:44.159763,2576074
2026-03-06 12:31:44.261032,2582216
2026-03-06 12:31:44.361681,2588155
2026-03-06 12:31:44.462255,2594206
2026-03-06 12:31:44.563997,2600154
2026-03-06 12:31:44.665743,2606287
2026-03-06 12:31:44.766947,2612350
2026-03-06 12:31:44.867849,2618552
2026-03-06 12:31:44.969616,2624747
2026-03-06 12:31:45.070833,2630886
2026-03-06 12:31:45.172349,2637060
2026-03-06 12:31:45.273912,2643394
2026-03-06 12:31:45.375249,2649564
2026-03-06 12:31:45.476727,2655913
2026-03-06 12:31:45.577546,2662108
2026-03-06 12:31:45.678817,2668430
2026-03-06 12:31:45.780388,2674713
2026-03-06 12:31:45.881299,2681081
2026-03-06 12:31:45.982531,2687469
2026-03-06 12:31:46.084831,2694023
2026-03-06 12:31:46.185862,2700319
2026-03-06 12:31:46.287334,2706803
2026-03-06 12:31:46.389309,2713323
2026-03-06 12:31:46.490318,2719761
2026-03-06 12:31:46.592121,2726318
2026-03-06 12:31:46.693768,2732936
2026-03-06 12:31:46.79505,2739365
2026-03-06 12:31:46.89583,2745938
2026-03-06 12:31:46.997702,2752462
2026-03-06 12:31:47.098732,2759121
2026-03-06 12:31:47.199919,2765674
2026-03-06 12:31:47.301272,2772452
2026-03-06 12:31:47.403117,2779077
2026-03-06 12:31:47.50392,2785655
2026-03-06 12:31:47.605126,2792423
2026-03-06 12:31:47.706334,2799152
2026-03-06 12:31:47.807567,2805816
2026-03-06 12:31:47.909598,2812612
2026-03-06 12:31:48.010856,2819418
2026-03-06 12:31:48.11227,2826191
2026-03-06 12:31:48.213843,2832866
2026-03-06 12:31:48.314749,2839815
2026-03-06 12:31:48.417129,2846627
2026-03-06 12:31:48.518343,2853532
2026-03-06 12:31:48.619728,2860293
2026-03-06 12:31:48.721328,2867264
2026-03-06 12:31:48.821729,2874050
2026-03-06 12:31:48.923624,2880992
2026-03-06 12:31:49.024315,2887980
2026-03-06 12:31:49.124964,2894880
2026-03-06 12:31:49.225566,2901726
2026-03-06 12:31:49.3265,2908791
2026-03-06 12:31:49.4275,2915668
2026-03-06 12:31:49.528557,2922748
2026-03-06 12:31:49.630019,2929640
2026-03-06 12:31:49.731236,2936800
2026-03-06 12:31:49.83234,2943794
2026-03-06 12:31:49.933468,2950884
2026-03-06 12:31:50.034219,2957921
2026-03-06 12:31:50.135448,2964848
2026-03-06 12:31:50.236499,2972070
2026-03-06 12:31:50.337119,2979106
2026-03-06 12:31:50.438357,2986156
2026-03-06 12:31:50.539203,2993246
2026-03-06 12:31:50.639914,3000365
2026-03-06 12:31:50.741133,3007589
2026-03-06 12:31:50.842642,3014721
2026-03-06 12:31:50.943458,3021921
2026-03-06 12:31:51.044175,3029142
2026-03-06 12:31:51.145976,3036267
2026-03-06 12:31:51.246924,3043612
2026-03-06 12:31:51.348162,3050743
2026-03-06 12:31:51.449205,3058084
2026-03-06 12:31:51.550303,3065368
2026-03-06 12:31:51.651784,3072609
2026-03-06 12:31:51.752421,3079899
2026-03-06 12:31:51.853658,3087094
2026-03-06 12:31:51.955355,3094586
2026-03-06 12:31:52.056349,3101772
2026-03-06 12:31:52.158706,3109298
2026-03-06 12:31:52.259259,3116477
2026-03-06 12:31:52.361947,3123981
2026-03-06 12:31:52.46281,3131193
2026-03-06 12:31:52.564608,3138585
2026-03-06 12:31:52.66617,3146079
2026-03-06 12:31:52.767605,3153530
2026-03-06 12:31:52.869405,3160797
2026-03-06 12:31:52.970209,3168268
2026-03-06 12:31:53.071385,3175649
2026-03-06 12:31:53.172491,3183149
2026-03-06 12:31:53.272952,3190522
2026-03-06 12:31:53.374041,3197757
2026-03-06 12:31:53.474517,3205236
2026-03-06 12:31:53.575197,3212732
