time,ACT.Fuel_Fill_Press.actuator_state
2026-03-06 21:14:18.309678,0
2026-03-06 21:14:18.309739,1
2026-03-06 21:14:18.31058,0
2026-03-06 21:14:18.310626,1
2026-03-06 21:14:18.310676,0
2026-03-06 21:14:18.311455,1
2026-03-06 21:14:18.312134,0
2026-03-06 21:14:18.312186,1
2026-03-06 21:14:18.312236,0
2026-03-06 21:14:18.312284,1
2026-03-06 21:14:18.31233,0
2026-03-06 21:14:18.313007,1
2026-03-06 21:14:18.313053,0
2026-03-06 21:14:18.313104,1
2026-03-06 21:14:18.31315,0
2026-03-06 21:14:18.313865,1
2026-03-06 21:14:18.313916,0
2026-03-06 21:14:18.31457,1
2026-03-06 21:14:18.314616,0
2026-03-06 21:14:18.316474,1
2026-03-06 21:14:18.316658,0
2026-03-06 21:14:18.316833,1
2026-03-06 21:14:18.316984,0
2026-03-06 21:14:18.317197,1
2026-03-06 21:14:18.317252,0
2026-03-06 21:14:18.318464,1
2026-03-06 21:14:18.319293,0
2026-03-06 21:14:18.319478,1
2026-03-06 21:14:18.319662,0
2026-03-06 21:14:18.319755,1
2026-03-06 21:14:18.360258,0
2026-03-06 21:14:18.415573,1
2026-03-06 21:14:18.462288,0
2026-03-06 21:14:18.517493,1
2026-03-06 21:14:18.564607,0
2026-03-06 21:14:18.619244,1
2026-03-06 21:14:18.666024,0
2026-03-06 21:14:18.721303,1
2026-03-06 21:14:18.768376,0
2026-03-06 21:14:18.823637,1
2026-03-06 21:14:18.870451,0
2026-03-06 21:14:18.925483,1
2026-03-06 21:14:18.972264,0
2026-03-06 21:14:19.0277,1
2026-03-06 21:14:19.074264,0
2026-03-06 21:14:19.129386,1
2026-03-06 21:14:19.176612,0
2026-03-06 21:14:19.231601,1
2026-03-06 21:14:19.278418,0
2026-03-06 21:14:19.333865,1
2026-03-06 21:14:19.380147,0
2026-03-06 21:14:19.435408,1
2026-03-06 21:14:19.482357,0
2026-03-06 21:14:19.537439,1
2026-03-06 21:14:19.584933,0
2026-03-06 21:14:19.640097,1
2026-03-06 21:14:19.686787,0
2026-03-06 21:14:19.741716,1
2026-03-06 21:14:19.789018,0
2026-03-06 21:14:19.843943,1
2026-03-06 21:14:19.890225,0
2026-03-06 21:14:19.946029,1
2026-03-06 21:14:19.993461,0
2026-03-06 21:14:20.047796,1
2026-03-06 21:14:20.094208,0
2026-03-06 21:14:20.149679,1
2026-03-06 21:14:20.196623,0
2026-03-06 21:14:20.251409,1
2026-03-06 21:14:20.298652,0
2026-03-06 21:14:20.353674,1
2026-03-06 21:14:20.400579,0
2026-03-06 21:14:20.455985,1
2026-03-06 21:14:20.502404,0
2026-03-06 21:14:20.557657,1
2026-03-06 21:14:20.604736,0
2026-03-06 21:14:20.659316,1
2026-03-06 21:14:20.706465,0
2026-03-06 21:14:20.761886,1
2026-03-06 21:14:20.808901,0
2026-03-06 21:14:20.863502,1
2026-03-06 21:14:20.910392,0
2026-03-06 21:14:20.965874,1
2026-03-06 21:14:21.012558,0
2026-03-06 21:14:21.067521,1
2026-03-06 21:14:21.114809,0
2026-03-06 21:14:21.170234,1
2026-03-06 21:14:21.216431,0
2026-03-06 21:14:21.271887,1
2026-03-06 21:14:21.318615,0
2026-03-06 21:14:21.3738,1
2026-03-06 21:14:21.420629,0
2026-03-06 21:14:21.47592,1
2026-03-06 21:14:21.522895,0
2026-03-06 21:14:21.577621,1
2026-03-06 21:14:21.624698,0
2026-03-06 21:14:21.67991,1
2026-03-06 21:14:21.726418,0
2026-03-06 21:14:21.782194,1
2026-03-06 21:14:21.828508,0
2026-03-06 21:14:21.883488,1
2026-03-06 21:14:21.930664,0
2026-03-06 21:14:21.986227,1
2026-03-06 21:14:22.032987,0
2026-03-06 21:14:22.088406,1
2026-03-06 21:14:22.134849,0
2026-03-06 21:14:22.190058,1
2026-03-06 21:14:22.236693,0
2026-03-06 21:14:22.291898,1
2026-03-06 21:14:22.338462,0
2026-03-06 21:14:22.394034,1
2026-03-06 21:14:22.440705,0
2026-03-06 21:14:22.496018,1
2026-03-06 21:14:22.542782,0
2026-03-06 21:14:22.598111,1
2026-03-06 21:14:22.644812,0
2026-03-06 21:14:22.69982,1
2026-03-06 21:14:22.746519,0
2026-03-06 21:14:22.801673,1
2026-03-06 21:14:22.848446,0
2026-03-06 21:14:22.90391,1
2026-03-06 21:14:22.950569,0
2026-03-06 21:14:23.005428,1
2026-03-06 21:14:23.0525,0
2026-03-06 21:14:23.107962,1
2026-03-06 21:14:23.15457,0
2026-03-06 21:14:23.209624,1
2026-03-06 21:14:23.256444,0
2026-03-06 21:14:23.311924,1
2026-03-06 21:14:23.358369,0
2026-03-06 21:14:23.41361,1
2026-03-06 21:14:23.46051,0
2026-03-06 21:14:23.515577,1
2026-03-06 21:14:23.562767,0
2026-03-06 21:14:23.618104,1
2026-03-06 21:14:23.664872,0
2026-03-06 21:14:23.719799,1
2026-03-06 21:14:23.766679,0
2026-03-06 21:14:23.821849,1
2026-03-06 21:14:23.868407,0
2026-03-06 21:14:23.924034,1
2026-03-06 21:14:23.970849,0
2026-03-06 21:14:24.026725,1
2026-03-06 21:14:24.072438,0
2026-03-06 21:14:24.128039,1
2026-03-06 21:14:24.174366,0
2026-03-06 21:14:24.229634,1
2026-03-06 21:14:24.276362,0
2026-03-06 21:14:24.331572,1
2026-03-06 21:14:24.37892,0
2026-03-06 21:14:24.433898,1
2026-03-06 21:14:24.48085,0
2026-03-06 21:14:24.53577,1
2026-03-06 21:14:24.582248,0
2026-03-06 21:14:24.638047,1
2026-03-06 21:14:24.68476,0
2026-03-06 21:14:24.740039,1
2026-03-06 21:14:24.786692,0
2026-03-06 21:14:24.841479,1
2026-03-06 21:14:24.888638,0
2026-03-06 21:14:24.943848,1
2026-03-06 21:14:24.990867,0
2026-03-06 21:14:25.04612,1
2026-03-06 21:14:25.092787,0
2026-03-06 21:14:25.147615,1
2026-03-06 21:14:25.194808,0
2026-03-06 21:14:25.249675,1
2026-03-06 21:14:25.296771,0
2026-03-06 21:14:25.351691,1
2026-03-06 21:14:25.399071,0
2026-03-06 21:14:25.453546,1
2026-03-06 21:14:25.500754,0
2026-03-06 21:14:25.555999,1
2026-03-06 21:14:25.602915,0
2026-03-06 21:14:25.658025,1
2026-03-06 21:14:25.704773,0
2026-03-06 21:14:25.759572,1
2026-03-06 21:14:25.806665,0
2026-03-06 21:14:25.861582,1
2026-03-06 21:14:25.908621,0
2026-03-06 21:14:25.963558,1
2026-03-06 21:14:26.010348,0
2026-03-06 21:14:26.06598,1
2026-03-06 21:14:26.112932,0
2026-03-06 21:14:26.167756,1
2026-03-06 21:14:26.21455,0
2026-03-06 21:14:26.269996,1
2026-03-06 21:14:26.316871,0
2026-03-06 21:14:26.372221,1
2026-03-06 21:14:26.41891,0
2026-03-06 21:14:26.473576,1
2026-03-06 21:14:26.520407,0
2026-03-06 21:14:26.576103,1
2026-03-06 21:14:26.622898,0
2026-03-06 21:14:26.677459,1
2026-03-06 21:14:26.724963,0
2026-03-06 21:14:26.78006,1
2026-03-06 21:14:26.826882,0
2026-03-06 21:14:26.881641,1
2026-03-06 21:14:26.928626,0
2026-03-06 21:14:26.984082,1
2026-03-06 21:14:27.031174,0
2026-03-06 21:14:27.085947,1
2026-03-06 21:14:27.132862,0
2026-03-06 21:14:27.18814,1
2026-03-06 21:14:27.234544,0
2026-03-06 21:14:27.289756,1
2026-03-06 21:14:27.336668,0
2026-03-06 21:14:27.39162,1
2026-03-06 21:14:27.438827,0
2026-03-06 21:14:27.493902,1
2026-03-06 21:14:27.540541,0
2026-03-06 21:14:27.596989,1
2026-03-06 21:14:27.643043,0
2026-03-06 21:14:27.697807,1
2026-03-06 21:14:27.744862,0
2026-03-06 21:14:27.799504,1
2026-03-06 21:14:27.846966,0
2026-03-06 21:14:27.902218,1
2026-03-06 21:14:27.948728,0
2026-03-06 21:14:28.004398,1
2026-03-06 21:14:28.050639,0
2026-03-06 21:14:28.106322,1
2026-03-06 21:14:28.152759,0
2026-03-06 21:14:28.20812,1
2026-03-06 21:14:28.25468,0
2026-03-06 21:14:28.309634,1
2026-03-06 21:14:28.356732,0
2026-03-06 21:14:28.412062,1
2026-03-06 21:14:28.45835,0
2026-03-06 21:14:28.513995,1
2026-03-06 21:14:28.56067,0
2026-03-06 21:14:28.615996,1
2026-03-06 21:14:28.662716,0
2026-03-06 21:14:28.71772,1
2026-03-06 21:14:28.76464,0
2026-03-06 21:14:28.819944,1
2026-03-06 21:14:28.866932,0
2026-03-06 21:14:28.921883,1
2026-03-06 21:14:28.968976,0
2026-03-06 21:14:29.023723,1
2026-03-06 21:14:29.070753,0
2026-03-06 21:14:29.125884,1
2026-03-06 21:14:29.17252,0
2026-03-06 21:14:29.22758,1
2026-03-06 21:14:29.274661,0
2026-03-06 21:14:29.329645,1
2026-03-06 21:14:29.377241,0
2026-03-06 21:14:29.43197,1
2026-03-06 21:14:29.478616,0
2026-03-06 21:14:29.533898,1
2026-03-06 21:14:29.580599,0
2026-03-06 21:14:29.636147,1
2026-03-06 21:14:29.682505,0
2026-03-06 21:14:29.737668,1
2026-03-06 21:14:29.784709,0
2026-03-06 21:14:29.839587,1
2026-03-06 21:14:29.886503,0
2026-03-06 21:14:29.941868,1
2026-03-06 21:14:29.98904,0
2026-03-06 21:14:30.043746,1
2026-03-06 21:14:30.090808,0
2026-03-06 21:14:30.145903,1
2026-03-06 21:14:30.192892,0
2026-03-06 21:14:30.247853,1
2026-03-06 21:14:30.294663,0
2026-03-06 21:14:30.350311,1
2026-03-06 21:14:30.39634,0
2026-03-06 21:14:30.452264,1
2026-03-06 21:14:30.498901,0
2026-03-06 21:14:30.554125,1
2026-03-06 21:14:30.601022,0
2026-03-06 21:14:30.655885,1
2026-03-06 21:14:30.702853,0
2026-03-06 21:14:30.759453,1
2026-03-06 21:14:30.804694,0
2026-03-06 21:14:30.859672,1
2026-03-06 21:14:30.906944,0
2026-03-06 21:14:30.961917,1
2026-03-06 21:14:31.008751,0
2026-03-06 21:14:31.06421,1
2026-03-06 21:14:31.110599,0
2026-03-06 21:14:31.166,1
2026-03-06 21:14:31.212598,0
2026-03-06 21:14:31.268064,1
2026-03-06 21:14:31.314485,0
2026-03-06 21:14:31.369957,1
2026-03-06 21:14:31.416539,0
2026-03-06 21:14:31.471716,1
2026-03-06 21:14:31.518454,0
2026-03-06 21:14:31.574205,1
2026-03-06 21:14:31.620689,0
2026-03-06 21:14:31.675892,1
2026-03-06 21:14:31.722996,0
2026-03-06 21:14:31.778063,1
2026-03-06 21:14:31.825131,0
2026-03-06 21:14:31.880068,1
2026-03-06 21:14:31.926553,0
2026-03-06 21:14:31.981812,1
2026-03-06 21:14:32.028432,0
2026-03-06 21:14:32.08394,1
2026-03-06 21:14:32.13084,0
2026-03-06 21:14:32.185926,1
2026-03-06 21:14:32.232598,0
2026-03-06 21:14:32.287562,1
2026-03-06 21:14:32.335203,0
2026-03-06 21:14:32.389732,1
2026-03-06 21:14:32.436304,0
2026-03-06 21:14:32.492133,1
2026-03-06 21:14:32.538502,0
2026-03-06 21:14:32.593991,1
2026-03-06 21:14:32.640654,0
2026-03-06 21:14:32.695727,1
2026-03-06 21:14:32.743138,0
2026-03-06 21:14:32.798353,1
2026-03-06 21:14:32.844788,0
2026-03-06 21:14:32.899993,1
2026-03-06 21:14:32.946582,0
2026-03-06 21:14:33.002291,1
2026-03-06 21:14:33.04917,0
2026-03-06 21:14:33.10419,1
2026-03-06 21:14:33.150808,0
2026-03-06 21:14:33.205709,1
2026-03-06 21:14:33.252897,0
2026-03-06 21:14:33.307883,1
2026-03-06 21:14:33.35511,0
2026-03-06 21:14:33.41086,1
