time,ACT.Fuel_Fill_Press.sample_ts_ms
2026-03-06 21:14:18.309651,10878311
2026-03-06 21:14:18.309737,10878329
2026-03-06 21:14:18.310577,10878413
2026-03-06 21:14:18.310623,10878431
2026-03-06 21:14:18.310674,10878515
2026-03-06 21:14:18.311452,10878533
2026-03-06 21:14:18.312131,10878617
2026-03-06 21:14:18.312184,10878635
2026-03-06 21:14:18.312234,10878719
2026-03-06 21:14:18.312282,10878737
2026-03-06 21:14:18.312327,10878821
2026-03-06 21:14:18.313004,10878839
2026-03-06 21:14:18.313051,10878923
2026-03-06 21:14:18.313102,10878941
2026-03-06 21:14:18.313147,10879025
2026-03-06 21:14:18.313862,10879043
2026-03-06 21:14:18.313913,10879127
2026-03-06 21:14:18.314568,10879145
2026-03-06 21:14:18.314614,10879229
2026-03-06 21:14:18.316472,10879248
2026-03-06 21:14:18.316657,10879332
2026-03-06 21:14:18.316832,10879350
2026-03-06 21:14:18.316983,10879434
2026-03-06 21:14:18.317196,10879452
2026-03-06 21:14:18.31725,10879536
2026-03-06 21:14:18.318461,10879554
2026-03-06 21:14:18.31929,10879638
2026-03-06 21:14:18.319476,10879656
2026-03-06 21:14:18.319661,10879740
2026-03-06 21:14:18.319754,10879758
2026-03-06 21:14:18.360253,10879842
2026-03-06 21:14:18.415568,10879860
2026-03-06 21:14:18.462281,10879944
2026-03-06 21:14:18.517488,10879962
2026-03-06 21:14:18.564603,10880046
2026-03-06 21:14:18.61924,10880064
2026-03-06 21:14:18.666019,10880148
2026-03-06 21:14:18.721299,10880166
2026-03-06 21:14:18.768371,10880250
2026-03-06 21:14:18.823632,10880268
2026-03-06 21:14:18.870444,10880352
2026-03-06 21:14:18.925478,10880370
2026-03-06 21:14:18.97226,10880454
2026-03-06 21:14:19.027694,10880472
2026-03-06 21:14:19.074254,10880556
2026-03-06 21:14:19.129365,10880574
2026-03-06 21:14:19.176598,10880658
2026-03-06 21:14:19.231588,10880676
2026-03-06 21:14:19.27841,10880760
2026-03-06 21:14:19.333856,10880778
2026-03-06 21:14:19.38014,10880862
2026-03-06 21:14:19.435392,10880880
2026-03-06 21:14:19.482335,10880964
2026-03-06 21:14:19.537428,10880982
2026-03-06 21:14:19.584909,10881066
2026-03-06 21:14:19.640076,10881084
2026-03-06 21:14:19.686759,10881168
2026-03-06 21:14:19.74169,10881186
2026-03-06 21:14:19.788994,10881270
2026-03-06 21:14:19.843926,10881288
2026-03-06 21:14:19.890211,10881372
2026-03-06 21:14:19.945997,10881390
2026-03-06 21:14:19.993407,10881474
2026-03-06 21:14:20.047779,10881492
2026-03-06 21:14:20.094192,10881576
2026-03-06 21:14:20.149662,10881594
2026-03-06 21:14:20.196609,10881678
2026-03-06 21:14:20.251393,10881696
2026-03-06 21:14:20.298634,10881780
2026-03-06 21:14:20.353657,10881798
2026-03-06 21:14:20.400567,10881882
2026-03-06 21:14:20.455968,10881900
2026-03-06 21:14:20.50239,10881984
2026-03-06 21:14:20.557641,10882002
2026-03-06 21:14:20.604717,10882086
2026-03-06 21:14:20.659301,10882104
2026-03-06 21:14:20.706445,10882188
2026-03-06 21:14:20.761873,10882206
2026-03-06 21:14:20.808887,10882290
2026-03-06 21:14:20.863487,10882308
2026-03-06 21:14:20.910373,10882392
2026-03-06 21:14:20.96586,10882410
2026-03-06 21:14:21.012543,10882494
2026-03-06 21:14:21.0675,10882512
2026-03-06 21:14:21.114785,10882596
2026-03-06 21:14:21.170198,10882614
2026-03-06 21:14:21.21641,10882698
2026-03-06 21:14:21.27187,10882716
2026-03-06 21:14:21.318587,10882800
2026-03-06 21:14:21.373776,10882818
2026-03-06 21:14:21.420591,10882902
2026-03-06 21:14:21.475889,10882920
2026-03-06 21:14:21.522865,10883004
2026-03-06 21:14:21.5776,10883022
2026-03-06 21:14:21.624672,10883106
2026-03-06 21:14:21.679868,10883124
2026-03-06 21:14:21.726391,10883208
2026-03-06 21:14:21.782153,10883226
2026-03-06 21:14:21.828483,10883310
2026-03-06 21:14:21.883471,10883328
2026-03-06 21:14:21.930639,10883412
2026-03-06 21:14:21.986199,10883430
2026-03-06 21:14:22.032959,10883514
2026-03-06 21:14:22.088371,10883532
2026-03-06 21:14:22.134813,10883616
2026-03-06 21:14:22.190028,10883634
2026-03-06 21:14:22.236675,10883718
2026-03-06 21:14:22.291867,10883736
2026-03-06 21:14:22.338442,10883820
2026-03-06 21:14:22.394,10883838
2026-03-06 21:14:22.440678,10883922
2026-03-06 21:14:22.495985,10883940
2026-03-06 21:14:22.542759,10884024
2026-03-06 21:14:22.598079,10884042
2026-03-06 21:14:22.644798,10884126
2026-03-06 21:14:22.699801,10884144
2026-03-06 21:14:22.746504,10884228
2026-03-06 21:14:22.801658,10884246
2026-03-06 21:14:22.848438,10884330
2026-03-06 21:14:22.903894,10884348
2026-03-06 21:14:22.950555,10884432
2026-03-06 21:14:23.00542,10884450
2026-03-06 21:14:23.052484,10884534
2026-03-06 21:14:23.10794,10884552
2026-03-06 21:14:23.154551,10884636
2026-03-06 21:14:23.209606,10884654
2026-03-06 21:14:23.256427,10884738
2026-03-06 21:14:23.311894,10884756
2026-03-06 21:14:23.35836,10884840
2026-03-06 21:14:23.413591,10884858
2026-03-06 21:14:23.460497,10884942
2026-03-06 21:14:23.515566,10884960
2026-03-06 21:14:23.562752,10885044
2026-03-06 21:14:23.61808,10885062
2026-03-06 21:14:23.664848,10885146
2026-03-06 21:14:23.71977,10885164
2026-03-06 21:14:23.766664,10885248
2026-03-06 21:14:23.821831,10885266
2026-03-06 21:14:23.868395,10885350
2026-03-06 21:14:23.924021,10885368
2026-03-06 21:14:23.970819,10885452
2026-03-06 21:14:24.026697,10885470
2026-03-06 21:14:24.072411,10885554
2026-03-06 21:14:24.128024,10885572
2026-03-06 21:14:24.174353,10885656
2026-03-06 21:14:24.229621,10885674
2026-03-06 21:14:24.276346,10885758
2026-03-06 21:14:24.331553,10885776
2026-03-06 21:14:24.378883,10885860
2026-03-06 21:14:24.433879,10885878
2026-03-06 21:14:24.480825,10885962
2026-03-06 21:14:24.53574,10885980
2026-03-06 21:14:24.582235,10886064
2026-03-06 21:14:24.638021,10886082
2026-03-06 21:14:24.68474,10886166
2026-03-06 21:14:24.740011,10886184
2026-03-06 21:14:24.786672,10886268
2026-03-06 21:14:24.841464,10886286
2026-03-06 21:14:24.888617,10886370
2026-03-06 21:14:24.943824,10886388
2026-03-06 21:14:24.99083,10886472
2026-03-06 21:14:25.046098,10886490
2026-03-06 21:14:25.092764,10886574
2026-03-06 21:14:25.14759,10886592
2026-03-06 21:14:25.194776,10886676
2026-03-06 21:14:25.249664,10886694
2026-03-06 21:14:25.296733,10886778
2026-03-06 21:14:25.351668,10886796
2026-03-06 21:14:25.399044,10886880
2026-03-06 21:14:25.453526,10886898
2026-03-06 21:14:25.500725,10886982
2026-03-06 21:14:25.555977,10887000
2026-03-06 21:14:25.602891,10887084
2026-03-06 21:14:25.658004,10887102
2026-03-06 21:14:25.704742,10887186
2026-03-06 21:14:25.759555,10887204
2026-03-06 21:14:25.806642,10887288
2026-03-06 21:14:25.861563,10887306
2026-03-06 21:14:25.908594,10887390
2026-03-06 21:14:25.963539,10887408
2026-03-06 21:14:26.01033,10887492
2026-03-06 21:14:26.065961,10887510
2026-03-06 21:14:26.112911,10887594
2026-03-06 21:14:26.167729,10887612
2026-03-06 21:14:26.214529,10887696
2026-03-06 21:14:26.26997,10887714
2026-03-06 21:14:26.316848,10887798
2026-03-06 21:14:26.372194,10887816
2026-03-06 21:14:26.41888,10887900
2026-03-06 21:14:26.473553,10887918
2026-03-06 21:14:26.520389,10888002
2026-03-06 21:14:26.576074,10888020
2026-03-06 21:14:26.622875,10888104
2026-03-06 21:14:26.677441,10888122
2026-03-06 21:14:26.72493,10888206
2026-03-06 21:14:26.78004,10888224
2026-03-06 21:14:26.826856,10888308
2026-03-06 21:14:26.881617,10888326
2026-03-06 21:14:26.928599,10888410
2026-03-06 21:14:26.984053,10888428
2026-03-06 21:14:27.031133,10888512
2026-03-06 21:14:27.085916,10888530
2026-03-06 21:14:27.132829,10888614
2026-03-06 21:14:27.188109,10888632
2026-03-06 21:14:27.234535,10888716
2026-03-06 21:14:27.289729,10888734
2026-03-06 21:14:27.336649,10888818
2026-03-06 21:14:27.391594,10888836
2026-03-06 21:14:27.438806,10888920
2026-03-06 21:14:27.493877,10888938
2026-03-06 21:14:27.540522,10889022
2026-03-06 21:14:27.596964,10889040
2026-03-06 21:14:27.643014,10889124
2026-03-06 21:14:27.697786,10889142
2026-03-06 21:14:27.744831,10889226
2026-03-06 21:14:27.799488,10889244
2026-03-06 21:14:27.846937,10889328
2026-03-06 21:14:27.90218,10889346
2026-03-06 21:14:27.948697,10889430
2026-03-06 21:14:28.004366,10889448
2026-03-06 21:14:28.050612,10889532
2026-03-06 21:14:28.106297,10889550
2026-03-06 21:14:28.152736,10889634
2026-03-06 21:14:28.208088,10889652
2026-03-06 21:14:28.254661,10889736
2026-03-06 21:14:28.30962,10889754
2026-03-06 21:14:28.356716,10889838
2026-03-06 21:14:28.41203,10889856
2026-03-06 21:14:28.458334,10889940
2026-03-06 21:14:28.513972,10889958
2026-03-06 21:14:28.560657,10890042
2026-03-06 21:14:28.615964,10890060
2026-03-06 21:14:28.66269,10890144
2026-03-06 21:14:28.717698,10890162
2026-03-06 21:14:28.76461,10890246
2026-03-06 21:14:28.819929,10890264
2026-03-06 21:14:28.866906,10890348
2026-03-06 21:14:28.921869,10890366
2026-03-06 21:14:28.96895,10890450
2026-03-06 21:14:29.023697,10890468
2026-03-06 21:14:29.070723,10890552
2026-03-06 21:14:29.125856,10890570
2026-03-06 21:14:29.172509,10890654
2026-03-06 21:14:29.227563,10890672
2026-03-06 21:14:29.274649,10890756
2026-03-06 21:14:29.329625,10890774
2026-03-06 21:14:29.37721,10890858
2026-03-06 21:14:29.431952,10890876
2026-03-06 21:14:29.478589,10890960
2026-03-06 21:14:29.53387,10890978
2026-03-06 21:14:29.580579,10891062
2026-03-06 21:14:29.636114,10891080
2026-03-06 21:14:29.682493,10891164
2026-03-06 21:14:29.737652,10891182
2026-03-06 21:14:29.784694,10891266
2026-03-06 21:14:29.839574,10891284
2026-03-06 21:14:29.886494,10891368
2026-03-06 21:14:29.941851,10891386
2026-03-06 21:14:29.989027,10891470
2026-03-06 21:14:30.043729,10891488
2026-03-06 21:14:30.090791,10891572
2026-03-06 21:14:30.145885,10891590
2026-03-06 21:14:30.192861,10891674
2026-03-06 21:14:30.247841,10891692
2026-03-06 21:14:30.294645,10891776
2026-03-06 21:14:30.350277,10891794
2026-03-06 21:14:30.396331,10891878
2026-03-06 21:14:30.452226,10891896
2026-03-06 21:14:30.49888,10891980
2026-03-06 21:14:30.554093,10891998
2026-03-06 21:14:30.600991,10892082
2026-03-06 21:14:30.655853,10892100
2026-03-06 21:14:30.70283,10892184
2026-03-06 21:14:30.759423,10892202
2026-03-06 21:14:30.804679,10892286
2026-03-06 21:14:30.859645,10892304
2026-03-06 21:14:30.906922,10892388
