time,ACT.Fuel_Fill_Vent.actuator_state
2026-03-06 21:14:18.309373,0
2026-03-06 21:14:18.309687,1
2026-03-06 21:14:18.31052,0
2026-03-06 21:14:18.310584,1
2026-03-06 21:14:18.310633,0
2026-03-06 21:14:18.311396,1
2026-03-06 21:14:18.312074,0
2026-03-06 21:14:18.312137,1
2026-03-06 21:14:18.312193,1
2026-03-06 21:14:18.31224,1
2026-03-06 21:14:18.312287,0
2026-03-06 21:14:18.312946,1
2026-03-06 21:14:18.31301,0
2026-03-06 21:14:18.31306,1
2026-03-06 21:14:18.313108,0
2026-03-06 21:14:18.313805,1
2026-03-06 21:14:18.313872,1
2026-03-06 21:14:18.314509,1
2026-03-06 21:14:18.314573,0
2026-03-06 21:14:18.316431,1
2026-03-06 21:14:18.316625,0
2026-03-06 21:14:18.31681,1
2026-03-06 21:14:18.316957,0
2026-03-06 21:14:18.317173,1
2026-03-06 21:14:18.31723,0
2026-03-06 21:14:18.318422,1
2026-03-06 21:14:18.319241,0
2026-03-06 21:14:18.319454,1
2026-03-06 21:14:18.319637,1
2026-03-06 21:14:18.319732,1
2026-03-06 21:14:18.360146,0
2026-03-06 21:14:18.41547,1
2026-03-06 21:14:18.462179,0
2026-03-06 21:14:18.5174,1
2026-03-06 21:14:18.564506,0
2026-03-06 21:14:18.619161,1
2026-03-06 21:14:18.665933,0
2026-03-06 21:14:18.721207,1
2026-03-06 21:14:18.768287,0
2026-03-06 21:14:18.823524,1
2026-03-06 21:14:18.87029,0
2026-03-06 21:14:18.925354,1
2026-03-06 21:14:18.97217,0
2026-03-06 21:14:19.027617,1
2026-03-06 21:14:19.074131,0
2026-03-06 21:14:19.129153,1
2026-03-06 21:14:19.176431,0
2026-03-06 21:14:19.231389,1
2026-03-06 21:14:19.278283,1
2026-03-06 21:14:19.333735,1
2026-03-06 21:14:19.380052,0
2026-03-06 21:14:19.435127,1
2026-03-06 21:14:19.482049,0
2026-03-06 21:14:19.537265,1
2026-03-06 21:14:19.584556,0
2026-03-06 21:14:19.639658,1
2026-03-06 21:14:19.686307,0
2026-03-06 21:14:19.741359,1
2026-03-06 21:14:19.788613,0
2026-03-06 21:14:19.843665,1
2026-03-06 21:14:19.890009,0
2026-03-06 21:14:19.945566,1
2026-03-06 21:14:19.99272,0
2026-03-06 21:14:20.047535,1
2026-03-06 21:14:20.093982,1
2026-03-06 21:14:20.14941,1
2026-03-06 21:14:20.196377,0
2026-03-06 21:14:20.251188,1
2026-03-06 21:14:20.298407,0
2026-03-06 21:14:20.353408,1
2026-03-06 21:14:20.400405,1
2026-03-06 21:14:20.455721,1
2026-03-06 21:14:20.502183,0
2026-03-06 21:14:20.557415,1
2026-03-06 21:14:20.604453,0
2026-03-06 21:14:20.659109,1
2026-03-06 21:14:20.706228,0
2026-03-06 21:14:20.761667,1
2026-03-06 21:14:20.80874,0
2026-03-06 21:14:20.863279,1
2026-03-06 21:14:20.910188,0
2026-03-06 21:14:20.965655,1
2026-03-06 21:14:21.012394,0
2026-03-06 21:14:21.067193,1
2026-03-06 21:14:21.114497,1
2026-03-06 21:14:21.169711,1
2026-03-06 21:14:21.216185,0
2026-03-06 21:14:21.271623,1
2026-03-06 21:14:21.318265,0
2026-03-06 21:14:21.373426,1
2026-03-06 21:14:21.420259,0
2026-03-06 21:14:21.475472,1
2026-03-06 21:14:21.522473,1
2026-03-06 21:14:21.577299,1
2026-03-06 21:14:21.624319,0
2026-03-06 21:14:21.679408,1
2026-03-06 21:14:21.726042,0
2026-03-06 21:14:21.781731,1
2026-03-06 21:14:21.828095,0
2026-03-06 21:14:21.883238,1
2026-03-06 21:14:21.930316,0
2026-03-06 21:14:21.985799,1
2026-03-06 21:14:22.032545,0
2026-03-06 21:14:22.087793,1
2026-03-06 21:14:22.134353,0
2026-03-06 21:14:22.189611,1
2026-03-06 21:14:22.236388,1
2026-03-06 21:14:22.291412,1
2026-03-06 21:14:22.338168,0
2026-03-06 21:14:22.393476,1
2026-03-06 21:14:22.440337,0
2026-03-06 21:14:22.495462,1
2026-03-06 21:14:22.542448,0
2026-03-06 21:14:22.597722,1
2026-03-06 21:14:22.644573,0
2026-03-06 21:14:22.699596,1
2026-03-06 21:14:22.746296,1
2026-03-06 21:14:22.801434,1
2026-03-06 21:14:22.848229,0
2026-03-06 21:14:22.90361,1
2026-03-06 21:14:22.950393,0
2026-03-06 21:14:23.00528,1
2026-03-06 21:14:23.052258,0
2026-03-06 21:14:23.107652,1
2026-03-06 21:14:23.154304,0
2026-03-06 21:14:23.209349,1
2026-03-06 21:14:23.256214,0
2026-03-06 21:14:23.31154,1
2026-03-06 21:14:23.358082,0
2026-03-06 21:14:23.413315,1
2026-03-06 21:14:23.460306,0
2026-03-06 21:14:23.515393,1
2026-03-06 21:14:23.562509,0
2026-03-06 21:14:23.617787,1
2026-03-06 21:14:23.664496,0
2026-03-06 21:14:23.719367,1
2026-03-06 21:14:23.766477,0
2026-03-06 21:14:23.821539,1
2026-03-06 21:14:23.868213,0
2026-03-06 21:14:23.923801,1
2026-03-06 21:14:23.970441,0
2026-03-06 21:14:24.026377,1
2026-03-06 21:14:24.072076,0
2026-03-06 21:14:24.127874,1
2026-03-06 21:14:24.174147,1
2026-03-06 21:14:24.229459,1
2026-03-06 21:14:24.276133,0
2026-03-06 21:14:24.331329,1
2026-03-06 21:14:24.378399,0
2026-03-06 21:14:24.4336,1
2026-03-06 21:14:24.480493,0
2026-03-06 21:14:24.53533,1
2026-03-06 21:14:24.582061,0
2026-03-06 21:14:24.637654,1
2026-03-06 21:14:24.684459,0
2026-03-06 21:14:24.739622,1
2026-03-06 21:14:24.786389,0
2026-03-06 21:14:24.841223,1
2026-03-06 21:14:24.888337,0
2026-03-06 21:14:24.943545,1
2026-03-06 21:14:24.990268,1
2026-03-06 21:14:25.045759,1
2026-03-06 21:14:25.092462,0
2026-03-06 21:14:25.147259,1
2026-03-06 21:14:25.19438,0
2026-03-06 21:14:25.249512,1
2026-03-06 21:14:25.296274,0
2026-03-06 21:14:25.351366,1
2026-03-06 21:14:25.398643,0
2026-03-06 21:14:25.453276,1
2026-03-06 21:14:25.500293,1
2026-03-06 21:14:25.555646,1
2026-03-06 21:14:25.602547,0
2026-03-06 21:14:25.657718,1
2026-03-06 21:14:25.70428,0
2026-03-06 21:14:25.759335,1
2026-03-06 21:14:25.80635,1
2026-03-06 21:14:25.861295,1
2026-03-06 21:14:25.908205,0
2026-03-06 21:14:25.963295,1
2026-03-06 21:14:26.010063,1
2026-03-06 21:14:26.065702,1
2026-03-06 21:14:26.112589,0
2026-03-06 21:14:26.16736,1
2026-03-06 21:14:26.214227,0
2026-03-06 21:14:26.269564,1
2026-03-06 21:14:26.316495,0
2026-03-06 21:14:26.371813,1
2026-03-06 21:14:26.418513,0
2026-03-06 21:14:26.473272,1
2026-03-06 21:14:26.520138,1
2026-03-06 21:14:26.575678,1
2026-03-06 21:14:26.622532,0
2026-03-06 21:14:26.677228,1
2026-03-06 21:14:26.72458,0
2026-03-06 21:14:26.779799,1
2026-03-06 21:14:26.826475,1
2026-03-06 21:14:26.8813,1
2026-03-06 21:14:26.928203,0
2026-03-06 21:14:26.983624,1
2026-03-06 21:14:27.030663,0
2026-03-06 21:14:27.085498,1
2026-03-06 21:14:27.132332,0
2026-03-06 21:14:27.187666,1
2026-03-06 21:14:27.23435,0
2026-03-06 21:14:27.289361,1
2026-03-06 21:14:27.336352,0
2026-03-06 21:14:27.391259,1
2026-03-06 21:14:27.438499,1
2026-03-06 21:14:27.493512,1
2026-03-06 21:14:27.540148,1
2026-03-06 21:14:27.596605,1
2026-03-06 21:14:27.642595,0
2026-03-06 21:14:27.697485,1
2026-03-06 21:14:27.744511,0
2026-03-06 21:14:27.799295,1
2026-03-06 21:14:27.846585,0
2026-03-06 21:14:27.901646,1
2026-03-06 21:14:27.948377,0
2026-03-06 21:14:28.003916,1
2026-03-06 21:14:28.050264,0
2026-03-06 21:14:28.105877,1
2026-03-06 21:14:28.15244,1
2026-03-06 21:14:28.207656,1
2026-03-06 21:14:28.254397,0
2026-03-06 21:14:28.309424,1
2026-03-06 21:14:28.356509,0
2026-03-06 21:14:28.411551,1
2026-03-06 21:14:28.458088,0
2026-03-06 21:14:28.513624,1
2026-03-06 21:14:28.560454,1
2026-03-06 21:14:28.615507,1
2026-03-06 21:14:28.662318,0
2026-03-06 21:14:28.717385,1
2026-03-06 21:14:28.764194,0
