time,ACT.Fuel_Fill_Vent.sample_ts_ms
2026-03-06 21:14:18.309306,10878311
2026-03-06 21:14:18.309684,10878329
2026-03-06 21:14:18.310517,10878413
2026-03-06 21:14:18.310582,10878431
2026-03-06 21:14:18.31063,10878515
2026-03-06 21:14:18.311393,10878533
2026-03-06 21:14:18.312071,10878617
2026-03-06 21:14:18.312135,10878635
2026-03-06 21:14:18.312191,10878719
2026-03-06 21:14:18.312238,10878737
2026-03-06 21:14:18.312285,10878821
2026-03-06 21:14:18.312942,10878839
2026-03-06 21:14:18.313008,10878923
2026-03-06 21:14:18.313057,10878941
2026-03-06 21:14:18.313106,10879025
2026-03-06 21:14:18.313801,10879043
2026-03-06 21:14:18.31387,10879127
2026-03-06 21:14:18.314506,10879145
2026-03-06 21:14:18.314571,10879229
2026-03-06 21:14:18.316428,10879248
2026-03-06 21:14:18.316624,10879332
2026-03-06 21:14:18.316809,10879350
2026-03-06 21:14:18.316956,10879434
2026-03-06 21:14:18.317172,10879452
2026-03-06 21:14:18.317229,10879536
2026-03-06 21:14:18.318419,10879554
2026-03-06 21:14:18.319229,10879638
2026-03-06 21:14:18.319453,10879656
2026-03-06 21:14:18.319635,10879740
2026-03-06 21:14:18.319731,10879758
2026-03-06 21:14:18.360134,10879842
2026-03-06 21:14:18.415455,10879860
2026-03-06 21:14:18.462167,10879944
2026-03-06 21:14:18.517387,10879962
2026-03-06 21:14:18.564482,10880046
2026-03-06 21:14:18.619149,10880064
2026-03-06 21:14:18.665925,10880148
2026-03-06 21:14:18.721196,10880166
2026-03-06 21:14:18.768282,10880250
2026-03-06 21:14:18.823512,10880268
2026-03-06 21:14:18.870266,10880352
2026-03-06 21:14:18.92534,10880370
2026-03-06 21:14:18.972144,10880454
2026-03-06 21:14:19.027593,10880472
2026-03-06 21:14:19.074111,10880556
2026-03-06 21:14:19.129141,10880574
2026-03-06 21:14:19.176407,10880658
2026-03-06 21:14:19.231363,10880676
2026-03-06 21:14:19.278265,10880760
2026-03-06 21:14:19.333705,10880778
2026-03-06 21:14:19.380044,10880862
2026-03-06 21:14:19.435109,10880880
2026-03-06 21:14:19.482018,10880964
2026-03-06 21:14:19.537244,10880982
2026-03-06 21:14:19.584519,10881066
2026-03-06 21:14:19.639622,10881084
2026-03-06 21:14:19.686269,10881168
2026-03-06 21:14:19.741326,10881186
2026-03-06 21:14:19.788568,10881270
2026-03-06 21:14:19.843634,10881288
2026-03-06 21:14:19.889987,10881372
2026-03-06 21:14:19.94553,10881390
2026-03-06 21:14:19.992653,10881474
2026-03-06 21:14:20.04751,10881492
2026-03-06 21:14:20.093962,10881576
2026-03-06 21:14:20.149363,10881594
2026-03-06 21:14:20.196355,10881678
2026-03-06 21:14:20.25117,10881696
2026-03-06 21:14:20.298378,10881780
2026-03-06 21:14:20.353385,10881798
2026-03-06 21:14:20.400377,10881882
2026-03-06 21:14:20.455689,10881900
2026-03-06 21:14:20.502157,10881984
2026-03-06 21:14:20.557388,10882002
2026-03-06 21:14:20.604428,10882086
2026-03-06 21:14:20.65909,10882104
2026-03-06 21:14:20.706205,10882188
2026-03-06 21:14:20.761644,10882206
2026-03-06 21:14:20.808725,10882290
2026-03-06 21:14:20.863255,10882308
2026-03-06 21:14:20.910142,10882392
2026-03-06 21:14:20.965636,10882410
2026-03-06 21:14:21.012379,10882494
2026-03-06 21:14:21.067163,10882512
2026-03-06 21:14:21.114473,10882596
2026-03-06 21:14:21.169666,10882614
2026-03-06 21:14:21.216155,10882698
2026-03-06 21:14:21.271595,10882716
2026-03-06 21:14:21.318239,10882800
2026-03-06 21:14:21.373392,10882818
2026-03-06 21:14:21.420201,10882902
2026-03-06 21:14:21.47544,10882920
2026-03-06 21:14:21.522439,10883004
2026-03-06 21:14:21.577272,10883022
2026-03-06 21:14:21.624285,10883106
2026-03-06 21:14:21.679372,10883124
2026-03-06 21:14:21.726014,10883208
2026-03-06 21:14:21.781696,10883226
2026-03-06 21:14:21.828064,10883310
2026-03-06 21:14:21.883214,10883328
2026-03-06 21:14:21.930287,10883412
2026-03-06 21:14:21.98576,10883430
2026-03-06 21:14:22.032507,10883514
2026-03-06 21:14:22.087748,10883532
2026-03-06 21:14:22.134312,10883616
2026-03-06 21:14:22.18957,10883634
2026-03-06 21:14:22.236365,10883718
2026-03-06 21:14:22.291363,10883736
2026-03-06 21:14:22.338133,10883820
2026-03-06 21:14:22.39343,10883838
2026-03-06 21:14:22.440306,10883922
2026-03-06 21:14:22.495413,10883940
2026-03-06 21:14:22.542418,10884024
2026-03-06 21:14:22.597689,10884042
2026-03-06 21:14:22.644547,10884126
2026-03-06 21:14:22.699576,10884144
2026-03-06 21:14:22.746276,10884228
2026-03-06 21:14:22.801415,10884246
2026-03-06 21:14:22.848207,10884330
2026-03-06 21:14:22.903578,10884348
2026-03-06 21:14:22.950378,10884432
2026-03-06 21:14:23.005239,10884450
2026-03-06 21:14:23.052229,10884534
2026-03-06 21:14:23.107625,10884552
2026-03-06 21:14:23.154284,10884636
2026-03-06 21:14:23.209327,10884654
2026-03-06 21:14:23.256187,10884738
2026-03-06 21:14:23.311507,10884756
2026-03-06 21:14:23.358061,10884840
2026-03-06 21:14:23.413286,10884858
2026-03-06 21:14:23.460284,10884942
2026-03-06 21:14:23.515372,10884960
2026-03-06 21:14:23.562478,10885044
2026-03-06 21:14:23.617764,10885062
2026-03-06 21:14:23.664459,10885146
2026-03-06 21:14:23.719321,10885164
2026-03-06 21:14:23.766432,10885248
2026-03-06 21:14:23.821497,10885266
2026-03-06 21:14:23.868181,10885350
2026-03-06 21:14:23.923785,10885368
2026-03-06 21:14:23.970405,10885452
2026-03-06 21:14:24.026352,10885470
2026-03-06 21:14:24.072041,10885554
2026-03-06 21:14:24.127858,10885572
2026-03-06 21:14:24.174121,10885656
2026-03-06 21:14:24.229446,10885674
2026-03-06 21:14:24.276112,10885758
2026-03-06 21:14:24.331311,10885776
2026-03-06 21:14:24.378362,10885860
2026-03-06 21:14:24.433576,10885878
2026-03-06 21:14:24.480458,10885962
2026-03-06 21:14:24.535297,10885980
2026-03-06 21:14:24.582015,10886064
2026-03-06 21:14:24.637613,10886082
2026-03-06 21:14:24.684434,10886166
2026-03-06 21:14:24.73959,10886184
2026-03-06 21:14:24.786359,10886268
2026-03-06 21:14:24.841154,10886286
2026-03-06 21:14:24.888313,10886370
2026-03-06 21:14:24.943522,10886388
2026-03-06 21:14:24.990212,10886472
2026-03-06 21:14:25.045713,10886490
2026-03-06 21:14:25.092437,10886574
2026-03-06 21:14:25.147229,10886592
2026-03-06 21:14:25.194333,10886676
2026-03-06 21:14:25.249496,10886694
2026-03-06 21:14:25.296226,10886778
2026-03-06 21:14:25.351335,10886796
2026-03-06 21:14:25.398607,10886880
2026-03-06 21:14:25.453251,10886898
2026-03-06 21:14:25.500248,10886982
2026-03-06 21:14:25.555617,10887000
2026-03-06 21:14:25.602501,10887084
2026-03-06 21:14:25.657689,10887102
2026-03-06 21:14:25.704235,10887186
2026-03-06 21:14:25.759315,10887204
2026-03-06 21:14:25.806319,10887288
2026-03-06 21:14:25.861271,10887306
2026-03-06 21:14:25.908172,10887390
2026-03-06 21:14:25.963273,10887408
2026-03-06 21:14:26.010037,10887492
2026-03-06 21:14:26.06567,10887510
2026-03-06 21:14:26.112561,10887594
2026-03-06 21:14:26.167326,10887612
2026-03-06 21:14:26.214184,10887696
2026-03-06 21:14:26.269523,10887714
2026-03-06 21:14:26.316464,10887798
2026-03-06 21:14:26.371775,10887816
2026-03-06 21:14:26.418485,10887900
2026-03-06 21:14:26.473248,10887918
2026-03-06 21:14:26.520111,10888002
2026-03-06 21:14:26.575634,10888020
2026-03-06 21:14:26.622506,10888104
2026-03-06 21:14:26.677203,10888122
2026-03-06 21:14:26.724553,10888206
2026-03-06 21:14:26.779774,10888224
2026-03-06 21:14:26.826434,10888308
2026-03-06 21:14:26.881275,10888326
2026-03-06 21:14:26.928157,10888410
2026-03-06 21:14:26.983585,10888428
2026-03-06 21:14:27.030622,10888512
2026-03-06 21:14:27.08546,10888530
2026-03-06 21:14:27.132299,10888614
2026-03-06 21:14:27.187627,10888632
2026-03-06 21:14:27.234145,10888716
2026-03-06 21:14:27.289323,10888734
2026-03-06 21:14:27.336325,10888818
2026-03-06 21:14:27.39123,10888836
2026-03-06 21:14:27.438473,10888920
2026-03-06 21:14:27.493483,10888938
2026-03-06 21:14:27.540106,10889022
2026-03-06 21:14:27.596574,10889040
2026-03-06 21:14:27.642562,10889124
2026-03-06 21:14:27.697451,10889142
2026-03-06 21:14:27.744476,10889226
2026-03-06 21:14:27.799278,10889244
2026-03-06 21:14:27.846547,10889328
2026-03-06 21:14:27.901604,10889346
2026-03-06 21:14:27.948349,10889430
2026-03-06 21:14:28.003873,10889448
2026-03-06 21:14:28.050198,10889532
2026-03-06 21:14:28.105845,10889550
2026-03-06 21:14:28.152417,10889634
2026-03-06 21:14:28.20762,10889652
2026-03-06 21:14:28.254369,10889736
2026-03-06 21:14:28.309397,10889754
2026-03-06 21:14:28.356456,10889838
2026-03-06 21:14:28.411506,10889856
