time,ACT.GN2_Vent.actuator_state
2026-03-06 21:14:18.309534,0
2026-03-06 21:14:18.309704,1
2026-03-06 21:14:18.310539,0
2026-03-06 21:14:18.3106,1
2026-03-06 21:14:18.310649,0
2026-03-06 21:14:18.311413,1
2026-03-06 21:14:18.312091,0
2026-03-06 21:14:18.312154,1
2026-03-06 21:14:18.31221,0
2026-03-06 21:14:18.312256,1
2026-03-06 21:14:18.312304,0
2026-03-06 21:14:18.312963,1
2026-03-06 21:14:18.313026,0
2026-03-06 21:14:18.313076,1
2026-03-06 21:14:18.313124,0
2026-03-06 21:14:18.313822,1
2026-03-06 21:14:18.313888,0
2026-03-06 21:14:18.314526,1
2026-03-06 21:14:18.31459,0
2026-03-06 21:14:18.316446,1
2026-03-06 21:14:18.316635,0
2026-03-06 21:14:18.31682,1
2026-03-06 21:14:18.316967,0
2026-03-06 21:14:18.317182,1
2026-03-06 21:14:18.31724,0
2026-03-06 21:14:18.31844,1
2026-03-06 21:14:18.319256,0
2026-03-06 21:14:18.319464,1
2026-03-06 21:14:18.319646,0
2026-03-06 21:14:18.319742,1
2026-03-06 21:14:18.360187,0
2026-03-06 21:14:18.415506,1
2026-03-06 21:14:18.462212,0
2026-03-06 21:14:18.517433,1
2026-03-06 21:14:18.564554,0
2026-03-06 21:14:18.619189,1
2026-03-06 21:14:18.665959,0
2026-03-06 21:14:18.721249,1
2026-03-06 21:14:18.768313,0
2026-03-06 21:14:18.823577,1
2026-03-06 21:14:18.870344,0
2026-03-06 21:14:18.925393,1
2026-03-06 21:14:18.972202,0
2026-03-06 21:14:19.027653,1
2026-03-06 21:14:19.07419,0
2026-03-06 21:14:19.129265,1
2026-03-06 21:14:19.176515,0
2026-03-06 21:14:19.231489,1
2026-03-06 21:14:19.278353,0
2026-03-06 21:14:19.333794,1
2026-03-06 21:14:19.380094,0
2026-03-06 21:14:19.435266,1
2026-03-06 21:14:19.482199,0
2026-03-06 21:14:19.537352,1
2026-03-06 21:14:19.584744,0
2026-03-06 21:14:19.639897,1
2026-03-06 21:14:19.686554,0
2026-03-06 21:14:19.741531,1
2026-03-06 21:14:19.788801,0
2026-03-06 21:14:19.843804,1
2026-03-06 21:14:19.890116,0
2026-03-06 21:14:19.94578,1
2026-03-06 21:14:19.993063,0
2026-03-06 21:14:20.047664,1
2026-03-06 21:14:20.09409,0
2026-03-06 21:14:20.14956,1
2026-03-06 21:14:20.196502,0
2026-03-06 21:14:20.251297,1
2026-03-06 21:14:20.298522,0
2026-03-06 21:14:20.353534,1
2026-03-06 21:14:20.400486,0
2026-03-06 21:14:20.455845,1
2026-03-06 21:14:20.502288,0
2026-03-06 21:14:20.557539,1
2026-03-06 21:14:20.604588,0
2026-03-06 21:14:20.659215,1
2026-03-06 21:14:20.706336,0
2026-03-06 21:14:20.761778,1
2026-03-06 21:14:20.808831,0
2026-03-06 21:14:20.863385,1
2026-03-06 21:14:20.910277,0
2026-03-06 21:14:20.965764,1
2026-03-06 21:14:21.012483,0
2026-03-06 21:14:21.067345,1
2026-03-06 21:14:21.114661,0
2026-03-06 21:14:21.169963,1
2026-03-06 21:14:21.216313,0
2026-03-06 21:14:21.271744,1
2026-03-06 21:14:21.318433,0
2026-03-06 21:14:21.373602,1
2026-03-06 21:14:21.420425,0
2026-03-06 21:14:21.475683,1
2026-03-06 21:14:21.522696,0
2026-03-06 21:14:21.577457,1
2026-03-06 21:14:21.624503,0
2026-03-06 21:14:21.679654,1
2026-03-06 21:14:21.72623,0
2026-03-06 21:14:21.781948,1
2026-03-06 21:14:21.828296,0
2026-03-06 21:14:21.883359,1
2026-03-06 21:14:21.930475,0
2026-03-06 21:14:21.985995,1
2026-03-06 21:14:22.032751,0
2026-03-06 21:14:22.088071,1
2026-03-06 21:14:22.134593,0
2026-03-06 21:14:22.189818,1
2026-03-06 21:14:22.23655,0
2026-03-06 21:14:22.291638,1
2026-03-06 21:14:22.338307,0
2026-03-06 21:14:22.393736,1
2026-03-06 21:14:22.440516,0
2026-03-06 21:14:22.495729,1
2026-03-06 21:14:22.542597,0
2026-03-06 21:14:22.597902,1
2026-03-06 21:14:22.644683,0
2026-03-06 21:14:22.699702,1
2026-03-06 21:14:22.746409,0
2026-03-06 21:14:22.801568,1
2026-03-06 21:14:22.848362,0
2026-03-06 21:14:22.903755,1
2026-03-06 21:14:22.950479,0
2026-03-06 21:14:23.005359,1
2026-03-06 21:14:23.052371,0
2026-03-06 21:14:23.107791,1
2026-03-06 21:14:23.154425,0
2026-03-06 21:14:23.20947,1
2026-03-06 21:14:23.256321,0
2026-03-06 21:14:23.311707,1
2026-03-06 21:14:23.358188,0
2026-03-06 21:14:23.413442,1
2026-03-06 21:14:23.460409,0
2026-03-06 21:14:23.51548,1
2026-03-06 21:14:23.562631,0
2026-03-06 21:14:23.617935,1
2026-03-06 21:14:23.664678,0
2026-03-06 21:14:23.719596,1
2026-03-06 21:14:23.766572,0
2026-03-06 21:14:23.821692,1
2026-03-06 21:14:23.868314,0
2026-03-06 21:14:23.923921,1
2026-03-06 21:14:23.970624,0
2026-03-06 21:14:24.026546,1
2026-03-06 21:14:24.072252,0
2026-03-06 21:14:24.127965,1
2026-03-06 21:14:24.174277,0
2026-03-06 21:14:24.229565,1
2026-03-06 21:14:24.276247,0
2026-03-06 21:14:24.331453,1
2026-03-06 21:14:24.378638,0
2026-03-06 21:14:24.433721,1
2026-03-06 21:14:24.480659,0
2026-03-06 21:14:24.535556,1
2026-03-06 21:14:24.582147,0
2026-03-06 21:14:24.637867,1
2026-03-06 21:14:24.68461,0
2026-03-06 21:14:24.73981,1
2026-03-06 21:14:24.78654,0
2026-03-06 21:14:24.841335,1
2026-03-06 21:14:24.888469,0
2026-03-06 21:14:24.943686,1
2026-03-06 21:14:24.990545,0
2026-03-06 21:14:25.045956,1
2026-03-06 21:14:25.092622,0
2026-03-06 21:14:25.14743,1
2026-03-06 21:14:25.194573,0
2026-03-06 21:14:25.249587,1
2026-03-06 21:14:25.296482,0
2026-03-06 21:14:25.351527,1
2026-03-06 21:14:25.398849,0
2026-03-06 21:14:25.453413,1
2026-03-06 21:14:25.500499,0
2026-03-06 21:14:25.55583,1
2026-03-06 21:14:25.602736,0
2026-03-06 21:14:25.657859,1
2026-03-06 21:14:25.704519,0
2026-03-06 21:14:25.759444,1
2026-03-06 21:14:25.806494,0
2026-03-06 21:14:25.86144,1
2026-03-06 21:14:25.908419,0
2026-03-06 21:14:25.963421,1
2026-03-06 21:14:26.010213,0
2026-03-06 21:14:26.065835,1
2026-03-06 21:14:26.112756,0
2026-03-06 21:14:26.167542,1
2026-03-06 21:14:26.214383,0
2026-03-06 21:14:26.269781,1
2026-03-06 21:14:26.316689,0
2026-03-06 21:14:26.372,1
2026-03-06 21:14:26.418696,0
2026-03-06 21:14:26.473409,1
2026-03-06 21:14:26.52027,0
2026-03-06 21:14:26.575869,1
2026-03-06 21:14:26.62272,0
2026-03-06 21:14:26.677344,1
2026-03-06 21:14:26.724746,0
2026-03-06 21:14:26.779922,1
2026-03-06 21:14:26.826667,0
2026-03-06 21:14:26.881459,1
2026-03-06 21:14:26.928405,0
2026-03-06 21:14:26.983833,1
2026-03-06 21:14:27.030901,0
2026-03-06 21:14:27.085706,1
2026-03-06 21:14:27.132599,0
2026-03-06 21:14:27.187906,1
2026-03-06 21:14:27.234446,0
2026-03-06 21:14:27.28955,1
2026-03-06 21:14:27.336504,0
2026-03-06 21:14:27.391438,1
2026-03-06 21:14:27.438644,0
2026-03-06 21:14:27.493696,1
2026-03-06 21:14:27.540372,0
2026-03-06 21:14:27.596778,1
2026-03-06 21:14:27.642799,0
2026-03-06 21:14:27.697641,1
2026-03-06 21:14:27.744697,0
2026-03-06 21:14:27.799396,1
2026-03-06 21:14:27.846779,0
2026-03-06 21:14:27.9019,1
2026-03-06 21:14:27.948562,0
2026-03-06 21:14:28.00414,1
2026-03-06 21:14:28.050414,0
2026-03-06 21:14:28.106105,1
2026-03-06 21:14:28.1526,0
2026-03-06 21:14:28.207896,1
2026-03-06 21:14:28.254532,0
2026-03-06 21:14:28.309537,1
2026-03-06 21:14:28.356618,0
2026-03-06 21:14:28.41177,1
2026-03-06 21:14:28.458222,0
2026-03-06 21:14:28.513802,1
2026-03-06 21:14:28.560561,0
2026-03-06 21:14:28.615727,1
2026-03-06 21:14:28.662525,0
2026-03-06 21:14:28.717546,1
2026-03-06 21:14:28.7644,0
2026-03-06 21:14:28.819828,1
2026-03-06 21:14:28.866737,0
2026-03-06 21:14:28.921719,1
2026-03-06 21:14:28.968775,0
2026-03-06 21:14:29.023541,1
2026-03-06 21:14:29.070498,0
2026-03-06 21:14:29.125718,1
2026-03-06 21:14:29.172387,0
