time,ACT.GSE_High_Press_Control.sample_ts_ms
2026-03-06 21:14:18.309408,10878311
2026-03-06 21:14:18.309692,10878329
2026-03-06 21:14:18.310526,10878413
2026-03-06 21:14:18.310588,10878431
2026-03-06 21:14:18.310637,10878515
2026-03-06 21:14:18.311401,10878533
2026-03-06 21:14:18.312079,10878617
2026-03-06 21:14:18.312141,10878635
2026-03-06 21:14:18.312198,10878719
2026-03-06 21:14:18.312244,10878737
2026-03-06 21:14:18.312292,10878821
2026-03-06 21:14:18.31295,10878839
2026-03-06 21:14:18.313015,10878923
2026-03-06 21:14:18.313064,10878941
2026-03-06 21:14:18.313112,10879025
2026-03-06 21:14:18.31381,10879043
2026-03-06 21:14:18.313876,10879127
2026-03-06 21:14:18.314514,10879145
2026-03-06 21:14:18.314578,10879229
2026-03-06 21:14:18.316435,10879248
2026-03-06 21:14:18.316628,10879332
2026-03-06 21:14:18.316813,10879350
2026-03-06 21:14:18.31696,10879434
2026-03-06 21:14:18.317175,10879452
2026-03-06 21:14:18.317233,10879536
2026-03-06 21:14:18.318426,10879554
2026-03-06 21:14:18.319245,10879638
2026-03-06 21:14:18.319457,10879656
2026-03-06 21:14:18.319639,10879740
2026-03-06 21:14:18.319735,10879758
2026-03-06 21:14:18.360156,10879842
2026-03-06 21:14:18.41548,10879860
2026-03-06 21:14:18.462187,10879944
2026-03-06 21:14:18.517409,10879962
2026-03-06 21:14:18.564529,10880046
2026-03-06 21:14:18.619168,10880064
2026-03-06 21:14:18.66594,10880148
2026-03-06 21:14:18.72123,10880166
2026-03-06 21:14:18.768294,10880250
2026-03-06 21:14:18.823547,10880268
2026-03-06 21:14:18.870309,10880352
2026-03-06 21:14:18.925363,10880370
2026-03-06 21:14:18.972179,10880454
2026-03-06 21:14:19.027628,10880472
2026-03-06 21:14:19.074154,10880556
2026-03-06 21:14:19.129191,10880574
2026-03-06 21:14:19.17645,10880658
2026-03-06 21:14:19.231421,10880676
2026-03-06 21:14:19.278311,10880760
2026-03-06 21:14:19.333756,10880778
2026-03-06 21:14:19.380061,10880862
2026-03-06 21:14:19.435149,10880880
2026-03-06 21:14:19.482106,10880964
2026-03-06 21:14:19.5373,10880982
2026-03-06 21:14:19.584634,10881066
2026-03-06 21:14:19.639713,10881084
2026-03-06 21:14:19.686402,10881168
2026-03-06 21:14:19.741439,10881186
2026-03-06 21:14:19.788686,10881270
2026-03-06 21:14:19.843719,10881288
2026-03-06 21:14:19.890047,10881372
2026-03-06 21:14:19.945632,10881390
2026-03-06 21:14:19.992847,10881474
2026-03-06 21:14:20.047559,10881492
2026-03-06 21:14:20.094024,10881576
2026-03-06 21:14:20.149474,10881594
2026-03-06 21:14:20.196422,10881678
2026-03-06 21:14:20.251227,10881696
2026-03-06 21:14:20.29844,10881780
2026-03-06 21:14:20.353457,10881798
2026-03-06 21:14:20.400429,10881882
2026-03-06 21:14:20.455772,10881900
2026-03-06 21:14:20.502217,10881984
2026-03-06 21:14:20.557458,10882002
2026-03-06 21:14:20.604504,10882086
2026-03-06 21:14:20.659135,10882104
2026-03-06 21:14:20.706268,10882188
2026-03-06 21:14:20.76171,10882206
2026-03-06 21:14:20.808761,10882290
2026-03-06 21:14:20.863316,10882308
2026-03-06 21:14:20.910214,10882392
2026-03-06 21:14:20.965687,10882410
2026-03-06 21:14:21.012418,10882494
2026-03-06 21:14:21.067239,10882512
2026-03-06 21:14:21.114551,10882596
2026-03-06 21:14:21.169779,10882614
2026-03-06 21:14:21.216216,10882698
2026-03-06 21:14:21.271664,10882716
2026-03-06 21:14:21.318307,10882800
2026-03-06 21:14:21.373485,10882818
2026-03-06 21:14:21.420302,10882902
2026-03-06 21:14:21.475542,10882920
2026-03-06 21:14:21.522549,10883004
2026-03-06 21:14:21.577354,10883022
2026-03-06 21:14:21.624367,10883106
2026-03-06 21:14:21.679477,10883124
2026-03-06 21:14:21.726098,10883208
2026-03-06 21:14:21.781807,10883226
2026-03-06 21:14:21.828169,10883310
2026-03-06 21:14:21.883282,10883328
2026-03-06 21:14:21.930362,10883412
2026-03-06 21:14:21.985865,10883430
2026-03-06 21:14:22.032604,10883514
2026-03-06 21:14:22.087875,10883532
2026-03-06 21:14:22.134445,10883616
2026-03-06 21:14:22.189666,10883634
2026-03-06 21:14:22.236448,10883718
2026-03-06 21:14:22.291487,10883736
2026-03-06 21:14:22.33821,10883820
2026-03-06 21:14:22.393569,10883838
2026-03-06 21:14:22.440377,10883922
