time,ACT.GSE_High_Press_Vent.actuator_state
2026-03-06 21:14:18.3095,0
2026-03-06 21:14:18.309701,1
2026-03-06 21:14:18.310535,0
2026-03-06 21:14:18.310597,1
2026-03-06 21:14:18.310646,0
2026-03-06 21:14:18.31141,1
2026-03-06 21:14:18.312088,0
2026-03-06 21:14:18.31215,1
2026-03-06 21:14:18.312207,0
2026-03-06 21:14:18.312253,1
2026-03-06 21:14:18.312301,0
2026-03-06 21:14:18.312959,1
2026-03-06 21:14:18.313023,0
2026-03-06 21:14:18.313073,1
2026-03-06 21:14:18.313121,0
2026-03-06 21:14:18.313818,1
2026-03-06 21:14:18.313885,0
2026-03-06 21:14:18.314523,1
2026-03-06 21:14:18.314587,0
2026-03-06 21:14:18.316443,1
2026-03-06 21:14:18.316633,0
2026-03-06 21:14:18.316818,1
2026-03-06 21:14:18.316965,0
2026-03-06 21:14:18.31718,1
2026-03-06 21:14:18.317238,0
2026-03-06 21:14:18.318437,1
2026-03-06 21:14:18.319253,0
2026-03-06 21:14:18.319462,1
2026-03-06 21:14:18.319644,0
2026-03-06 21:14:18.31974,1
2026-03-06 21:14:18.360181,0
2026-03-06 21:14:18.415499,1
2026-03-06 21:14:18.462206,0
2026-03-06 21:14:18.517427,1
2026-03-06 21:14:18.564549,0
2026-03-06 21:14:18.619184,1
2026-03-06 21:14:18.665953,0
2026-03-06 21:14:18.721245,1
2026-03-06 21:14:18.768308,0
2026-03-06 21:14:18.823572,1
2026-03-06 21:14:18.870335,0
2026-03-06 21:14:18.925385,1
2026-03-06 21:14:18.972197,0
2026-03-06 21:14:19.027646,1
2026-03-06 21:14:19.07418,0
2026-03-06 21:14:19.129249,1
2026-03-06 21:14:19.176503,0
2026-03-06 21:14:19.231471,1
2026-03-06 21:14:19.278341,0
2026-03-06 21:14:19.333782,1
2026-03-06 21:14:19.380086,0
2026-03-06 21:14:19.435242,1
2026-03-06 21:14:19.482177,0
2026-03-06 21:14:19.537339,1
2026-03-06 21:14:19.584713,0
2026-03-06 21:14:19.639858,1
2026-03-06 21:14:19.686516,0
2026-03-06 21:14:19.741506,1
2026-03-06 21:14:19.788769,0
2026-03-06 21:14:19.843781,1
2026-03-06 21:14:19.890097,0
2026-03-06 21:14:19.945745,1
2026-03-06 21:14:19.993014,0
2026-03-06 21:14:20.047641,1
2026-03-06 21:14:20.094074,0
2026-03-06 21:14:20.14954,1
2026-03-06 21:14:20.19648,0
2026-03-06 21:14:20.251279,1
2026-03-06 21:14:20.298499,0
2026-03-06 21:14:20.353513,1
2026-03-06 21:14:20.400473,0
2026-03-06 21:14:20.455827,1
2026-03-06 21:14:20.502269,0
2026-03-06 21:14:20.55752,1
2026-03-06 21:14:20.604566,0
2026-03-06 21:14:20.659187,1
2026-03-06 21:14:20.706317,0
2026-03-06 21:14:20.761761,1
2026-03-06 21:14:20.808814,0
2026-03-06 21:14:20.863366,1
2026-03-06 21:14:20.91026,0
2026-03-06 21:14:20.965748,1
2026-03-06 21:14:21.012465,0
2026-03-06 21:14:21.067316,1
2026-03-06 21:14:21.114632,0
2026-03-06 21:14:21.169922,1
2026-03-06 21:14:21.216288,0
2026-03-06 21:14:21.271724,1
2026-03-06 21:14:21.318399,0
2026-03-06 21:14:21.373571,1
2026-03-06 21:14:21.420393,0
2026-03-06 21:14:21.475645,1
2026-03-06 21:14:21.522657,0
2026-03-06 21:14:21.577429,1
2026-03-06 21:14:21.624466,0
2026-03-06 21:14:21.679617,1
2026-03-06 21:14:21.726197,0
2026-03-06 21:14:21.781912,1
2026-03-06 21:14:21.828264,0
2026-03-06 21:14:21.883339,1
2026-03-06 21:14:21.930445,0
2026-03-06 21:14:21.985958,1
2026-03-06 21:14:22.032714,0
2026-03-06 21:14:22.088018,1
2026-03-06 21:14:22.134554,0
2026-03-06 21:14:22.18978,1
