time,ACT.GSE_High_Press_Vent.sample_ts_ms
2026-03-06 21:14:18.309474,10878311
2026-03-06 21:14:18.309699,10878329
2026-03-06 21:14:18.310533,10878413
2026-03-06 21:14:18.310595,10878431
2026-03-06 21:14:18.310644,10878515
2026-03-06 21:14:18.311408,10878533
2026-03-06 21:14:18.312086,10878617
2026-03-06 21:14:18.312148,10878635
2026-03-06 21:14:18.312205,10878719
2026-03-06 21:14:18.312251,10878737
2026-03-06 21:14:18.312299,10878821
2026-03-06 21:14:18.312957,10878839
2026-03-06 21:14:18.313021,10878923
2026-03-06 21:14:18.313071,10878941
2026-03-06 21:14:18.313119,10879025
2026-03-06 21:14:18.313816,10879043
2026-03-06 21:14:18.313883,10879127
2026-03-06 21:14:18.314521,10879145
2026-03-06 21:14:18.314585,10879229
2026-03-06 21:14:18.316441,10879248
2026-03-06 21:14:18.316632,10879332
2026-03-06 21:14:18.316817,10879350
2026-03-06 21:14:18.316964,10879434
2026-03-06 21:14:18.317179,10879452
2026-03-06 21:14:18.317237,10879536
2026-03-06 21:14:18.318434,10879554
2026-03-06 21:14:18.319251,10879638
2026-03-06 21:14:18.319461,10879656
2026-03-06 21:14:18.319643,10879740
2026-03-06 21:14:18.319739,10879758
2026-03-06 21:14:18.360176,10879842
2026-03-06 21:14:18.415494,10879860
2026-03-06 21:14:18.462201,10879944
2026-03-06 21:14:18.517421,10879962
2026-03-06 21:14:18.564545,10880046
2026-03-06 21:14:18.61918,10880064
2026-03-06 21:14:18.66595,10880148
2026-03-06 21:14:18.721241,10880166
2026-03-06 21:14:18.768305,10880250
2026-03-06 21:14:18.823568,10880268
2026-03-06 21:14:18.870328,10880352
2026-03-06 21:14:18.925379,10880370
2026-03-06 21:14:18.972192,10880454
2026-03-06 21:14:19.027641,10880472
2026-03-06 21:14:19.074173,10880556
2026-03-06 21:14:19.129236,10880574
2026-03-06 21:14:19.176492,10880658
2026-03-06 21:14:19.231457,10880676
2026-03-06 21:14:19.278333,10880760
2026-03-06 21:14:19.333776,10880778
2026-03-06 21:14:19.380079,10880862
2026-03-06 21:14:19.435223,10880880
2026-03-06 21:14:19.482151,10880964
2026-03-06 21:14:19.537328,10880982
2026-03-06 21:14:19.584691,10881066
2026-03-06 21:14:19.639818,10881084
2026-03-06 21:14:19.686488,10881168
2026-03-06 21:14:19.741488,10881186
2026-03-06 21:14:19.788744,10881270
2026-03-06 21:14:19.843765,10881288
2026-03-06 21:14:19.890082,10881372
2026-03-06 21:14:19.945718,10881390
2026-03-06 21:14:19.992963,10881474
2026-03-06 21:14:20.047623,10881492
2026-03-06 21:14:20.094057,10881576
2026-03-06 21:14:20.149517,10881594
2026-03-06 21:14:20.196465,10881678
2026-03-06 21:14:20.251265,10881696
2026-03-06 21:14:20.298483,10881780
2026-03-06 21:14:20.353497,10881798
2026-03-06 21:14:20.400461,10881882
2026-03-06 21:14:20.455813,10881900
2026-03-06 21:14:20.502251,10881984
2026-03-06 21:14:20.557502,10882002
2026-03-06 21:14:20.604548,10882086
2026-03-06 21:14:20.659173,10882104
2026-03-06 21:14:20.706302,10882188
2026-03-06 21:14:20.761746,10882206
2026-03-06 21:14:20.808799,10882290
2026-03-06 21:14:20.863352,10882308
2026-03-06 21:14:20.910247,10882392
2026-03-06 21:14:20.965722,10882410
2026-03-06 21:14:21.012453,10882494
2026-03-06 21:14:21.067294,10882512
