time,ACT.GSE_LOX_Fill_Vent.actuator_state
2026-03-06 21:14:18.309402,0
2026-03-06 21:14:18.309691,1
2026-03-06 21:14:18.310524,0
2026-03-06 21:14:18.310587,1
2026-03-06 21:14:18.310636,0
2026-03-06 21:14:18.3114,1
2026-03-06 21:14:18.312078,0
2026-03-06 21:14:18.31214,1
2026-03-06 21:14:18.312197,0
2026-03-06 21:14:18.312243,1
2026-03-06 21:14:18.312291,0
2026-03-06 21:14:18.312949,1
2026-03-06 21:14:18.313013,0
2026-03-06 21:14:18.313063,1
2026-03-06 21:14:18.313111,0
2026-03-06 21:14:18.313808,1
2026-03-06 21:14:18.313875,0
2026-03-06 21:14:18.314513,1
2026-03-06 21:14:18.314577,0
2026-03-06 21:14:18.316434,1
2026-03-06 21:14:18.316627,0
2026-03-06 21:14:18.316812,1
2026-03-06 21:14:18.316959,0
2026-03-06 21:14:18.317175,1
2026-03-06 21:14:18.317232,0
2026-03-06 21:14:18.318425,1
2026-03-06 21:14:18.319245,0
2026-03-06 21:14:18.319456,1
2026-03-06 21:14:18.319638,0
2026-03-06 21:14:18.319734,1
2026-03-06 21:14:18.360154,0
2026-03-06 21:14:18.415478,1
2026-03-06 21:14:18.462186,0
2026-03-06 21:14:18.517407,1
2026-03-06 21:14:18.564523,0
2026-03-06 21:14:18.619167,1
2026-03-06 21:14:18.665938,0
2026-03-06 21:14:18.721225,1
2026-03-06 21:14:18.768293,0
2026-03-06 21:14:18.823542,1
2026-03-06 21:14:18.870306,0
2026-03-06 21:14:18.925362,1
2026-03-06 21:14:18.972178,0
2026-03-06 21:14:19.027627,1
2026-03-06 21:14:19.074152,0
2026-03-06 21:14:19.129187,1
2026-03-06 21:14:19.176448,0
2026-03-06 21:14:19.231417,1
2026-03-06 21:14:19.278308,0
2026-03-06 21:14:19.333754,1
2026-03-06 21:14:19.38006,0
2026-03-06 21:14:19.435145,1
2026-03-06 21:14:19.48207,0
2026-03-06 21:14:19.537298,1
2026-03-06 21:14:19.584627,0
2026-03-06 21:14:19.639703,1
2026-03-06 21:14:19.686393,0
2026-03-06 21:14:19.741434,1
2026-03-06 21:14:19.788678,0
2026-03-06 21:14:19.843714,1
2026-03-06 21:14:19.890044,0
2026-03-06 21:14:19.945623,1
2026-03-06 21:14:19.992835,0
2026-03-06 21:14:20.047555,1
2026-03-06 21:14:20.094021,0
2026-03-06 21:14:20.149469,1
2026-03-06 21:14:20.196417,0
2026-03-06 21:14:20.251223,1
2026-03-06 21:14:20.298436,0
2026-03-06 21:14:20.353453,1
2026-03-06 21:14:20.400426,0
2026-03-06 21:14:20.455766,1
2026-03-06 21:14:20.502213,0
2026-03-06 21:14:20.557454,1
2026-03-06 21:14:20.604499,0
2026-03-06 21:14:20.659132,1
2026-03-06 21:14:20.706265,0
