time,ACT.GSE_LOX_Fill_Vent.sample_ts_ms
2026-03-06 21:14:18.30938,10878311
2026-03-06 21:14:18.309688,10878329
2026-03-06 21:14:18.310522,10878413
2026-03-06 21:14:18.310585,10878431
2026-03-06 21:14:18.310634,10878515
2026-03-06 21:14:18.311398,10878533
2026-03-06 21:14:18.312076,10878617
2026-03-06 21:14:18.312138,10878635
2026-03-06 21:14:18.312195,10878719
2026-03-06 21:14:18.312241,10878737
2026-03-06 21:14:18.312289,10878821
2026-03-06 21:14:18.312947,10878839
2026-03-06 21:14:18.313011,10878923
2026-03-06 21:14:18.313061,10878941
2026-03-06 21:14:18.313109,10879025
2026-03-06 21:14:18.313806,10879043
2026-03-06 21:14:18.313873,10879127
2026-03-06 21:14:18.31451,10879145
2026-03-06 21:14:18.314575,10879229
2026-03-06 21:14:18.316432,10879248
2026-03-06 21:14:18.316626,10879332
2026-03-06 21:14:18.316811,10879350
2026-03-06 21:14:18.316958,10879434
2026-03-06 21:14:18.317174,10879452
2026-03-06 21:14:18.317231,10879536
2026-03-06 21:14:18.318423,10879554
2026-03-06 21:14:18.319243,10879638
2026-03-06 21:14:18.319455,10879656
2026-03-06 21:14:18.319637,10879740
2026-03-06 21:14:18.319733,10879758
2026-03-06 21:14:18.360148,10879842
2026-03-06 21:14:18.415472,10879860
2026-03-06 21:14:18.462181,10879944
2026-03-06 21:14:18.517402,10879962
2026-03-06 21:14:18.564512,10880046
2026-03-06 21:14:18.619163,10880064
2026-03-06 21:14:18.665935,10880148
2026-03-06 21:14:18.721213,10880166
2026-03-06 21:14:18.768289,10880250
2026-03-06 21:14:18.82353,10880268
2026-03-06 21:14:18.870293,10880352
2026-03-06 21:14:18.925357,10880370
2026-03-06 21:14:18.972172,10880454
2026-03-06 21:14:19.027622,10880472
2026-03-06 21:14:19.074134,10880556
2026-03-06 21:14:19.129173,10880574
2026-03-06 21:14:19.176435,10880658
2026-03-06 21:14:19.231393,10880676
2026-03-06 21:14:19.278286,10880760
2026-03-06 21:14:19.333737,10880778
2026-03-06 21:14:19.380054,10880862
2026-03-06 21:14:19.435131,10880880
2026-03-06 21:14:19.482055,10880964
2026-03-06 21:14:19.537268,10880982
2026-03-06 21:14:19.584564,10881066
2026-03-06 21:14:19.639668,10881084
2026-03-06 21:14:19.686317,10881168
2026-03-06 21:14:19.741412,10881186
2026-03-06 21:14:19.788622,10881270
2026-03-06 21:14:19.843689,10881288
2026-03-06 21:14:19.890024,10881372
2026-03-06 21:14:19.945587,10881390
2026-03-06 21:14:19.992786,10881474
2026-03-06 21:14:20.047539,10881492
2026-03-06 21:14:20.094003,10881576
2026-03-06 21:14:20.14943,10881594
2026-03-06 21:14:20.196381,10881678
2026-03-06 21:14:20.251192,10881696
2026-03-06 21:14:20.298419,10881780
2026-03-06 21:14:20.353432,10881798
2026-03-06 21:14:20.400414,10881882
2026-03-06 21:14:20.455748,10881900
2026-03-06 21:14:20.502187,10881984
2026-03-06 21:14:20.55742,10882002
2026-03-06 21:14:20.604477,10882086
2026-03-06 21:14:20.659118,10882104
2026-03-06 21:14:20.706247,10882188
2026-03-06 21:14:20.761686,10882206
2026-03-06 21:14:20.808744,10882290
2026-03-06 21:14:20.863296,10882308
2026-03-06 21:14:20.910193,10882392
2026-03-06 21:14:20.965666,10882410
2026-03-06 21:14:21.012399,10882494
2026-03-06 21:14:21.067212,10882512
2026-03-06 21:14:21.114522,10882596
2026-03-06 21:14:21.169726,10882614
2026-03-06 21:14:21.216192,10882698
2026-03-06 21:14:21.271634,10882716
2026-03-06 21:14:21.318274,10882800
2026-03-06 21:14:21.373447,10882818
2026-03-06 21:14:21.420271,10882902
2026-03-06 21:14:21.475492,10882920
2026-03-06 21:14:21.522486,10883004
2026-03-06 21:14:21.577322,10883022
2026-03-06 21:14:21.624333,10883106
2026-03-06 21:14:21.679422,10883124
2026-03-06 21:14:21.726059,10883208
2026-03-06 21:14:21.781761,10883226
2026-03-06 21:14:21.82812,10883310
2026-03-06 21:14:21.883257,10883328
2026-03-06 21:14:21.930326,10883412
2026-03-06 21:14:21.98582,10883430
2026-03-06 21:14:22.032562,10883514
2026-03-06 21:14:22.087823,10883532
2026-03-06 21:14:22.134377,10883616
2026-03-06 21:14:22.189626,10883634
2026-03-06 21:14:22.236413,10883718
2026-03-06 21:14:22.291437,10883736
2026-03-06 21:14:22.338186,10883820
2026-03-06 21:14:22.393517,10883838
2026-03-06 21:14:22.440346,10883922
2026-03-06 21:14:22.495502,10883940
2026-03-06 21:14:22.542462,10884024
2026-03-06 21:14:22.597743,10884042
2026-03-06 21:14:22.644591,10884126
2026-03-06 21:14:22.699611,10884144
2026-03-06 21:14:22.746315,10884228
2026-03-06 21:14:22.801451,10884246
2026-03-06 21:14:22.848258,10884330
2026-03-06 21:14:22.903615,10884348
2026-03-06 21:14:22.950398,10884432
2026-03-06 21:14:23.005297,10884450
2026-03-06 21:14:23.052275,10884534
2026-03-06 21:14:23.107665,10884552
2026-03-06 21:14:23.154319,10884636
2026-03-06 21:14:23.209357,10884654
2026-03-06 21:14:23.256227,10884738
2026-03-06 21:14:23.311545,10884756
2026-03-06 21:14:23.358093,10884840
2026-03-06 21:14:23.413337,10884858
2026-03-06 21:14:23.460317,10884942
2026-03-06 21:14:23.515396,10884960
2026-03-06 21:14:23.562513,10885044
2026-03-06 21:14:23.617793,10885062
2026-03-06 21:14:23.664526,10885146
2026-03-06 21:14:23.719401,10885164
2026-03-06 21:14:23.766488,10885248
2026-03-06 21:14:23.821547,10885266
2026-03-06 21:14:23.868218,10885350
2026-03-06 21:14:23.923819,10885368
2026-03-06 21:14:23.970455,10885452
2026-03-06 21:14:24.026384,10885470
2026-03-06 21:14:24.072086,10885554
2026-03-06 21:14:24.127878,10885572
2026-03-06 21:14:24.174153,10885656
2026-03-06 21:14:24.229466,10885674
2026-03-06 21:14:24.276148,10885758
2026-03-06 21:14:24.331336,10885776
2026-03-06 21:14:24.37843,10885860
2026-03-06 21:14:24.433614,10885878
2026-03-06 21:14:24.480509,10885962
2026-03-06 21:14:24.535361,10885980
2026-03-06 21:14:24.582072,10886064
2026-03-06 21:14:24.637689,10886082
2026-03-06 21:14:24.684483,10886166
2026-03-06 21:14:24.739631,10886184
2026-03-06 21:14:24.786412,10886268
2026-03-06 21:14:24.841233,10886286
2026-03-06 21:14:24.888349,10886370
2026-03-06 21:14:24.943554,10886388
2026-03-06 21:14:24.990303,10886472
2026-03-06 21:14:25.045791,10886490
2026-03-06 21:14:25.092471,10886574
2026-03-06 21:14:25.147267,10886592
2026-03-06 21:14:25.194405,10886676
2026-03-06 21:14:25.249515,10886694
2026-03-06 21:14:25.296291,10886778
2026-03-06 21:14:25.351379,10886796
2026-03-06 21:14:25.398672,10886880
2026-03-06 21:14:25.453288,10886898
2026-03-06 21:14:25.50031,10886982
2026-03-06 21:14:25.555679,10887000
2026-03-06 21:14:25.602587,10887084
2026-03-06 21:14:25.657731,10887102
2026-03-06 21:14:25.704321,10887186
2026-03-06 21:14:25.759343,10887204
2026-03-06 21:14:25.80636,10887288
2026-03-06 21:14:25.861313,10887306
2026-03-06 21:14:25.908246,10887390
2026-03-06 21:14:25.963301,10887408
2026-03-06 21:14:26.010087,10887492
2026-03-06 21:14:26.065718,10887510
2026-03-06 21:14:26.112596,10887594
2026-03-06 21:14:26.167369,10887612
2026-03-06 21:14:26.214252,10887696
2026-03-06 21:14:26.269603,10887714
2026-03-06 21:14:26.316503,10887798
2026-03-06 21:14:26.371843,10887816
2026-03-06 21:14:26.418524,10887900
2026-03-06 21:14:26.473279,10887918
2026-03-06 21:14:26.520165,10888002
2026-03-06 21:14:26.575689,10888020
2026-03-06 21:14:26.622539,10888104
2026-03-06 21:14:26.677241,10888122
2026-03-06 21:14:26.724588,10888206
2026-03-06 21:14:26.779807,10888224
2026-03-06 21:14:26.826505,10888308
2026-03-06 21:14:26.881313,10888326
2026-03-06 21:14:26.928224,10888410
2026-03-06 21:14:26.983649,10888428
2026-03-06 21:14:27.030695,10888512
2026-03-06 21:14:27.085513,10888530
2026-03-06 21:14:27.132392,10888614
2026-03-06 21:14:27.187676,10888632
2026-03-06 21:14:27.234367,10888716
2026-03-06 21:14:27.289386,10888734
2026-03-06 21:14:27.33638,10888818
2026-03-06 21:14:27.391274,10888836
2026-03-06 21:14:27.438518,10888920
2026-03-06 21:14:27.493529,10888938
2026-03-06 21:14:27.54022,10889022
2026-03-06 21:14:27.596613,10889040
2026-03-06 21:14:27.642619,10889124
2026-03-06 21:14:27.6975,10889142
2026-03-06 21:14:27.744519,10889226
2026-03-06 21:14:27.799299,10889244
2026-03-06 21:14:27.846596,10889328
2026-03-06 21:14:27.901686,10889346
2026-03-06 21:14:27.948386,10889430
2026-03-06 21:14:28.003947,10889448
2026-03-06 21:14:28.050271,10889532
2026-03-06 21:14:28.105922,10889550
2026-03-06 21:14:28.152449,10889634
2026-03-06 21:14:28.207693,10889652
2026-03-06 21:14:28.254403,10889736
2026-03-06 21:14:28.309428,10889754
2026-03-06 21:14:28.356524,10889838
2026-03-06 21:14:28.411577,10889856
2026-03-06 21:14:28.458118,10889940
2026-03-06 21:14:28.513654,10889958
2026-03-06 21:14:28.56047,10890042
2026-03-06 21:14:28.615527,10890060
2026-03-06 21:14:28.662351,10890144
2026-03-06 21:14:28.717412,10890162
2026-03-06 21:14:28.764224,10890246
2026-03-06 21:14:28.819741,10890264
2026-03-06 21:14:28.86656,10890348
2026-03-06 21:14:28.92159,10890366
2026-03-06 21:14:28.968628,10890450
2026-03-06 21:14:29.023383,10890468
2026-03-06 21:14:29.070313,10890552
2026-03-06 21:14:29.125574,10890570
2026-03-06 21:14:29.172277,10890654
2026-03-06 21:14:29.227336,10890672
2026-03-06 21:14:29.274513,10890756
2026-03-06 21:14:29.329418,10890774
2026-03-06 21:14:29.376759,10890858
2026-03-06 21:14:29.431675,10890876
2026-03-06 21:14:29.478254,10890960
2026-03-06 21:14:29.533545,10890978
2026-03-06 21:14:29.580351,10891062
2026-03-06 21:14:29.63569,10891080
2026-03-06 21:14:29.682305,10891164
2026-03-06 21:14:29.737396,10891182
2026-03-06 21:14:29.784388,10891266
2026-03-06 21:14:29.839398,10891284
2026-03-06 21:14:29.886352,10891368
2026-03-06 21:14:29.94162,10891386
2026-03-06 21:14:29.988841,10891470
2026-03-06 21:14:30.04347,10891488
2026-03-06 21:14:30.090558,10891572
2026-03-06 21:14:30.145668,10891590
2026-03-06 21:14:30.19245,10891674
2026-03-06 21:14:30.247678,10891692
2026-03-06 21:14:30.294405,10891776
2026-03-06 21:14:30.349791,10891794
2026-03-06 21:14:30.396208,10891878
2026-03-06 21:14:30.451711,10891896
2026-03-06 21:14:30.498636,10891980
2026-03-06 21:14:30.553675,10891998
2026-03-06 21:14:30.600578,10892082
2026-03-06 21:14:30.655428,10892100
2026-03-06 21:14:30.702539,10892184
2026-03-06 21:14:30.759072,10892202
2026-03-06 21:14:30.804479,10892286
2026-03-06 21:14:30.85938,10892304
2026-03-06 21:14:30.906616,10892388
