time,ACT.GSE_Med_Press_Control.sample_ts_ms
2026-03-06 21:14:18.309441,10878311
2026-03-06 21:14:18.309695,10878329
2026-03-06 21:14:18.310529,10878413
2026-03-06 21:14:18.310592,10878431
2026-03-06 21:14:18.310641,10878515
2026-03-06 21:14:18.311405,10878533
2026-03-06 21:14:18.312082,10878617
2026-03-06 21:14:18.312145,10878635
2026-03-06 21:14:18.312201,10878719
2026-03-06 21:14:18.312248,10878737
2026-03-06 21:14:18.312295,10878821
2026-03-06 21:14:18.312954,10878839
2026-03-06 21:14:18.313018,10878923
2026-03-06 21:14:18.313068,10878941
2026-03-06 21:14:18.313116,10879025
2026-03-06 21:14:18.313813,10879043
2026-03-06 21:14:18.31388,10879127
2026-03-06 21:14:18.314517,10879145
2026-03-06 21:14:18.314581,10879229
2026-03-06 21:14:18.316438,10879248
2026-03-06 21:14:18.31663,10879332
2026-03-06 21:14:18.316815,10879350
2026-03-06 21:14:18.316962,10879434
2026-03-06 21:14:18.317177,10879452
2026-03-06 21:14:18.317235,10879536
2026-03-06 21:14:18.31843,10879554
2026-03-06 21:14:18.319248,10879638
2026-03-06 21:14:18.319459,10879656
2026-03-06 21:14:18.319641,10879740
2026-03-06 21:14:18.319737,10879758
2026-03-06 21:14:18.36017,10879842
2026-03-06 21:14:18.415487,10879860
2026-03-06 21:14:18.462194,10879944
2026-03-06 21:14:18.517415,10879962
2026-03-06 21:14:18.56454,10880046
2026-03-06 21:14:18.619175,10880064
2026-03-06 21:14:18.665945,10880148
2026-03-06 21:14:18.721237,10880166
2026-03-06 21:14:18.768299,10880250
2026-03-06 21:14:18.823563,10880268
2026-03-06 21:14:18.870318,10880352
2026-03-06 21:14:18.925371,10880370
2026-03-06 21:14:18.972186,10880454
2026-03-06 21:14:19.027635,10880472
2026-03-06 21:14:19.074164,10880556
2026-03-06 21:14:19.129217,10880574
2026-03-06 21:14:19.176462,10880658
2026-03-06 21:14:19.231438,10880676
2026-03-06 21:14:19.278321,10880760
2026-03-06 21:14:19.333766,10880778
2026-03-06 21:14:19.380071,10880862
2026-03-06 21:14:19.435196,10880880
2026-03-06 21:14:19.482127,10880964
2026-03-06 21:14:19.537313,10880982
2026-03-06 21:14:19.584661,10881066
2026-03-06 21:14:19.63976,10881084
2026-03-06 21:14:19.686447,10881168
2026-03-06 21:14:19.741463,10881186
2026-03-06 21:14:19.788715,10881270
2026-03-06 21:14:19.843743,10881288
2026-03-06 21:14:19.890066,10881372
2026-03-06 21:14:19.945677,10881390
2026-03-06 21:14:19.992912,10881474
2026-03-06 21:14:20.047601,10881492
2026-03-06 21:14:20.09404,10881576
2026-03-06 21:14:20.149496,10881594
2026-03-06 21:14:20.196446,10881678
2026-03-06 21:14:20.251246,10881696
2026-03-06 21:14:20.29846,10881780
2026-03-06 21:14:20.353477,10881798
2026-03-06 21:14:20.400446,10881882
2026-03-06 21:14:20.45579,10881900
2026-03-06 21:14:20.502234,10881984
2026-03-06 21:14:20.557483,10882002
2026-03-06 21:14:20.604526,10882086
2026-03-06 21:14:20.659151,10882104
2026-03-06 21:14:20.706285,10882188
2026-03-06 21:14:20.761728,10882206
2026-03-06 21:14:20.80878,10882290
2026-03-06 21:14:20.863334,10882308
2026-03-06 21:14:20.910231,10882392
2026-03-06 21:14:20.965705,10882410
2026-03-06 21:14:21.012434,10882494
2026-03-06 21:14:21.067267,10882512
2026-03-06 21:14:21.114582,10882596
2026-03-06 21:14:21.169837,10882614
2026-03-06 21:14:21.216242,10882698
2026-03-06 21:14:21.271686,10882716
2026-03-06 21:14:21.318342,10882800
2026-03-06 21:14:21.373516,10882818
2026-03-06 21:14:21.420334,10882902
2026-03-06 21:14:21.475578,10882920
2026-03-06 21:14:21.522591,10883004
2026-03-06 21:14:21.577381,10883022
2026-03-06 21:14:21.624409,10883106
2026-03-06 21:14:21.679516,10883124
2026-03-06 21:14:21.72613,10883208
2026-03-06 21:14:21.781846,10883226
2026-03-06 21:14:21.828207,10883310
2026-03-06 21:14:21.883302,10883328
2026-03-06 21:14:21.930394,10883412
2026-03-06 21:14:21.9859,10883430
2026-03-06 21:14:22.032641,10883514
2026-03-06 21:14:22.087933,10883532
2026-03-06 21:14:22.134486,10883616
2026-03-06 21:14:22.189709,10883634
2026-03-06 21:14:22.236478,10883718
2026-03-06 21:14:22.291526,10883736
2026-03-06 21:14:22.338237,10883820
2026-03-06 21:14:22.393622,10883838
2026-03-06 21:14:22.440421,10883922
2026-03-06 21:14:22.495606,10883940
2026-03-06 21:14:22.542521,10884024
2026-03-06 21:14:22.597816,10884042
2026-03-06 21:14:22.644631,10884126
2026-03-06 21:14:22.699649,10884144
2026-03-06 21:14:22.746356,10884228
2026-03-06 21:14:22.801514,10884246
2026-03-06 21:14:22.848319,10884330
2026-03-06 21:14:22.903686,10884348
2026-03-06 21:14:22.950434,10884432
2026-03-06 21:14:23.005322,10884450
2026-03-06 21:14:23.052318,10884534
2026-03-06 21:14:23.107718,10884552
2026-03-06 21:14:23.154366,10884636
2026-03-06 21:14:23.209408,10884654
2026-03-06 21:14:23.256265,10884738
2026-03-06 21:14:23.31161,10884756
2026-03-06 21:14:23.358129,10884840
2026-03-06 21:14:23.413378,10884858
2026-03-06 21:14:23.460359,10884942
2026-03-06 21:14:23.51544,10884960
2026-03-06 21:14:23.562578,10885044
2026-03-06 21:14:23.617868,10885062
2026-03-06 21:14:23.664595,10885146
2026-03-06 21:14:23.719487,10885164
2026-03-06 21:14:23.766522,10885248
2026-03-06 21:14:23.821628,10885266
2026-03-06 21:14:23.868267,10885350
2026-03-06 21:14:23.923858,10885368
2026-03-06 21:14:23.970523,10885452
2026-03-06 21:14:24.02645,10885470
2026-03-06 21:14:24.072156,10885554
2026-03-06 21:14:24.127916,10885572
2026-03-06 21:14:24.174216,10885656
2026-03-06 21:14:24.22951,10885674
2026-03-06 21:14:24.276194,10885758
2026-03-06 21:14:24.331386,10885776
2026-03-06 21:14:24.378519,10885860
2026-03-06 21:14:24.433659,10885878
2026-03-06 21:14:24.480578,10885962
2026-03-06 21:14:24.535443,10885980
2026-03-06 21:14:24.582108,10886064
2026-03-06 21:14:24.637763,10886082
2026-03-06 21:14:24.684539,10886166
2026-03-06 21:14:24.739709,10886184
2026-03-06 21:14:24.786466,10886268
2026-03-06 21:14:24.841277,10886286
2026-03-06 21:14:24.888402,10886370
2026-03-06 21:14:24.943608,10886388
2026-03-06 21:14:24.99041,10886472
2026-03-06 21:14:25.045864,10886490
2026-03-06 21:14:25.092539,10886574
2026-03-06 21:14:25.147335,10886592
2026-03-06 21:14:25.194487,10886676
