time,ACT.LOX_Dump.sample_ts_ms
2026-03-06 21:14:18.309572,10878311
2026-03-06 21:14:18.309709,10878329
2026-03-06 21:14:18.310543,10878413
2026-03-06 21:14:18.310605,10878431
2026-03-06 21:14:18.310654,10878515
2026-03-06 21:14:18.311418,10878533
2026-03-06 21:14:18.312096,10878617
2026-03-06 21:14:18.312163,10878635
2026-03-06 21:14:18.312215,10878719
2026-03-06 21:14:18.312261,10878737
2026-03-06 21:14:18.312309,10878821
2026-03-06 21:14:18.312967,10878839
2026-03-06 21:14:18.313031,10878923
2026-03-06 21:14:18.313081,10878941
2026-03-06 21:14:18.313129,10879025
2026-03-06 21:14:18.313826,10879043
2026-03-06 21:14:18.313893,10879127
2026-03-06 21:14:18.314531,10879145
2026-03-06 21:14:18.314595,10879229
2026-03-06 21:14:18.31645,10879248
2026-03-06 21:14:18.316638,10879332
2026-03-06 21:14:18.316823,10879350
2026-03-06 21:14:18.31697,10879434
2026-03-06 21:14:18.317185,10879452
2026-03-06 21:14:18.317242,10879536
2026-03-06 21:14:18.318445,10879554
2026-03-06 21:14:18.31926,10879638
2026-03-06 21:14:18.319467,10879656
2026-03-06 21:14:18.319649,10879740
2026-03-06 21:14:18.319744,10879758
2026-03-06 21:14:18.360195,10879842
2026-03-06 21:14:18.415514,10879860
2026-03-06 21:14:18.462221,10879944
2026-03-06 21:14:18.517441,10879962
2026-03-06 21:14:18.56456,10880046
2026-03-06 21:14:18.619195,10880064
2026-03-06 21:14:18.665965,10880148
2026-03-06 21:14:18.721255,10880166
2026-03-06 21:14:18.768319,10880250
2026-03-06 21:14:18.823583,10880268
2026-03-06 21:14:18.870354,10880352
2026-03-06 21:14:18.925401,10880370
2026-03-06 21:14:18.972208,10880454
2026-03-06 21:14:19.027662,10880472
2026-03-06 21:14:19.074201,10880556
2026-03-06 21:14:19.129286,10880574
2026-03-06 21:14:19.176532,10880658
2026-03-06 21:14:19.231509,10880676
2026-03-06 21:14:19.278362,10880760
2026-03-06 21:14:19.333804,10880778
2026-03-06 21:14:19.380105,10880862
2026-03-06 21:14:19.43529,10880880
2026-03-06 21:14:19.48223,10880964
2026-03-06 21:14:19.537367,10880982
2026-03-06 21:14:19.58478,10881066
2026-03-06 21:14:19.639942,10881084
2026-03-06 21:14:19.686601,10881168
2026-03-06 21:14:19.74156,10881186
2026-03-06 21:14:19.78884,10881270
2026-03-06 21:14:19.843832,10881288
2026-03-06 21:14:19.890137,10881372
2026-03-06 21:14:19.945834,10881390
2026-03-06 21:14:19.99314,10881474
2026-03-06 21:14:20.047688,10881492
2026-03-06 21:14:20.094111,10881576
2026-03-06 21:14:20.149585,10881594
2026-03-06 21:14:20.196532,10881678
2026-03-06 21:14:20.251322,10881696
2026-03-06 21:14:20.298548,10881780
2026-03-06 21:14:20.353563,10881798
2026-03-06 21:14:20.400504,10881882
2026-03-06 21:14:20.455869,10881900
2026-03-06 21:14:20.502308,10881984
2026-03-06 21:14:20.557563,10882002
2026-03-06 21:14:20.604614,10882086
2026-03-06 21:14:20.659235,10882104
2026-03-06 21:14:20.706357,10882188
2026-03-06 21:14:20.761798,10882206
2026-03-06 21:14:20.808853,10882290
2026-03-06 21:14:20.863409,10882308
2026-03-06 21:14:20.910297,10882392
2026-03-06 21:14:20.965785,10882410
2026-03-06 21:14:21.012508,10882494
2026-03-06 21:14:21.067388,10882512
2026-03-06 21:14:21.114702,10882596
2026-03-06 21:14:21.170013,10882614
2026-03-06 21:14:21.216342,10882698
2026-03-06 21:14:21.271768,10882716
2026-03-06 21:14:21.318477,10882800
2026-03-06 21:14:21.373641,10882818
2026-03-06 21:14:21.420465,10882902
2026-03-06 21:14:21.475726,10882920
2026-03-06 21:14:21.522743,10883004
2026-03-06 21:14:21.57749,10883022
2026-03-06 21:14:21.624544,10883106
2026-03-06 21:14:21.679707,10883124
2026-03-06 21:14:21.72627,10883208
2026-03-06 21:14:21.781993,10883226
2026-03-06 21:14:21.828335,10883310
2026-03-06 21:14:21.883383,10883328
2026-03-06 21:14:21.930515,10883412
2026-03-06 21:14:21.986039,10883430
2026-03-06 21:14:22.032795,10883514
2026-03-06 21:14:22.088129,10883532
2026-03-06 21:14:22.134644,10883616
2026-03-06 21:14:22.189863,10883634
2026-03-06 21:14:22.236591,10883718
2026-03-06 21:14:22.291682,10883736
2026-03-06 21:14:22.338338,10883820
2026-03-06 21:14:22.393785,10883838
2026-03-06 21:14:22.440554,10883922
2026-03-06 21:14:22.49578,10883940
2026-03-06 21:14:22.542629,10884024
2026-03-06 21:14:22.59794,10884042
2026-03-06 21:14:22.64472,10884126
2026-03-06 21:14:22.699724,10884144
2026-03-06 21:14:22.746431,10884228
2026-03-06 21:14:22.801592,10884246
2026-03-06 21:14:22.848376,10884330
2026-03-06 21:14:22.903784,10884348
2026-03-06 21:14:22.950501,10884432
2026-03-06 21:14:23.005372,10884450
2026-03-06 21:14:23.052394,10884534
2026-03-06 21:14:23.107824,10884552
2026-03-06 21:14:23.154459,10884636
2026-03-06 21:14:23.209499,10884654
2026-03-06 21:14:23.256347,10884738
2026-03-06 21:14:23.311743,10884756
2026-03-06 21:14:23.35828,10884840
2026-03-06 21:14:23.413468,10884858
2026-03-06 21:14:23.460429,10884942
2026-03-06 21:14:23.515496,10884960
2026-03-06 21:14:23.562652,10885044
2026-03-06 21:14:23.617969,10885062
2026-03-06 21:14:23.664717,10885146
2026-03-06 21:14:23.719644,10885164
2026-03-06 21:14:23.766594,10885248
