time,ACT.LOX_Fill.sample_ts_ms
2026-03-06 21:14:18.30954,10878311
2026-03-06 21:14:18.309706,10878329
2026-03-06 21:14:18.31054,10878413
2026-03-06 21:14:18.310602,10878431
2026-03-06 21:14:18.31065,10878515
2026-03-06 21:14:18.311415,10878533
2026-03-06 21:14:18.312092,10878617
2026-03-06 21:14:18.312155,10878635
2026-03-06 21:14:18.312211,10878719
2026-03-06 21:14:18.312258,10878737
2026-03-06 21:14:18.312305,10878821
2026-03-06 21:14:18.312964,10878839
2026-03-06 21:14:18.313028,10878923
2026-03-06 21:14:18.313078,10878941
2026-03-06 21:14:18.313125,10879025
2026-03-06 21:14:18.313823,10879043
2026-03-06 21:14:18.31389,10879127
2026-03-06 21:14:18.314527,10879145
2026-03-06 21:14:18.314591,10879229
2026-03-06 21:14:18.316447,10879248
2026-03-06 21:14:18.316636,10879332
2026-03-06 21:14:18.316821,10879350
2026-03-06 21:14:18.316968,10879434
2026-03-06 21:14:18.317183,10879452
2026-03-06 21:14:18.31724,10879536
2026-03-06 21:14:18.318441,10879554
2026-03-06 21:14:18.319257,10879638
2026-03-06 21:14:18.319465,10879656
2026-03-06 21:14:18.319647,10879740
2026-03-06 21:14:18.319742,10879758
2026-03-06 21:14:18.360189,10879842
2026-03-06 21:14:18.415508,10879860
2026-03-06 21:14:18.462214,10879944
2026-03-06 21:14:18.517435,10879962
2026-03-06 21:14:18.564555,10880046
2026-03-06 21:14:18.61919,10880064
2026-03-06 21:14:18.66596,10880148
2026-03-06 21:14:18.721251,10880166
2026-03-06 21:14:18.768315,10880250
2026-03-06 21:14:18.823579,10880268
2026-03-06 21:14:18.870346,10880352
2026-03-06 21:14:18.925395,10880370
2026-03-06 21:14:18.972204,10880454
2026-03-06 21:14:19.027655,10880472
2026-03-06 21:14:19.074192,10880556
2026-03-06 21:14:19.129269,10880574
2026-03-06 21:14:19.17652,10880658
2026-03-06 21:14:19.231492,10880676
2026-03-06 21:14:19.278354,10880760
2026-03-06 21:14:19.333796,10880778
2026-03-06 21:14:19.380095,10880862
2026-03-06 21:14:19.435271,10880880
2026-03-06 21:14:19.482205,10880964
2026-03-06 21:14:19.537355,10880982
2026-03-06 21:14:19.584751,10881066
2026-03-06 21:14:19.639909,10881084
2026-03-06 21:14:19.686562,10881168
2026-03-06 21:14:19.741537,10881186
2026-03-06 21:14:19.788808,10881270
2026-03-06 21:14:19.843809,10881288
2026-03-06 21:14:19.89012,10881372
2026-03-06 21:14:19.945788,10881390
2026-03-06 21:14:19.993078,10881474
2026-03-06 21:14:20.047668,10881492
2026-03-06 21:14:20.094094,10881576
2026-03-06 21:14:20.149564,10881594
2026-03-06 21:14:20.196507,10881678
2026-03-06 21:14:20.251301,10881696
2026-03-06 21:14:20.298527,10881780
2026-03-06 21:14:20.353539,10881798
2026-03-06 21:14:20.40049,10881882
2026-03-06 21:14:20.455849,10881900
2026-03-06 21:14:20.502292,10881984
2026-03-06 21:14:20.557543,10882002
2026-03-06 21:14:20.604594,10882086
2026-03-06 21:14:20.659219,10882104
2026-03-06 21:14:20.70634,10882188
2026-03-06 21:14:20.761782,10882206
2026-03-06 21:14:20.808835,10882290
2026-03-06 21:14:20.863389,10882308
2026-03-06 21:14:20.910281,10882392
2026-03-06 21:14:20.965768,10882410
2026-03-06 21:14:21.012489,10882494
2026-03-06 21:14:21.067356,10882512
2026-03-06 21:14:21.114669,10882596
2026-03-06 21:14:21.169972,10882614
2026-03-06 21:14:21.216318,10882698
2026-03-06 21:14:21.271749,10882716
2026-03-06 21:14:21.31844,10882800
2026-03-06 21:14:21.373608,10882818
2026-03-06 21:14:21.420433,10882902
2026-03-06 21:14:21.475691,10882920
2026-03-06 21:14:21.522705,10883004
2026-03-06 21:14:21.577463,10883022
2026-03-06 21:14:21.624511,10883106
2026-03-06 21:14:21.679663,10883124
2026-03-06 21:14:21.726238,10883208
2026-03-06 21:14:21.781957,10883226
2026-03-06 21:14:21.828303,10883310
2026-03-06 21:14:21.883363,10883328
2026-03-06 21:14:21.930482,10883412
2026-03-06 21:14:21.986003,10883430
2026-03-06 21:14:22.032759,10883514
2026-03-06 21:14:22.088082,10883532
