time,LC_Cal.CH1.raw_adc
2026-03-06 21:14:19.055859,748010
2026-03-06 21:14:19.05628,748010
2026-03-06 21:14:19.123315,636120
2026-03-06 21:14:19.223293,454805
2026-03-06 21:14:19.223463,454805
2026-03-06 21:14:19.323194,770253
2026-03-06 21:14:19.423583,518165
2026-03-06 21:14:19.42376,518165
2026-03-06 21:14:19.523345,535015
2026-03-06 21:14:19.523387,599048
2026-03-06 21:14:19.523418,754751
2026-03-06 21:14:19.523479,574784
2026-03-06 21:14:19.523825,574784
2026-03-06 21:14:19.623576,663081
2026-03-06 21:14:19.623732,545800
2026-03-06 21:14:19.623893,589612
2026-03-06 21:14:19.624046,478397
2026-03-06 21:14:19.62476,663081
2026-03-06 21:14:19.725056,584219
2026-03-06 21:14:19.725186,448065
2026-03-06 21:14:19.725272,467611
2026-03-06 21:14:19.725583,584219
2026-03-06 21:14:19.725706,714982
2026-03-06 21:14:19.72579,590961
2026-03-06 21:14:19.826866,547822
2026-03-06 21:14:19.827053,588264
2026-03-06 21:14:19.829977,547822
2026-03-06 21:14:19.927435,498618
2026-03-06 21:14:19.927502,541082
2026-03-06 21:14:19.927562,650949
2026-03-06 21:14:19.927621,470982
2026-03-06 21:14:19.927692,507380
2026-03-06 21:14:19.927756,728463
2026-03-06 21:14:19.927815,544452
2026-03-06 21:14:19.92787,628706
2026-03-06 21:14:19.927944,640165
2026-03-06 21:14:20.027007,621966
2026-03-06 21:14:20.027077,612529
2026-03-06 21:14:20.027133,547148
2026-03-06 21:14:20.027211,675889
2026-03-06 21:14:20.027274,513446
2026-03-06 21:14:20.027299,621966
2026-03-06 21:14:20.027333,528949
2026-03-06 21:14:20.027391,665103
2026-03-06 21:14:20.12711,543777
2026-03-06 21:14:20.127183,849789
2026-03-06 21:14:20.127199,691391
2026-03-06 21:14:20.12721,640838
2026-03-06 21:14:20.127232,598374
2026-03-06 21:14:20.127663,543777
2026-03-06 21:14:20.227389,553888
2026-03-06 21:14:20.227495,696109
2026-03-06 21:14:20.227539,510750
2026-03-06 21:14:20.227589,611180
2026-03-06 21:14:20.227629,630728
2026-03-06 21:14:20.227759,613204
2026-03-06 21:14:20.227761,553888
2026-03-06 21:14:20.327098,690042
2026-03-06 21:14:20.327165,638816
