time,PT_Cal.GN2_High.cal_status
2026-03-06 21:14:19.102087,1
2026-03-06 21:14:19.102166,1
2026-03-06 21:14:19.102444,1
2026-03-06 21:14:19.102456,1
2026-03-06 21:14:19.102506,0
2026-03-06 21:14:19.102732,1
2026-03-06 21:14:19.102744,1
2026-03-06 21:14:19.20161,1
2026-03-06 21:14:19.201905,1
2026-03-06 21:14:19.201923,1
2026-03-06 21:14:19.202054,1
2026-03-06 21:14:19.301867,1
2026-03-06 21:14:19.3019,1
2026-03-06 21:14:19.302002,1
2026-03-06 21:14:19.302046,1
2026-03-06 21:14:19.302084,0
2026-03-06 21:14:19.302096,1
2026-03-06 21:14:19.302166,1
2026-03-06 21:14:19.302211,1
2026-03-06 21:14:19.302296,1
2026-03-06 21:14:19.401575,1
2026-03-06 21:14:19.50266,1
2026-03-06 21:14:19.502913,1
2026-03-06 21:14:19.503104,1
2026-03-06 21:14:19.503336,1
2026-03-06 21:14:19.503567,1
2026-03-06 21:14:19.50372,0
2026-03-06 21:14:19.503956,1
2026-03-06 21:14:19.504374,1
2026-03-06 21:14:19.604991,1
2026-03-06 21:14:19.605113,1
2026-03-06 21:14:19.605229,1
2026-03-06 21:14:19.605307,1
2026-03-06 21:14:19.605482,1
2026-03-06 21:14:19.605664,1
2026-03-06 21:14:19.606908,0
2026-03-06 21:14:19.703565,1
2026-03-06 21:14:19.703612,1
2026-03-06 21:14:19.703683,1
2026-03-06 21:14:19.703722,1
2026-03-06 21:14:19.703805,1
2026-03-06 21:14:19.703854,1
2026-03-06 21:14:19.804566,1
2026-03-06 21:14:19.804733,1
2026-03-06 21:14:19.804788,1
2026-03-06 21:14:19.804967,1
2026-03-06 21:14:19.80513,0
2026-03-06 21:14:19.805228,1
2026-03-06 21:14:19.80542,1
2026-03-06 21:14:19.805693,1
2026-03-06 21:14:19.907505,1
2026-03-06 21:14:19.907546,1
2026-03-06 21:14:19.90757,1
2026-03-06 21:14:19.907622,1
2026-03-06 21:14:19.907668,1
2026-03-06 21:14:19.907718,1
2026-03-06 21:14:19.907805,1
2026-03-06 21:14:19.907864,0
2026-03-06 21:14:19.907905,1
2026-03-06 21:14:20.007966,1
2026-03-06 21:14:20.008001,1
2026-03-06 21:14:20.008022,1
2026-03-06 21:14:20.008044,1
2026-03-06 21:14:20.008071,1
2026-03-06 21:14:20.008103,1
2026-03-06 21:14:20.008135,1
2026-03-06 21:14:20.008181,1
2026-03-06 21:14:20.008214,1
2026-03-06 21:14:20.008336,0
2026-03-06 21:14:20.107785,1
2026-03-06 21:14:20.107815,1
2026-03-06 21:14:20.107842,1
2026-03-06 21:14:20.107876,1
2026-03-06 21:14:20.107904,1
2026-03-06 21:14:20.107939,1
2026-03-06 21:14:20.107966,1
2026-03-06 21:14:20.107996,1
2026-03-06 21:14:20.108028,1
2026-03-06 21:14:20.108393,0
2026-03-06 21:14:20.207371,1
2026-03-06 21:14:20.207392,1
2026-03-06 21:14:20.207443,1
2026-03-06 21:14:20.207653,1
2026-03-06 21:14:20.207697,1
2026-03-06 21:14:20.207803,1
2026-03-06 21:14:20.307781,1
2026-03-06 21:14:20.307804,1
2026-03-06 21:14:20.307814,1
2026-03-06 21:14:20.307838,1
2026-03-06 21:14:20.307874,1
2026-03-06 21:14:20.307943,1
2026-03-06 21:14:20.307981,1
2026-03-06 21:14:20.308445,0
2026-03-06 21:14:20.407522,1
2026-03-06 21:14:20.407535,1
2026-03-06 21:14:20.407562,1
2026-03-06 21:14:20.40759,1
2026-03-06 21:14:20.407628,1
2026-03-06 21:14:20.40769,1
2026-03-06 21:14:20.407936,1
2026-03-06 21:14:20.408505,0
2026-03-06 21:14:20.507286,1
2026-03-06 21:14:20.507339,1
2026-03-06 21:14:20.507352,1
2026-03-06 21:14:20.50736,1
2026-03-06 21:14:20.507367,1
2026-03-06 21:14:20.507377,1
2026-03-06 21:14:20.507385,1
2026-03-06 21:14:20.507408,1
2026-03-06 21:14:20.507443,1
2026-03-06 21:14:20.60825,1
2026-03-06 21:14:20.608278,1
2026-03-06 21:14:20.608296,1
2026-03-06 21:14:20.608312,1
2026-03-06 21:14:20.608356,1
2026-03-06 21:14:20.608386,1
2026-03-06 21:14:20.608439,1
2026-03-06 21:14:20.608527,1
2026-03-06 21:14:20.608662,0
2026-03-06 21:14:20.708282,1
2026-03-06 21:14:20.7083,1
2026-03-06 21:14:20.708311,1
2026-03-06 21:14:20.708318,1
2026-03-06 21:14:20.708325,1
2026-03-06 21:14:20.708369,1
2026-03-06 21:14:20.708424,1
2026-03-06 21:14:20.7085,1
2026-03-06 21:14:20.708688,0
2026-03-06 21:14:20.808744,1
2026-03-06 21:14:20.808755,1
2026-03-06 21:14:20.808787,1
2026-03-06 21:14:20.808817,1
2026-03-06 21:14:20.808839,1
2026-03-06 21:14:20.808862,1
2026-03-06 21:14:20.808886,1
2026-03-06 21:14:20.808912,1
2026-03-06 21:14:20.808948,1
2026-03-06 21:14:20.809387,0
2026-03-06 21:14:20.912726,1
2026-03-06 21:14:20.912777,1
2026-03-06 21:14:20.912784,1
2026-03-06 21:14:20.912794,1
2026-03-06 21:14:20.91282,1
2026-03-06 21:14:20.912867,1
2026-03-06 21:14:20.91293,1
2026-03-06 21:14:20.913014,1
2026-03-06 21:14:20.913266,0
2026-03-06 21:14:21.01233,1
2026-03-06 21:14:21.012348,1
2026-03-06 21:14:21.012391,1
2026-03-06 21:14:21.012627,1
2026-03-06 21:14:21.012653,1
2026-03-06 21:14:21.012682,1
2026-03-06 21:14:21.012697,1
2026-03-06 21:14:21.012721,1
2026-03-06 21:14:21.112981,1
2026-03-06 21:14:21.113011,1
2026-03-06 21:14:21.113054,1
2026-03-06 21:14:21.113145,1
2026-03-06 21:14:21.11323,1
2026-03-06 21:14:21.113296,1
2026-03-06 21:14:21.113446,1
2026-03-06 21:14:21.113547,1
2026-03-06 21:14:21.113628,0
2026-03-06 21:14:21.212918,1
2026-03-06 21:14:21.212938,1
2026-03-06 21:14:21.212962,1
2026-03-06 21:14:21.21297,1
2026-03-06 21:14:21.212993,1
2026-03-06 21:14:21.213013,1
2026-03-06 21:14:21.213045,1
2026-03-06 21:14:21.213075,1
2026-03-06 21:14:21.213108,1
2026-03-06 21:14:21.213666,0
2026-03-06 21:14:21.312567,1
2026-03-06 21:14:21.3126,1
2026-03-06 21:14:21.312652,1
2026-03-06 21:14:21.31271,1
2026-03-06 21:14:21.312779,1
2026-03-06 21:14:21.312856,1
2026-03-06 21:14:21.312995,1
2026-03-06 21:14:21.313122,1
2026-03-06 21:14:21.413132,1
