time,PT_Cal.GN2_Regulated.cal_status
2026-03-06 21:14:19.09273,1
2026-03-06 21:14:19.092817,1
2026-03-06 21:14:19.093236,0
2026-03-06 21:14:19.202987,1
2026-03-06 21:14:19.203411,0
2026-03-06 21:14:19.312094,1
2026-03-06 21:14:19.312156,1
2026-03-06 21:14:19.312221,0
2026-03-06 21:14:19.421023,1
2026-03-06 21:14:19.421156,0
2026-03-06 21:14:19.421513,1
2026-03-06 21:14:19.529606,1
2026-03-06 21:14:19.529691,1
2026-03-06 21:14:19.529765,1
2026-03-06 21:14:19.529851,1
2026-03-06 21:14:19.530008,0
2026-03-06 21:14:19.639594,1
2026-03-06 21:14:19.640009,1
2026-03-06 21:14:19.640423,1
2026-03-06 21:14:19.641222,1
2026-03-06 21:14:19.642907,0
2026-03-06 21:14:19.748075,1
2026-03-06 21:14:19.748345,1
2026-03-06 21:14:19.748628,1
2026-03-06 21:14:19.748763,0
2026-03-06 21:14:19.749022,1
2026-03-06 21:14:19.85743,1
2026-03-06 21:14:19.857673,1
2026-03-06 21:14:19.857937,1
2026-03-06 21:14:19.85817,0
2026-03-06 21:14:19.858245,1
2026-03-06 21:14:19.966121,1
2026-03-06 21:14:19.966503,1
2026-03-06 21:14:19.966895,1
2026-03-06 21:14:19.96722,1
2026-03-06 21:14:19.967743,1
2026-03-06 21:14:19.968119,0
2026-03-06 21:14:20.074852,1
2026-03-06 21:14:20.074892,1
2026-03-06 21:14:20.074971,1
2026-03-06 21:14:20.07505,1
2026-03-06 21:14:20.075131,1
2026-03-06 21:14:20.075215,1
2026-03-06 21:14:20.07529,1
2026-03-06 21:14:20.075375,1
2026-03-06 21:14:20.075793,0
2026-03-06 21:14:20.183614,1
2026-03-06 21:14:20.183657,1
2026-03-06 21:14:20.183758,1
2026-03-06 21:14:20.183836,1
2026-03-06 21:14:20.183916,1
2026-03-06 21:14:20.183931,0
2026-03-06 21:14:20.292678,1
2026-03-06 21:14:20.29276,1
2026-03-06 21:14:20.292842,1
2026-03-06 21:14:20.292929,1
2026-03-06 21:14:20.293022,1
2026-03-06 21:14:20.29335,0
2026-03-06 21:14:20.401336,1
2026-03-06 21:14:20.401442,1
2026-03-06 21:14:20.40223,0
2026-03-06 21:14:20.510692,1
2026-03-06 21:14:20.510765,1
2026-03-06 21:14:20.510889,1
2026-03-06 21:14:20.51098,1
2026-03-06 21:14:20.511082,1
2026-03-06 21:14:20.511174,0
2026-03-06 21:14:20.619504,1
2026-03-06 21:14:20.619542,1
2026-03-06 21:14:20.619606,1
2026-03-06 21:14:20.619768,0
2026-03-06 21:14:20.619915,1
2026-03-06 21:14:20.619965,1
2026-03-06 21:14:20.620002,1
2026-03-06 21:14:20.728582,1
2026-03-06 21:14:20.72868,1
2026-03-06 21:14:20.728764,1
2026-03-06 21:14:20.728861,1
2026-03-06 21:14:20.729896,0
2026-03-06 21:14:20.837803,1
2026-03-06 21:14:20.83785,1
2026-03-06 21:14:20.837891,1
2026-03-06 21:14:20.837935,1
2026-03-06 21:14:20.83801,1
2026-03-06 21:14:20.838089,1
2026-03-06 21:14:20.838129,0
2026-03-06 21:14:20.838185,1
2026-03-06 21:14:20.838272,1
2026-03-06 21:14:20.838361,1
2026-03-06 21:14:20.946835,1
2026-03-06 21:14:20.946992,1
2026-03-06 21:14:20.94708,1
2026-03-06 21:14:20.947204,1
2026-03-06 21:14:20.947292,0
2026-03-06 21:14:20.947313,1
2026-03-06 21:14:20.947458,1
2026-03-06 21:14:21.055763,1
2026-03-06 21:14:21.055839,1
2026-03-06 21:14:21.055929,1
2026-03-06 21:14:21.056035,1
2026-03-06 21:14:21.056237,1
2026-03-06 21:14:21.0563,0
2026-03-06 21:14:21.056475,1
2026-03-06 21:14:21.165347,1
2026-03-06 21:14:21.165614,1
2026-03-06 21:14:21.1659,1
2026-03-06 21:14:21.166231,1
2026-03-06 21:14:21.166378,1
2026-03-06 21:14:21.167212,0
2026-03-06 21:14:21.275177,1
2026-03-06 21:14:21.275435,1
2026-03-06 21:14:21.275712,1
2026-03-06 21:14:21.276025,1
2026-03-06 21:14:21.276262,1
2026-03-06 21:14:21.277104,0
2026-03-06 21:14:21.383135,1
2026-03-06 21:14:21.383398,1
2026-03-06 21:14:21.383605,1
2026-03-06 21:14:21.383861,1
2026-03-06 21:14:21.384407,0
2026-03-06 21:14:21.492771,1
2026-03-06 21:14:21.49292,1
2026-03-06 21:14:21.492994,0
2026-03-06 21:14:21.49328,1
2026-03-06 21:14:21.494529,1
2026-03-06 21:14:21.494692,1
2026-03-06 21:14:21.494827,1
2026-03-06 21:14:21.495134,1
2026-03-06 21:14:21.495459,1
2026-03-06 21:14:21.601322,1
2026-03-06 21:14:21.601547,1
2026-03-06 21:14:21.601778,1
2026-03-06 21:14:21.601999,0
2026-03-06 21:14:21.602023,1
2026-03-06 21:14:21.60229,1
2026-03-06 21:14:21.60254,1
2026-03-06 21:14:21.710558,1
2026-03-06 21:14:21.710948,1
2026-03-06 21:14:21.711381,1
2026-03-06 21:14:21.711577,1
2026-03-06 21:14:21.711768,1
2026-03-06 21:14:21.711769,0
2026-03-06 21:14:21.71197,1
2026-03-06 21:14:21.712191,1
2026-03-06 21:14:21.81893,1
2026-03-06 21:14:21.819209,1
2026-03-06 21:14:21.819481,1
2026-03-06 21:14:21.819702,0
2026-03-06 21:14:21.819745,1
2026-03-06 21:14:21.927936,1
2026-03-06 21:14:21.92813,1
2026-03-06 21:14:21.928336,1
2026-03-06 21:14:21.92853,1
2026-03-06 21:14:21.928624,0
2026-03-06 21:14:22.036983,1
2026-03-06 21:14:22.037261,1
2026-03-06 21:14:22.037501,1
2026-03-06 21:14:22.037746,1
2026-03-06 21:14:22.038014,1
2026-03-06 21:14:22.038325,1
2026-03-06 21:14:22.038486,0
2026-03-06 21:14:22.145665,1
2026-03-06 21:14:22.145809,1
2026-03-06 21:14:22.146047,1
2026-03-06 21:14:22.146306,1
2026-03-06 21:14:22.146545,1
2026-03-06 21:14:22.146645,0
2026-03-06 21:14:22.255054,1
2026-03-06 21:14:22.255424,1
2026-03-06 21:14:22.255723,1
2026-03-06 21:14:22.256032,1
2026-03-06 21:14:22.256423,1
2026-03-06 21:14:22.256756,1
2026-03-06 21:14:22.257043,1
2026-03-06 21:14:22.257644,0
2026-03-06 21:14:22.364138,1
2026-03-06 21:14:22.364388,1
2026-03-06 21:14:22.364612,1
2026-03-06 21:14:22.36485,1
2026-03-06 21:14:22.365102,1
2026-03-06 21:14:22.365211,0
2026-03-06 21:14:22.47321,1
2026-03-06 21:14:22.473425,1
2026-03-06 21:14:22.473643,1
2026-03-06 21:14:22.473852,1
2026-03-06 21:14:22.474085,1
2026-03-06 21:14:22.474328,1
2026-03-06 21:14:22.47484,0
2026-03-06 21:14:22.582146,1
2026-03-06 21:14:22.582267,1
2026-03-06 21:14:22.582395,1
2026-03-06 21:14:22.582538,1
2026-03-06 21:14:22.582591,1
2026-03-06 21:14:22.582649,1
2026-03-06 21:14:22.582717,0
2026-03-06 21:14:22.690692,1
2026-03-06 21:14:22.690728,1
2026-03-06 21:14:22.690749,1
2026-03-06 21:14:22.690784,1
2026-03-06 21:14:22.690812,1
2026-03-06 21:14:22.690967,1
2026-03-06 21:14:22.69114,0
2026-03-06 21:14:22.799784,1
2026-03-06 21:14:22.799833,1
2026-03-06 21:14:22.799879,1
2026-03-06 21:14:22.799936,1
2026-03-06 21:14:22.800015,1
2026-03-06 21:14:22.800103,1
2026-03-06 21:14:22.800187,1
2026-03-06 21:14:22.800268,1
2026-03-06 21:14:22.800502,0
2026-03-06 21:14:22.909204,1
2026-03-06 21:14:22.909258,1
2026-03-06 21:14:22.909323,1
2026-03-06 21:14:22.909397,1
2026-03-06 21:14:22.909477,1
2026-03-06 21:14:22.909553,1
2026-03-06 21:14:22.909629,1
2026-03-06 21:14:22.909854,0
2026-03-06 21:14:23.017935,1
2026-03-06 21:14:23.017999,1
2026-03-06 21:14:23.018053,1
2026-03-06 21:14:23.018097,1
2026-03-06 21:14:23.018752,0
2026-03-06 21:14:23.126743,1
2026-03-06 21:14:23.126812,1
2026-03-06 21:14:23.126904,1
2026-03-06 21:14:23.127008,1
2026-03-06 21:14:23.127115,1
2026-03-06 21:14:23.127418,0
2026-03-06 21:14:23.236031,1
2026-03-06 21:14:23.236353,1
2026-03-06 21:14:23.236432,1
2026-03-06 21:14:23.236499,0
2026-03-06 21:14:23.236513,1
2026-03-06 21:14:23.236592,1
2026-03-06 21:14:23.236692,1
2026-03-06 21:14:23.236991,1
2026-03-06 21:14:23.237079,1
2026-03-06 21:14:23.237161,1
2026-03-06 21:14:23.344541,1
2026-03-06 21:14:23.344587,1
2026-03-06 21:14:23.34463,1
2026-03-06 21:14:23.344692,1
2026-03-06 21:14:23.344812,1
2026-03-06 21:14:23.344897,1
2026-03-06 21:14:23.345116,0
2026-03-06 21:14:23.453868,1
2026-03-06 21:14:23.453916,1
2026-03-06 21:14:23.453983,1
2026-03-06 21:14:23.454044,1
2026-03-06 21:14:23.454127,1
2026-03-06 21:14:23.454228,0
2026-03-06 21:14:23.454396,1
2026-03-06 21:14:23.563291,1
2026-03-06 21:14:23.56342,1
2026-03-06 21:14:23.563552,1
2026-03-06 21:14:23.563693,1
2026-03-06 21:14:23.56375,0
2026-03-06 21:14:23.563835,1
2026-03-06 21:14:23.564,1
2026-03-06 21:14:23.671529,1
2026-03-06 21:14:23.671769,1
2026-03-06 21:14:23.672052,1
2026-03-06 21:14:23.672122,0
2026-03-06 21:14:23.781599,1
2026-03-06 21:14:23.781848,0
2026-03-06 21:14:23.781849,1
2026-03-06 21:14:23.782267,1
2026-03-06 21:14:23.782501,1
2026-03-06 21:14:23.782898,1
2026-03-06 21:14:23.890194,1
2026-03-06 21:14:23.890401,1
2026-03-06 21:14:23.891007,0
2026-03-06 21:14:23.891062,1
2026-03-06 21:14:23.89183,1
2026-03-06 21:14:23.999273,1
2026-03-06 21:14:23.999447,1
2026-03-06 21:14:23.999601,1
2026-03-06 21:14:23.999823,0
2026-03-06 21:14:24.108049,1
2026-03-06 21:14:24.108297,1
2026-03-06 21:14:24.108517,1
2026-03-06 21:14:24.108795,1
