time,PT_Cal.GSE_High.cal_status
2026-03-06 21:14:19.101711,1
2026-03-06 21:14:19.101963,0
2026-03-06 21:14:19.102138,1
2026-03-06 21:14:19.102182,1
2026-03-06 21:14:19.102449,1
2026-03-06 21:14:19.102466,1
2026-03-06 21:14:19.102737,1
2026-03-06 21:14:19.102762,1
2026-03-06 21:14:19.201582,1
2026-03-06 21:14:19.201644,1
2026-03-06 21:14:19.201912,1
2026-03-06 21:14:19.201955,1
2026-03-06 21:14:19.202006,0
2026-03-06 21:14:19.301792,1
2026-03-06 21:14:19.301887,1
2026-03-06 21:14:19.301927,1
2026-03-06 21:14:19.302021,1
2026-03-06 21:14:19.302029,0
2026-03-06 21:14:19.302057,1
2026-03-06 21:14:19.302115,1
2026-03-06 21:14:19.302236,1
2026-03-06 21:14:19.401327,1
2026-03-06 21:14:19.401586,1
2026-03-06 21:14:19.50222,1
2026-03-06 21:14:19.502854,1
2026-03-06 21:14:19.502871,0
2026-03-06 21:14:19.502939,1
2026-03-06 21:14:19.503192,1
2026-03-06 21:14:19.503417,1
2026-03-06 21:14:19.50373,1
2026-03-06 21:14:19.504029,1
2026-03-06 21:14:19.604631,1
2026-03-06 21:14:19.605055,1
2026-03-06 21:14:19.605143,1
2026-03-06 21:14:19.605256,1
2026-03-06 21:14:19.605337,1
2026-03-06 21:14:19.605406,0
2026-03-06 21:14:19.605569,1
2026-03-06 21:14:19.703501,1
2026-03-06 21:14:19.703584,1
2026-03-06 21:14:19.703629,1
2026-03-06 21:14:19.703699,1
2026-03-06 21:14:19.703732,1
2026-03-06 21:14:19.703822,1
2026-03-06 21:14:19.804356,1
2026-03-06 21:14:19.804606,1
2026-03-06 21:14:19.804832,1
2026-03-06 21:14:19.804971,0
2026-03-06 21:14:19.805044,1
2026-03-06 21:14:19.805274,1
2026-03-06 21:14:19.805519,1
2026-03-06 21:14:19.907451,1
2026-03-06 21:14:19.907521,1
2026-03-06 21:14:19.907549,1
2026-03-06 21:14:19.907586,1
2026-03-06 21:14:19.907634,1
2026-03-06 21:14:19.90768,1
2026-03-06 21:14:19.907737,1
2026-03-06 21:14:19.907776,0
2026-03-06 21:14:19.907846,1
2026-03-06 21:14:20.007924,1
2026-03-06 21:14:20.007976,1
2026-03-06 21:14:20.00801,1
2026-03-06 21:14:20.008026,1
2026-03-06 21:14:20.00805,1
2026-03-06 21:14:20.008083,1
2026-03-06 21:14:20.008115,1
2026-03-06 21:14:20.008147,1
2026-03-06 21:14:20.00819,1
2026-03-06 21:14:20.008202,0
2026-03-06 21:14:20.107745,1
2026-03-06 21:14:20.107797,1
2026-03-06 21:14:20.107826,1
2026-03-06 21:14:20.107855,1
2026-03-06 21:14:20.107883,1
2026-03-06 21:14:20.107916,1
