time,PT_Cal.GSE_Low.cal_status
2026-03-06 21:14:19.092593,1
2026-03-06 21:14:19.092802,1
2026-03-06 21:14:19.092806,0
2026-03-06 21:14:19.092835,1
2026-03-06 21:14:19.202902,1
2026-03-06 21:14:19.20298,0
2026-03-06 21:14:19.312026,1
2026-03-06 21:14:19.312129,1
2026-03-06 21:14:19.312177,0
2026-03-06 21:14:19.312186,1
2026-03-06 21:14:19.420731,1
2026-03-06 21:14:19.420921,0
2026-03-06 21:14:19.42125,1
2026-03-06 21:14:19.529559,1
2026-03-06 21:14:19.529636,1
2026-03-06 21:14:19.529723,1
2026-03-06 21:14:19.529817,1
2026-03-06 21:14:19.529888,0
2026-03-06 21:14:19.639327,1
2026-03-06 21:14:19.639741,1
2026-03-06 21:14:19.640267,1
2026-03-06 21:14:19.640624,0
2026-03-06 21:14:19.640986,1
2026-03-06 21:14:19.747916,1
2026-03-06 21:14:19.748198,1
2026-03-06 21:14:19.748483,1
2026-03-06 21:14:19.74855,0
2026-03-06 21:14:19.748764,1
2026-03-06 21:14:19.857284,1
2026-03-06 21:14:19.857528,1
2026-03-06 21:14:19.857776,1
2026-03-06 21:14:19.857813,0
2026-03-06 21:14:19.858067,1
2026-03-06 21:14:19.965913,1
2026-03-06 21:14:19.966314,1
2026-03-06 21:14:19.966636,1
2026-03-06 21:14:19.96668,0
2026-03-06 21:14:19.966994,1
2026-03-06 21:14:19.967513,1
2026-03-06 21:14:20.074822,1
2026-03-06 21:14:20.074879,1
2026-03-06 21:14:20.074926,1
2026-03-06 21:14:20.075008,1
2026-03-06 21:14:20.075082,1
2026-03-06 21:14:20.075168,1
2026-03-06 21:14:20.075248,1
2026-03-06 21:14:20.075327,1
2026-03-06 21:14:20.075409,1
2026-03-06 21:14:20.075494,0
2026-03-06 21:14:20.183535,1
2026-03-06 21:14:20.183642,1
2026-03-06 21:14:20.183712,1
2026-03-06 21:14:20.18379,1
2026-03-06 21:14:20.183814,0
2026-03-06 21:14:20.183867,1
2026-03-06 21:14:20.18396,1
2026-03-06 21:14:20.292612,1
2026-03-06 21:14:20.292716,1
2026-03-06 21:14:20.292797,1
2026-03-06 21:14:20.292883,1
2026-03-06 21:14:20.292962,1
2026-03-06 21:14:20.293212,0
2026-03-06 21:14:20.401272,1
2026-03-06 21:14:20.401374,1
2026-03-06 21:14:20.401518,1
2026-03-06 21:14:20.401542,0
2026-03-06 21:14:20.510646,1
2026-03-06 21:14:20.510716,1
2026-03-06 21:14:20.510803,1
2026-03-06 21:14:20.510905,0
2026-03-06 21:14:20.51092,1
2026-03-06 21:14:20.511032,1
2026-03-06 21:14:20.619429,1
2026-03-06 21:14:20.619528,1
2026-03-06 21:14:20.61956,1
2026-03-06 21:14:20.619614,0
2026-03-06 21:14:20.619886,1
2026-03-06 21:14:20.619936,1
2026-03-06 21:14:20.619983,1
2026-03-06 21:14:20.728523,1
2026-03-06 21:14:20.728619,1
2026-03-06 21:14:20.728715,1
2026-03-06 21:14:20.728809,1
2026-03-06 21:14:20.729277,0
2026-03-06 21:14:20.837724,1
2026-03-06 21:14:20.837829,1
2026-03-06 21:14:20.837872,1
2026-03-06 21:14:20.837912,1
2026-03-06 21:14:20.837962,1
2026-03-06 21:14:20.838013,0
2026-03-06 21:14:20.838041,1
2026-03-06 21:14:20.838125,1
2026-03-06 21:14:20.838224,1
2026-03-06 21:14:20.83831,1
2026-03-06 21:14:20.946781,1
2026-03-06 21:14:20.94694,1
2026-03-06 21:14:20.947028,1
2026-03-06 21:14:20.947121,1
2026-03-06 21:14:20.947225,0
2026-03-06 21:14:20.947254,1
2026-03-06 21:14:20.947362,1
2026-03-06 21:14:21.055693,1
2026-03-06 21:14:21.055805,1
2026-03-06 21:14:21.055853,1
2026-03-06 21:14:21.055973,1
2026-03-06 21:14:21.056087,0
2026-03-06 21:14:21.056117,1
2026-03-06 21:14:21.05636,1
2026-03-06 21:14:21.165163,1
2026-03-06 21:14:21.165467,1
2026-03-06 21:14:21.165741,1
2026-03-06 21:14:21.165933,0
2026-03-06 21:14:21.166018,1
2026-03-06 21:14:21.166311,1
2026-03-06 21:14:21.166444,1
2026-03-06 21:14:21.275021,1
2026-03-06 21:14:21.275186,0
2026-03-06 21:14:21.275291,1
2026-03-06 21:14:21.275554,1
2026-03-06 21:14:21.275868,1
2026-03-06 21:14:21.27614,1
2026-03-06 21:14:21.383007,1
2026-03-06 21:14:21.383266,1
2026-03-06 21:14:21.383483,1
2026-03-06 21:14:21.383724,1
2026-03-06 21:14:21.383977,1
2026-03-06 21:14:21.384011,0
2026-03-06 21:14:21.492681,1
2026-03-06 21:14:21.492795,0
2026-03-06 21:14:21.492826,1
2026-03-06 21:14:21.493022,1
2026-03-06 21:14:21.493672,1
2026-03-06 21:14:21.494615,1
2026-03-06 21:14:21.494754,1
2026-03-06 21:14:21.494886,1
2026-03-06 21:14:21.495287,1
2026-03-06 21:14:21.601202,1
2026-03-06 21:14:21.601413,1
2026-03-06 21:14:21.601638,1
2026-03-06 21:14:21.60175,0
2026-03-06 21:14:21.601872,1
2026-03-06 21:14:21.602122,1
2026-03-06 21:14:21.602398,1
2026-03-06 21:14:21.710358,1
2026-03-06 21:14:21.710811,1
2026-03-06 21:14:21.711037,0
2026-03-06 21:14:21.711263,1
2026-03-06 21:14:21.711471,1
2026-03-06 21:14:21.711668,1
2026-03-06 21:14:21.711852,1
2026-03-06 21:14:21.712054,1
2026-03-06 21:14:21.818779,1
2026-03-06 21:14:21.819049,1
2026-03-06 21:14:21.819333,1
2026-03-06 21:14:21.819406,0
2026-03-06 21:14:21.819605,1
2026-03-06 21:14:21.819869,1
2026-03-06 21:14:21.927825,1
2026-03-06 21:14:21.928016,1
2026-03-06 21:14:21.928229,1
2026-03-06 21:14:21.928375,0
2026-03-06 21:14:21.928414,1
2026-03-06 21:14:21.928608,1
2026-03-06 21:14:22.036833,1
2026-03-06 21:14:22.037096,1
2026-03-06 21:14:22.037359,1
2026-03-06 21:14:22.03761,1
2026-03-06 21:14:22.037706,0
2026-03-06 21:14:22.037862,1
2026-03-06 21:14:22.038118,1
2026-03-06 21:14:22.145603,1
2026-03-06 21:14:22.145717,1
2026-03-06 21:14:22.145869,1
2026-03-06 21:14:22.146189,1
2026-03-06 21:14:22.146278,0
2026-03-06 21:14:22.146391,1
2026-03-06 21:14:22.254865,1
2026-03-06 21:14:22.255248,1
2026-03-06 21:14:22.255525,1
2026-03-06 21:14:22.255768,0
2026-03-06 21:14:22.255826,1
2026-03-06 21:14:22.256221,1
2026-03-06 21:14:22.256582,1
2026-03-06 21:14:22.256864,1
2026-03-06 21:14:22.364008,1
2026-03-06 21:14:22.36424,1
2026-03-06 21:14:22.364483,1
2026-03-06 21:14:22.364719,1
2026-03-06 21:14:22.364812,0
2026-03-06 21:14:22.364959,1
2026-03-06 21:14:22.473082,1
2026-03-06 21:14:22.473301,1
2026-03-06 21:14:22.473531,1
2026-03-06 21:14:22.473722,1
2026-03-06 21:14:22.473939,1
2026-03-06 21:14:22.473985,0
2026-03-06 21:14:22.474203,1
2026-03-06 21:14:22.582083,1
2026-03-06 21:14:22.5822,1
2026-03-06 21:14:22.58232,1
2026-03-06 21:14:22.582448,1
2026-03-06 21:14:22.582566,1
2026-03-06 21:14:22.582567,0
2026-03-06 21:14:22.582618,1
2026-03-06 21:14:22.582771,1
2026-03-06 21:14:22.690643,1
2026-03-06 21:14:22.690714,1
2026-03-06 21:14:22.690738,1
2026-03-06 21:14:22.690758,1
2026-03-06 21:14:22.690793,1
2026-03-06 21:14:22.690836,1
2026-03-06 21:14:22.691018,0
2026-03-06 21:14:22.799743,1
2026-03-06 21:14:22.799811,1
2026-03-06 21:14:22.799853,1
2026-03-06 21:14:22.799899,1
2026-03-06 21:14:22.799973,1
2026-03-06 21:14:22.800048,1
2026-03-06 21:14:22.800136,1
2026-03-06 21:14:22.80022,1
2026-03-06 21:14:22.80024,0
2026-03-06 21:14:22.8003,1
2026-03-06 21:14:22.909167,1
2026-03-06 21:14:22.909228,1
2026-03-06 21:14:22.909284,1
2026-03-06 21:14:22.909354,1
2026-03-06 21:14:22.909429,1
2026-03-06 21:14:22.90951,1
2026-03-06 21:14:22.909585,1
2026-03-06 21:14:22.909585,0
2026-03-06 21:14:23.017891,1
2026-03-06 21:14:23.017972,1
2026-03-06 21:14:23.018025,1
2026-03-06 21:14:23.018076,1
2026-03-06 21:14:23.018116,1
2026-03-06 21:14:23.018456,0
2026-03-06 21:14:23.126693,1
2026-03-06 21:14:23.126773,1
2026-03-06 21:14:23.126849,1
2026-03-06 21:14:23.126948,1
2026-03-06 21:14:23.127056,1
2026-03-06 21:14:23.127101,0
2026-03-06 21:14:23.235989,1
2026-03-06 21:14:23.236065,1
2026-03-06 21:14:23.23637,0
2026-03-06 21:14:23.236382,1
2026-03-06 21:14:23.236464,1
2026-03-06 21:14:23.236562,1
2026-03-06 21:14:23.236632,1
2026-03-06 21:14:23.23675,1
2026-03-06 21:14:23.237034,1
2026-03-06 21:14:23.237111,1
2026-03-06 21:14:23.344493,1
2026-03-06 21:14:23.344574,1
2026-03-06 21:14:23.344597,1
2026-03-06 21:14:23.344655,1
2026-03-06 21:14:23.34475,1
2026-03-06 21:14:23.344851,1
2026-03-06 21:14:23.344854,0
2026-03-06 21:14:23.344933,1
2026-03-06 21:14:23.453808,1
2026-03-06 21:14:23.453902,1
2026-03-06 21:14:23.45393,1
2026-03-06 21:14:23.454001,1
2026-03-06 21:14:23.454081,1
2026-03-06 21:14:23.454107,0
2026-03-06 21:14:23.454197,1
2026-03-06 21:14:23.563224,1
2026-03-06 21:14:23.563337,1
2026-03-06 21:14:23.563443,0
2026-03-06 21:14:23.563476,1
2026-03-06 21:14:23.56361,1
2026-03-06 21:14:23.563756,1
2026-03-06 21:14:23.563921,1
2026-03-06 21:14:23.671435,1
2026-03-06 21:14:23.671575,1
2026-03-06 21:14:23.671897,1
2026-03-06 21:14:23.671898,0
2026-03-06 21:14:23.672122,1
2026-03-06 21:14:23.781282,1
2026-03-06 21:14:23.781521,0
2026-03-06 21:14:23.781696,1
2026-03-06 21:14:23.781968,1
2026-03-06 21:14:23.782364,1
2026-03-06 21:14:23.782776,1
2026-03-06 21:14:23.890086,1
2026-03-06 21:14:23.890282,1
2026-03-06 21:14:23.890488,1
2026-03-06 21:14:23.890566,0
2026-03-06 21:14:23.890891,1
2026-03-06 21:14:23.891527,1
2026-03-06 21:14:23.892141,1
2026-03-06 21:14:23.999172,1
2026-03-06 21:14:23.999361,1
2026-03-06 21:14:23.999518,1
2026-03-06 21:14:23.999603,0
2026-03-06 21:14:23.999673,1
2026-03-06 21:14:24.107954,1
2026-03-06 21:14:24.108134,1
2026-03-06 21:14:24.108373,0
2026-03-06 21:14:24.108385,1
2026-03-06 21:14:24.108633,1
2026-03-06 21:14:24.108923,1
2026-03-06 21:14:24.216495,1
2026-03-06 21:14:24.216575,1
2026-03-06 21:14:24.216748,1
2026-03-06 21:14:24.216818,1
2026-03-06 21:14:24.21688,1
2026-03-06 21:14:24.216933,0
2026-03-06 21:14:24.325908,1
2026-03-06 21:14:24.326003,1
2026-03-06 21:14:24.326043,1
2026-03-06 21:14:24.326134,1
2026-03-06 21:14:24.326333,1
2026-03-06 21:14:24.326503,0
2026-03-06 21:14:24.32656,1
2026-03-06 21:14:24.435525,1
2026-03-06 21:14:24.435734,1
2026-03-06 21:14:24.436243,0
2026-03-06 21:14:24.436277,1
2026-03-06 21:14:24.436547,1
2026-03-06 21:14:24.436785,1
2026-03-06 21:14:24.437006,1
2026-03-06 21:14:24.437267,1
2026-03-06 21:14:24.543789,1
2026-03-06 21:14:24.543929,1
2026-03-06 21:14:24.544049,1
2026-03-06 21:14:24.544295,1
2026-03-06 21:14:24.544356,0
2026-03-06 21:14:24.544505,1
2026-03-06 21:14:24.652769,1
2026-03-06 21:14:24.652957,1
2026-03-06 21:14:24.653117,1
2026-03-06 21:14:24.653296,1
2026-03-06 21:14:24.653464,1
2026-03-06 21:14:24.653578,0
2026-03-06 21:14:24.653637,1
2026-03-06 21:14:24.762131,1
2026-03-06 21:14:24.762347,1
2026-03-06 21:14:24.762522,1
2026-03-06 21:14:24.762714,1
2026-03-06 21:14:24.762916,1
2026-03-06 21:14:24.762936,0
2026-03-06 21:14:24.763109,1
2026-03-06 21:14:24.871123,1
2026-03-06 21:14:24.871215,1
2026-03-06 21:14:24.87131,1
2026-03-06 21:14:24.87141,1
2026-03-06 21:14:24.871506,1
2026-03-06 21:14:24.871587,0
2026-03-06 21:14:24.871606,1
2026-03-06 21:14:24.871698,1
2026-03-06 21:14:24.871791,1
2026-03-06 21:14:24.979902,1
2026-03-06 21:14:24.980128,1
2026-03-06 21:14:24.980314,0
2026-03-06 21:14:24.980401,1
2026-03-06 21:14:24.980651,1
2026-03-06 21:14:24.980872,1
2026-03-06 21:14:25.088835,1
2026-03-06 21:14:25.088972,1
2026-03-06 21:14:25.089132,1
2026-03-06 21:14:25.089305,1
2026-03-06 21:14:25.08931,0
2026-03-06 21:14:25.089469,1
2026-03-06 21:14:25.089663,1
2026-03-06 21:14:25.197934,1
2026-03-06 21:14:25.198152,1
2026-03-06 21:14:25.198367,1
2026-03-06 21:14:25.198482,0
2026-03-06 21:14:25.198588,1
2026-03-06 21:14:25.19894,1
2026-03-06 21:14:25.307223,1
2026-03-06 21:14:25.307578,0
2026-03-06 21:14:25.307859,1
2026-03-06 21:14:25.307964,1
2026-03-06 21:14:25.308057,1
