time,PT_Cal.GSE_Mid.cal_status
2026-03-06 21:14:19.101863,1
2026-03-06 21:14:19.102145,1
2026-03-06 21:14:19.102435,1
2026-03-06 21:14:19.102454,1
2026-03-06 21:14:19.102502,0
2026-03-06 21:14:19.102723,1
2026-03-06 21:14:19.102741,1
2026-03-06 21:14:19.103012,1
2026-03-06 21:14:19.2016,1
2026-03-06 21:14:19.201897,1
2026-03-06 21:14:19.201921,1
2026-03-06 21:14:19.201998,1
2026-03-06 21:14:19.301853,1
2026-03-06 21:14:19.301893,1
2026-03-06 21:14:19.30194,1
2026-03-06 21:14:19.302014,1
2026-03-06 21:14:19.302028,1
2026-03-06 21:14:19.302067,0
2026-03-06 21:14:19.302078,1
2026-03-06 21:14:19.302136,1
2026-03-06 21:14:19.3022,1
2026-03-06 21:14:19.302262,1
2026-03-06 21:14:19.401563,1
2026-03-06 21:14:19.502594,1
2026-03-06 21:14:19.502888,1
2026-03-06 21:14:19.503031,1
2026-03-06 21:14:19.503263,1
2026-03-06 21:14:19.503288,0
2026-03-06 21:14:19.503491,1
2026-03-06 21:14:19.503881,1
2026-03-06 21:14:19.504191,1
2026-03-06 21:14:19.604706,1
2026-03-06 21:14:19.605083,1
2026-03-06 21:14:19.605203,1
2026-03-06 21:14:19.605286,1
2026-03-06 21:14:19.605436,1
2026-03-06 21:14:19.605611,1
2026-03-06 21:14:19.606642,0
2026-03-06 21:14:19.703531,1
2026-03-06 21:14:19.703598,1
2026-03-06 21:14:19.703645,1
2026-03-06 21:14:19.703713,1
2026-03-06 21:14:19.703743,1
2026-03-06 21:14:19.703762,1
2026-03-06 21:14:19.703836,1
2026-03-06 21:14:19.804463,1
2026-03-06 21:14:19.80465,1
2026-03-06 21:14:19.804761,1
2026-03-06 21:14:19.804881,1
2026-03-06 21:14:19.805047,0
2026-03-06 21:14:19.805128,1
2026-03-06 21:14:19.805367,1
2026-03-06 21:14:19.80547,1
2026-03-06 21:14:19.805608,1
2026-03-06 21:14:19.907489,1
2026-03-06 21:14:19.907544,1
2026-03-06 21:14:19.907556,1
2026-03-06 21:14:19.907599,1
2026-03-06 21:14:19.907655,1
2026-03-06 21:14:19.907705,1
2026-03-06 21:14:19.907771,1
2026-03-06 21:14:19.907813,0
2026-03-06 21:14:19.907871,1
2026-03-06 21:14:20.007955,1
2026-03-06 21:14:20.007992,1
2026-03-06 21:14:20.008015,1
2026-03-06 21:14:20.008032,1
2026-03-06 21:14:20.008063,1
2026-03-06 21:14:20.008092,1
2026-03-06 21:14:20.008129,1
2026-03-06 21:14:20.008166,1
2026-03-06 21:14:20.008201,1
2026-03-06 21:14:20.008274,0
