sku,api_id,model,trim,style,canopy_style,diameter_in,diameter_spill_in,gores,rating_20fps_lb,rating_15fps_lb,weight_oz,weight_g,packing_volume_in3,area_projected_sqft,area_canopy_sqft,area_spill_sqft,cd_projected,cd_area_canopy,equivalent_flat_diameter_in,performance_ratio_20fps,performance_ratio_15fps,manufacturer,description,url,source,scraped_at
CFC-12,260,CFC,,Classic Elliptical with nylon lines,elliptical,12,2.4,8,0.5383,0.3028,1.31,37.1385,7.28,0.754,1.3421,0.0314,1.5,0.8427,15.6865,6.5752,3.6985,Fruity Chutes,CFC-12 - 12 in diameter Classic Elliptical with nylon lines,,api,2026-07-30T21:01:00+00:00
CFC-12-S,270,CFC,-S,Classic Elliptical Compact with Spectra lines,elliptical,12,2.4,8,0.5383,0.3028,0.8536,24.2,4.74,0.754,1.3421,0.0314,1.5,0.8427,15.6865,10.0906,5.676,Fruity Chutes,CFC-12-S - 12 in diameter Classic Elliptical Compact with Spectra lines,,api,2026-07-30T21:01:00+00:00
CFC-120,420,CFC,,Classic Elliptical with nylon lines,elliptical,120,24,12,53.8343,30.2818,36,1020.6,200,75.3982,134.2087,3.1416,1.5,0.8427,156.8653,23.9263,13.4586,Fruity Chutes,CFC-120 - 120 in diameter Classic Elliptical with nylon lines,,api,2026-07-30T21:01:00+00:00
CFC-15,280,CFC,,Classic Elliptical with nylon lines,elliptical,15,3,8,0.8412,0.4732,1.5,42.525,8.33,1.1781,2.097,0.0491,1.5,0.8427,19.6082,8.9724,5.047,Fruity Chutes,CFC-15 - 15 in diameter Classic Elliptical with nylon lines,,api,2026-07-30T21:01:00+00:00
CFC-15-S,290,CFC,-S,Classic Elliptical Compact with Spectra lines,elliptical,15,3,8,0.8412,0.4732,1,28.35,5.56,1.1781,2.097,0.0491,1.5,0.8427,19.6082,13.4586,7.5704,Fruity Chutes,CFC-15-S - 15 in diameter Classic Elliptical Compact with Spectra lines,,api,2026-07-30T21:01:00+00:00
CFC-18,300,CFC,,Classic Elliptical with nylon lines,elliptical,18,3.6,8,1.2113,0.6813,1.74,49.329,9.67,1.6965,3.0197,0.0707,1.5,0.8427,23.5298,11.1381,6.2652,Fruity Chutes,CFC-18 - 18 in diameter Classic Elliptical with nylon lines,,api,2026-07-30T21:01:00+00:00
CFC-18-S,310,CFC,-S,Classic Elliptical Compact with Spectra lines,elliptical,18,3.6,8,1.2113,0.6813,1.16,32.886,6.44,1.6965,3.0197,0.0707,1.5,0.8427,23.5298,16.7072,9.3978,Fruity Chutes,CFC-18-S - 18 in diameter Classic Elliptical Compact with Spectra lines,,api,2026-07-30T21:01:00+00:00
CFC-24,320,CFC,,Classic Elliptical with nylon lines,elliptical,24,4.8,8,2.1534,1.2113,2.2,62.37,12.22,3.0159,5.3683,0.1257,1.5,0.8427,31.3731,15.6609,8.8092,Fruity Chutes,CFC-24 - 24 in diameter Classic Elliptical with nylon lines,,api,2026-07-30T21:01:00+00:00
CFC-24-S,330,CFC,-S,Classic Elliptical Compact with Spectra lines,elliptical,24,4.8,8,2.1534,1.2113,1.59,45.0765,8.83,3.0159,5.3683,0.1257,1.5,0.8427,31.3731,21.6691,12.1889,Fruity Chutes,CFC-24-S - 24 in diameter Classic Elliptical Compact with Spectra lines,,api,2026-07-30T21:01:00+00:00
CFC-30,340,CFC,,Classic Elliptical with nylon lines,elliptical,30,6,8,3.3646,1.8926,3.1,87.885,17.22,4.7124,8.388,0.1963,1.5,0.8427,39.2163,17.3659,9.7683,Fruity Chutes,CFC-30 - 30 in diameter Classic Elliptical with nylon lines,,api,2026-07-30T21:01:00+00:00
CFC-30-S,345,CFC,-S,Classic Elliptical Compact with Spectra lines,elliptical,30,6,8,3.36,1.89,2.08,59,11.56,4.7124,8.388,0.1963,1.5,0.8,39.2163,25.88,14.56,Fruity Chutes,CFC-30-S - 30 in diameter Classic Elliptical Compact with Spectra lines,,api,2026-07-30T21:01:00+00:00
CFC-36,350,CFC,,Classic Elliptical with nylon lines,elliptical,36,7.2,12,4.8451,2.7254,4.5,127.575,25,6.7858,12.0788,0.2827,1.5,0.8427,47.0596,17.227,9.6902,Fruity Chutes,CFC-36 - 36 in diameter Classic Elliptical with nylon lines,,api,2026-07-30T21:01:00+00:00
