month,n_soundings,L_fit_mean_k_per_km,L_fit_sd,L_fit_p05,L_fit_p95,L_eq7_mean_k_per_km,L_isa_k_per_km
1,72,-5.986,0.626,-7.170,-5.077,-5.946,-6.500
2,110,-6.280,0.723,-7.424,-5.181,-6.286,-6.500
3,183,-6.537,0.588,-7.446,-5.612,-6.715,-6.500
4,125,-6.721,0.641,-7.781,-5.638,-7.119,-6.500
5,92,-6.968,0.681,-7.943,-5.890,-7.680,-6.500
6,86,-6.968,0.776,-8.040,-5.570,-8.118,-6.500
7,118,-7.135,0.609,-8.062,-6.167,-8.547,-6.500
8,114,-6.982,0.615,-7.863,-5.894,-8.200,-6.500
9,131,-6.534,0.668,-7.533,-5.489,-7.815,-6.500
10,109,-6.289,0.718,-7.389,-5.146,-7.058,-6.500
11,103,-5.989,0.593,-6.809,-4.831,-6.276,-6.500
12,88,-5.976,0.623,-6.999,-5.063,-6.381,-6.500
