month,n_soundings,H_msl_m,H_agl_ft,u_mean_ms,v_mean_ms,spd_mean_ms,spd_sd_ms,spd_p05_ms,spd_p50_ms,spd_p95_ms,dir_mean_deg
1,72,630,0,-0.32,0.26,2.81,3.81,0.50,2.18,6.69,129.6
1,72,880,820,-0.63,-0.50,2.90,2.95,0.37,1.75,8.56,51.8
1,72,1130,1640,-1.24,-1.41,4.31,3.44,0.73,3.94,11.73,41.4
1,72,1380,2461,-1.67,-2.13,5.42,3.65,0.99,4.63,10.81,38.2
1,72,1630,3281,-1.86,-2.58,6.33,4.04,1.06,5.55,13.14,35.7
1,72,1880,4101,-1.56,-2.75,6.71,4.26,1.19,5.80,14.56,29.5
1,72,2130,4921,-1.05,-2.84,7.15,4.26,1.78,6.23,14.73,20.3
1,72,2380,5741,-0.44,-3.01,7.64,4.51,2.02,6.52,15.68,8.3
1,72,2630,6562,0.15,-3.23,8.17,4.95,2.37,7.17,16.68,357.3
1,72,2880,7382,0.73,-3.34,8.66,5.33,2.26,7.22,19.11,347.7
1,72,3130,8202,1.22,-3.53,9.17,5.73,2.52,7.72,21.21,340.9
1,72,3380,9022,1.79,-3.76,9.49,5.85,2.80,8.32,20.92,334.5
1,72,3630,9843,2.44,-3.91,9.81,6.14,3.36,8.33,22.38,328.0
1,72,3880,10663,3.06,-4.15,10.27,6.53,3.08,8.78,23.48,323.6
1,72,4130,11483,3.69,-4.44,10.89,7.04,3.38,9.21,24.19,320.3
1,72,4380,12303,4.19,-4.67,11.53,7.43,3.85,9.37,26.35,318.1
1,72,4630,13123,4.72,-4.79,12.01,7.58,3.73,9.90,27.03,315.4
1,72,4880,13944,5.26,-4.89,12.56,7.77,3.79,10.60,27.98,312.9
1,72,5130,14764,5.90,-5.05,13.21,8.06,3.69,11.48,29.66,310.6
1,72,5380,15584,6.60,-5.10,13.81,8.18,4.02,11.91,30.10,307.7
1,72,5630,16404,7.12,-5.10,14.31,8.35,3.86,12.54,30.71,305.6
1,72,5880,17224,7.47,-5.15,14.71,8.52,3.70,12.88,31.83,304.6
1,72,6130,18045,7.81,-5.14,15.12,8.68,3.97,13.50,32.83,303.3
1,72,6380,18865,8.14,-5.29,15.64,8.77,3.65,13.74,34.57,303.0
1,72,6630,19685,8.57,-5.40,16.18,8.87,3.98,14.29,35.44,302.2
1,72,6880,20505,9.04,-5.51,16.81,9.10,4.85,14.85,35.93,301.4
1,72,7130,21325,9.47,-5.52,17.34,9.50,5.24,16.41,36.83,300.3
1,72,7380,22146,9.93,-5.55,17.93,9.84,4.78,16.47,38.14,299.2
1,72,7630,22966,10.46,-5.74,18.60,10.03,5.57,16.87,38.93,298.8
1,72,7880,23786,10.86,-5.90,19.30,10.31,6.02,17.28,39.70,298.5
1,72,8130,24606,11.19,-6.00,20.02,10.64,5.63,18.14,40.47,298.2
1,72,8380,25427,11.54,-5.90,20.72,11.03,5.83,18.39,41.24,297.1
2,108,630,0,0.53,0.63,3.22,2.45,0.61,2.61,8.10,220.1
2,108,880,820,0.97,-0.40,4.38,3.61,0.64,3.35,11.89,292.4
2,108,1130,1640,1.29,-1.61,6.12,4.25,1.02,5.57,14.84,321.3
2,108,1380,2461,1.12,-2.32,7.17,4.28,1.28,6.75,14.07,334.1
2,108,1630,3281,1.16,-2.98,7.92,4.64,0.83,7.25,15.96,338.6
2,108,1880,4101,1.47,-3.25,8.37,4.64,1.27,7.94,16.21,335.6
2,108,2130,4921,2.03,-3.60,9.04,4.79,2.32,8.74,17.03,330.6
2,108,2380,5741,2.47,-3.85,9.73,5.06,2.69,9.37,18.15,327.3
2,108,2630,6562,3.22,-4.25,10.57,5.59,3.40,9.60,21.51,322.8
2,108,2880,7382,3.80,-4.63,11.45,6.16,3.49,10.09,23.96,320.6
2,108,3130,8202,4.39,-5.07,12.32,6.60,3.20,10.95,25.69,319.1
2,108,3380,9022,5.12,-5.34,12.92,6.91,3.73,11.72,26.95,316.2
