month,n_soundings,H_msl_m,H_agl_ft,T_mean_k,T_sd_k,T_p05_k,T_p50_k,T_p95_k,eq7_minus_measured_k
1,48,630,0,279.00,11.52,259.34,280.83,294.14,+0.00
1,48,880,820,281.81,3.55,276.33,281.69,287.27,-4.31
1,48,1130,1640,281.83,3.33,275.96,281.67,287.02,-5.84
1,48,1380,2461,280.74,3.40,274.75,280.82,285.79,-6.25
1,48,1630,3281,279.91,3.67,272.92,280.33,285.32,-6.93
1,48,1880,4101,279.12,4.04,271.22,279.65,284.80,-7.64
1,48,2130,4921,278.45,4.42,269.78,279.06,284.09,-8.46
1,48,2380,5741,277.50,4.56,269.01,278.19,283.86,-9.03
1,48,2630,6562,276.62,4.81,267.26,277.69,282.34,-9.65
1,48,2880,7382,275.62,4.88,265.55,276.90,281.23,-10.15
1,48,3130,8202,274.40,4.83,264.83,275.71,279.84,-10.44
1,48,3380,9022,272.99,4.73,263.91,274.21,278.47,-10.52
1,48,3630,9843,271.54,4.69,262.72,272.77,276.76,-10.57
1,48,3880,10663,270.00,4.60,261.44,271.26,275.49,-10.54
1,48,4130,11483,268.57,4.54,260.14,269.57,274.20,-10.61
1,48,4380,12303,266.97,4.53,258.19,267.83,272.62,-10.52
1,48,4630,13123,265.22,4.64,256.11,266.62,270.69,-10.27
1,48,4880,13944,263.58,4.74,254.43,265.06,268.92,-10.13
1,48,5130,14764,261.87,4.73,252.31,263.60,267.11,-9.92
1,48,5380,15584,260.19,4.72,250.40,261.77,265.32,-9.75
1,48,5630,16404,258.45,4.76,248.40,259.67,263.62,-9.52
1,48,5880,17224,256.55,4.86,246.20,257.63,261.99,-9.12
1,48,6130,18045,254.70,4.91,244.10,255.75,260.61,-8.77
1,48,6380,18865,252.78,4.91,242.68,253.94,258.88,-8.35
1,48,6630,19685,250.87,4.85,240.79,252.05,256.79,-7.95
1,48,6880,20505,248.99,4.72,239.79,249.99,254.68,-7.57
1,48,7130,21325,247.18,4.56,238.72,247.94,252.96,-7.26
1,48,7380,22146,245.42,4.39,236.95,246.19,251.49,-7.00
1,48,7630,22966,243.53,4.18,235.30,244.49,249.43,-6.62
1,48,7880,23786,241.73,3.99,234.15,242.69,247.34,-6.32
1,48,8130,24606,239.85,3.78,233.18,240.42,245.19,-5.94
1,48,8380,25427,237.93,3.63,232.12,238.34,243.06,-5.53
2,74,630,0,281.22,12.73,256.10,281.98,297.52,+0.00
2,74,880,820,282.88,5.69,274.19,283.60,290.44,-3.21
2,74,1130,1640,281.92,5.63,273.08,282.76,289.74,-3.81
2,74,1380,2461,280.62,5.73,271.53,281.89,288.86,-4.07
2,74,1630,3281,279.14,5.71,269.95,280.57,287.84,-4.14
2,74,1880,4101,277.76,5.69,268.16,279.28,286.08,-4.32
2,74,2130,4921,276.20,5.80,265.91,277.61,284.22,-4.32
2,74,2380,5741,274.94,5.71,264.11,276.00,282.48,-4.61
2,74,2630,6562,273.87,5.57,262.63,274.63,281.10,-5.10
2,74,2880,7382,272.80,5.47,261.48,273.09,280.28,-5.59
2,74,3130,8202,271.49,5.52,260.98,271.66,279.52,-5.83
2,74,3380,9022,270.30,5.44,260.59,270.50,278.18,-6.20
2,74,3630,9843,269.01,5.36,260.11,269.30,277.37,-6.47
2,74,3880,10663,267.45,5.33,258.75,267.60,275.60,-6.47
2,74,4130,11483,265.89,5.30,257.48,265.76,273.78,-6.46
2,74,4380,12303,264.33,5.28,256.10,264.05,272.24,-6.46
2,74,4630,13123,262.71,5.25,254.85,262.48,270.54,-6.39
2,74,4880,13944,261.05,5.28,253.24,260.58,269.33,-6.29
2,74,5130,14764,259.44,5.25,250.96,259.01,267.52,-6.24
2,74,5380,15584,257.65,5.20,250.59,257.52,266.12,-6.01
2,74,5630,16404,255.86,5.27,248.74,255.80,264.80,-5.77
2,74,5880,17224,253.94,5.30,246.62,254.08,262.78,-5.41
2,74,6130,18045,252.09,5.29,244.53,252.21,261.00,-5.12
