month,n_obs,p_pad_mean_pa,p_pad_sd_pa,p_pad_p05_pa,p_pad_p95_pa,p_pad_min_pa,p_pad_max_pa,T_pad_n,T_pad_mean_k,T_pad_sd_k,T_pad_p05_k,T_pad_p95_k,rho_pad_mean,rho_pad_p05,rho_pad_p95,lw_T_pad_n,lw_T_pad_mean_k,lw_T_pad_p05_k,lw_T_pad_p95_k,lw_rho_pad_mean
1,697,94745.2,512.9,93978.9,95580.8,93570.5,96051.9,697,280.90,5.30,273.20,290.34,1.17548,1.13414,1.21572,248,284.16,275.05,292.88,1.16214
2,620,94452.3,477.9,93539.1,95172.4,93068.0,95360.9,620,283.72,6.52,274.82,295.82,1.16037,1.11415,1.20242,216,287.60,277.34,299.12,1.14517
3,671,94261.2,313.5,93884.6,94826.9,93601.9,95329.5,670,291.22,7.92,278.51,305.27,1.12846,1.07317,1.18163,249,296.48,284.60,306.52,1.10859
4,607,94059.7,264.5,93633.4,94512.8,93476.3,94795.5,607,289.56,6.24,280.05,300.19,1.13218,1.08964,1.17289,228,294.37,287.45,301.78,1.11333
5,712,93842.3,260.7,93350.7,94198.7,93005.2,94418.6,712,294.58,6.96,284.32,306.62,1.11038,1.06561,1.15068,265,299.93,290.86,308.70,1.09035
6,705,93784.0,193.4,93476.3,94135.9,93319.3,94293.0,705,300.15,6.49,290.34,310.82,1.08901,1.05123,1.12500,264,305.95,298.42,311.90,1.06796
7,732,94019.7,204.6,93696.2,94355.8,93413.5,94512.8,732,301.84,6.51,291.92,311.82,1.08565,1.04902,1.12334,278,307.43,300.20,313.53,1.06577
8,689,94078.0,202.1,93759.0,94437.4,93570.5,94544.2,688,302.92,6.46,293.42,313.22,1.08243,1.04396,1.11880,257,308.35,300.36,314.82,1.06320
9,578,93990.2,217.5,93664.8,94387.2,93476.3,94638.5,578,298.34,5.71,289.92,308.32,1.09792,1.06142,1.12988,215,302.56,295.06,309.48,1.08268
10,667,94098.8,324.5,93539.1,94607.1,93193.6,94921.2,667,290.83,6.50,281.15,302.19,1.12773,1.08340,1.16797,229,295.41,285.10,303.84,1.11031
11,638,94348.7,335.6,93790.4,94894.5,93507.7,95203.9,637,286.31,6.57,277.02,298.42,1.14859,1.10069,1.18825,240,289.93,280.61,301.73,1.13451
12,714,94535.4,347.2,93978.9,95109.6,93633.4,95392.3,714,282.75,5.59,274.42,292.65,1.16521,1.12249,1.20356,249,286.35,277.26,295.50,1.15095
