time_utc,station,altim_pa,t_station_c,dewp_c,p_pad_pa,t_pad_k,rho_pad
2025-07-01 00:55,KEDW,101016.0,34.9,-10.4,93696.2,308.52,1.05798
2025-07-01 01:55,KEDW,101016.0,33.3,-7.2,93696.2,306.92,1.06350
2025-07-01 02:55,KEDW,101016.0,30.4,-2.2,93696.2,304.02,1.07364
2025-07-01 03:55,KEDW,101049.8,27.4,1.0,93727.6,301.02,1.08471
2025-07-01 04:55,KEDW,101083.7,26.0,-1.0,93759.0,299.62,1.09014
2025-07-01 05:55,KEDW,101117.6,24.0,-2.6,93790.4,297.62,1.09784
2025-07-01 06:55,KEDW,101117.6,23.6,-3.7,93790.4,297.22,1.09931
2025-07-01 07:55,KEDW,101117.6,22.0,-3.4,93790.4,295.62,1.10526
2025-07-01 08:55,KEDW,101083.7,18.9,-3.9,93759.0,292.52,1.11660
2025-07-01 09:55,KEDW,101083.7,19.6,-3.3,93759.0,293.22,1.11394
2025-07-01 10:55,KEDW,101117.6,20.7,-1.8,93790.4,294.32,1.11014
2025-07-01 11:55,KEDW,101117.6,19.9,-1.9,93790.4,293.52,1.11317
2025-07-01 12:55,KEDW,101151.4,17.6,-2.7,93821.8,291.22,1.12234
2025-07-01 13:55,KEDW,101219.2,20.5,-3.2,93884.6,294.12,1.11202
2025-07-01 14:55,KEDW,101253.0,24.1,-0.3,93916.0,297.72,1.09894
2025-07-01 15:55,KEDW,101253.0,27.1,0.7,93916.0,300.72,1.08797
2025-07-01 16:55,KEDW,101219.2,30.4,0.8,93884.6,304.02,1.07580
2025-07-01 17:55,KEDW,101219.2,32.2,-2.0,93884.6,305.82,1.06947
2025-07-01 18:55,KEDW,101151.4,33.7,-11.2,93821.8,307.32,1.06354
2025-07-01 19:55,KEDW,101117.6,36.1,-9.5,93790.4,309.72,1.05495
2025-07-01 20:55,KEDW,101083.7,35.9,-9.7,93759.0,309.52,1.05527
2025-07-01 21:55,KEDW,100948.3,37.0,-15.3,93633.4,310.62,1.05013
2025-07-01 22:55,KEDW,100914.4,37.4,-11.4,93601.9,311.02,1.04842
2025-07-01 23:55,KEDW,100880.5,36.5,-12.1,93570.5,310.12,1.05111
2025-07-02 00:55,KEDW,100846.7,36.3,-20.5,93539.1,309.92,1.05144
2025-07-02 01:55,KEDW,100812.8,34.0,-4.9,93507.7,307.62,1.05895
2025-07-02 02:55,KEDW,100880.5,30.5,-3.3,93570.5,304.12,1.07185
2025-07-02 03:55,KEDW,100880.5,27.8,-4.2,93570.5,301.42,1.08145
2025-07-02 04:55,KEDW,100948.3,26.3,-5.4,93633.4,299.92,1.08759
2025-07-02 05:55,KEDW,100948.3,24.7,-5.6,93633.4,298.32,1.09343
2025-07-02 06:55,KEDW,100982.1,23.2,-4.0,93664.8,296.82,1.09932
2025-07-02 07:55,KEDW,100982.1,22.6,-5.4,93664.8,296.22,1.10155
2025-07-02 08:55,KEDW,100948.3,22.1,0.6,93633.4,295.72,1.10304
2025-07-02 09:55,KEDW,100948.3,21.2,1.4,93633.4,294.82,1.10641
2025-07-02 10:55,KEDW,100948.3,20.4,2.7,93633.4,294.02,1.10942
2025-07-02 11:55,KEDW,100982.1,20.3,3.1,93664.8,293.92,1.11017
2025-07-02 12:55,KEDW,101016.0,19.5,2.8,93696.2,293.12,1.11357
2025-07-02 13:55,KEDW,101049.8,20.0,2.3,93727.6,293.62,1.11205
2025-07-02 14:55,KEDW,101083.7,24.2,3.5,93759.0,297.82,1.09673
2025-07-02 15:55,KEDW,101117.6,28.3,3.9,93790.4,301.92,1.08220
2025-07-02 16:55,KEDW,101117.6,30.7,2.8,93790.4,304.32,1.07366
2025-07-02 17:55,KEDW,101117.6,31.9,1.1,93790.4,305.52,1.06945
2025-07-02 18:55,KEDW,101083.7,33.6,-3.7,93759.0,307.22,1.06317
2025-07-02 19:55,KEDW,101016.0,35.2,-5.8,93696.2,308.82,1.05696
2025-07-02 20:55,KEDW,100948.3,35.9,-7.3,93633.4,309.52,1.05386
2025-07-02 22:55,KEDW,100812.8,36.7,-6.8,93507.7,310.32,1.04973
2025-07-02 23:55,KEDW,100745.1,37.4,-8.6,93444.9,311.02,1.04667
2025-07-03 00:38,KEDW,100711.2,36.8,-9.0,93413.5,310.42,1.04834
2025-07-03 01:55,KEDW,100778.9,34.8,-6.1,93476.3,308.42,1.05584
2025-07-03 02:55,KEDW,100846.7,32.7,-9.6,93539.1,306.32,1.06380
2025-07-03 03:55,KEDW,100914.4,30.8,-9.0,93601.9,304.42,1.07116
2025-07-03 04:55,KEDW,100948.3,27.2,1.6,93633.4,300.82,1.08434
2025-07-03 05:55,KEDW,101016.0,25.1,3.1,93696.2,298.72,1.09269
2025-07-03 06:55,KEDW,101016.0,23.9,4.3,93696.2,297.52,1.09710
