month,n_obs,p_pad_mean_pa,p_pad_sd_pa,p_pad_p05_pa,p_pad_p95_pa,p_pad_min_pa,p_pad_max_pa,T_pad_n,T_pad_mean_k,T_pad_sd_k,T_pad_p05_k,T_pad_p95_k,rho_pad_mean,rho_pad_p05,rho_pad_p95,lw_T_pad_n,lw_T_pad_mean_k,lw_T_pad_p05_k,lw_T_pad_p95_k,lw_rho_pad_mean
1,360,94839.8,458.5,93912.9,95392.3,93664.8,95580.8,360,283.36,5.51,275.67,293.08,1.16643,1.12636,1.20251,128,288.12,279.49,294.44,1.14749
2,635,94558.5,488.5,93570.5,95266.7,93225.0,95423.7,635,285.46,6.03,276.87,295.67,1.15446,1.11591,1.19311,224,289.21,279.49,298.66,1.13993
3,744,94373.1,306.3,93983.6,94921.2,93759.0,95392.3,744,293.30,6.78,282.59,304.57,1.12152,1.07780,1.16583,279,297.85,288.05,306.17,1.10474
4,717,94154.0,273.6,93696.2,94638.5,93507.7,94921.2,717,290.05,5.41,282.25,299.57,1.13125,1.09425,1.16300,270,294.09,286.96,300.87,1.11593
5,704,93991.6,243.4,93539.1,94355.8,93287.8,94544.2,704,295.87,6.28,285.39,305.97,1.10717,1.06910,1.14652,270,299.87,290.12,308.18,1.09264
6,704,93923.4,198.9,93601.9,94261.6,93413.5,94450.0,704,301.66,5.23,293.59,310.57,1.08498,1.05356,1.11360,266,305.81,298.87,311.65,1.07040
7,744,94170.8,202.0,93853.2,94512.8,93696.2,94701.3,744,303.01,5.04,294.57,310.57,1.08297,1.05380,1.11283,279,306.39,299.57,312.57,1.07160
8,731,94255.5,195.8,93947.5,94575.7,93759.0,94701.3,731,304.00,4.99,295.57,312.57,1.08043,1.04951,1.11098,278,307.28,299.57,313.57,1.06934
9,710,94156.2,205.1,93853.2,94544.2,93696.2,94701.3,710,299.22,5.19,291.57,307.57,1.09653,1.06578,1.12567,266,301.99,294.57,308.57,1.08700
10,136,94107.5,195.3,93759.0,94387.2,93664.8,94418.6,136,293.49,4.37,287.57,301.57,1.11727,1.08815,1.14008,46,296.49,290.82,303.57,1.10655
