time_utc,station,altim_pa,t_station_c,dewp_c,p_pad_pa,t_pad_k,rho_pad
2025-07-01 00:00,KMHV,101219.2,35.0,-4.0,93884.6,309.57,1.05650
2025-07-01 01:00,KMHV,101185.3,34.0,0.0,93853.2,308.57,1.05957
2025-07-01 02:00,KMHV,101185.3,32.0,1.0,93853.2,306.57,1.06648
2025-07-01 03:00,KMHV,101219.2,29.0,0.0,93884.6,303.57,1.07738
2025-07-01 04:00,KMHV,101219.2,27.0,0.0,93884.6,301.57,1.08452
2025-07-01 05:00,KMHV,101253.0,26.0,0.0,93916.0,300.57,1.08850
2025-07-01 06:00,KMHV,101253.0,25.0,0.0,93916.0,299.57,1.09213
2025-07-01 07:00,KMHV,101253.0,26.0,1.0,93916.0,300.57,1.08850
2025-07-01 08:00,KMHV,101219.2,25.0,1.0,93884.6,299.57,1.09176
2025-07-01 09:00,KMHV,101219.2,25.0,1.0,93884.6,299.57,1.09176
2025-07-01 10:00,KMHV,101219.2,24.0,1.0,93884.6,298.57,1.09542
2025-07-01 11:20,KMHV,101253.0,23.0,2.0,93916.0,297.57,1.09947
2025-07-01 12:00,KMHV,101286.9,23.0,3.0,93947.5,297.57,1.09984
2025-07-01 13:00,KMHV,101320.8,23.0,4.0,93978.9,297.57,1.10021
2025-07-01 14:00,KMHV,101354.6,23.0,4.0,94010.3,297.57,1.10057
2025-07-01 15:00,KMHV,101388.5,28.0,5.0,94041.7,302.57,1.08275
2025-07-01 16:00,KMHV,101388.5,30.0,3.0,94041.7,304.57,1.07564
2025-07-01 17:00,KMHV,101354.6,30.0,3.0,94010.3,304.57,1.07528
2025-07-01 18:00,KMHV,101388.5,31.0,1.0,94041.7,305.57,1.07212
2025-07-01 19:00,KMHV,101320.8,32.0,0.0,93978.9,306.57,1.06791
2025-07-01 20:00,KMHV,101320.8,34.0,-5.0,93978.9,308.57,1.06099
2025-07-01 21:00,KMHV,101253.0,35.0,-8.0,93916.0,309.57,1.05685
2025-07-01 22:00,KMHV,101185.3,36.0,-13.0,93853.2,310.57,1.05274
2025-07-01 23:00,KMHV,101151.4,36.0,-15.0,93821.8,310.57,1.05239
2025-07-02 00:00,KMHV,101083.7,36.0,-17.0,93759.0,310.57,1.05169
2025-07-02 01:00,KMHV,101049.8,34.0,-8.0,93727.6,308.57,1.05815
2025-07-02 02:00,KMHV,101049.8,33.0,-4.0,93727.6,307.57,1.06159
2025-07-02 03:00,KMHV,101049.8,31.0,-4.0,93727.6,305.57,1.06854
2025-07-02 04:00,KMHV,101049.8,29.0,1.0,93727.6,303.57,1.07558
2025-07-02 05:00,KMHV,101117.6,28.0,1.0,93790.4,302.57,1.07985
2025-07-02 06:00,KMHV,101083.7,28.0,0.0,93759.0,302.57,1.07949
2025-07-02 07:00,KMHV,101083.7,27.0,2.0,93759.0,301.57,1.08307
2025-07-02 08:00,KMHV,101117.6,26.0,6.0,93790.4,300.57,1.08704
2025-07-02 09:00,KMHV,101083.7,25.0,8.0,93759.0,299.57,1.09030
2025-07-02 10:40,KMHV,101049.8,24.0,8.0,93727.6,298.57,1.09359
2025-07-02 11:00,KMHV,101083.7,24.0,8.0,93759.0,298.57,1.09396
2025-07-02 12:00,KMHV,101117.6,24.0,7.0,93790.4,298.57,1.09432
2025-07-02 13:00,KMHV,101185.3,22.0,5.0,93853.2,296.57,1.10244
2025-07-02 14:00,KMHV,101185.3,25.0,5.0,93853.2,299.57,1.09140
2025-07-02 15:00,KMHV,101253.0,28.0,5.0,93916.0,302.57,1.08130
2025-07-02 16:00,KMHV,101253.0,29.0,4.0,93916.0,303.57,1.07774
2025-07-02 17:00,KMHV,101253.0,31.0,1.0,93916.0,305.57,1.07069
2025-07-02 18:00,KMHV,101286.9,31.0,1.0,93947.5,305.57,1.07104
2025-07-02 19:00,KMHV,101286.9,33.0,-2.0,93947.5,307.57,1.06408
2025-07-02 20:00,KMHV,101219.2,34.0,0.0,93884.6,308.57,1.05992
2025-07-02 21:40,KMHV,101117.6,34.0,-2.0,93790.4,308.57,1.05886
2025-07-02 22:00,KMHV,101117.6,34.0,0.0,93790.4,308.57,1.05886
2025-07-02 23:00,KMHV,101083.7,35.0,0.0,93759.0,309.57,1.05508
2025-07-03 00:00,KMHV,101049.8,34.0,0.0,93727.6,308.57,1.05815
2025-07-03 01:00,KMHV,101016.0,33.0,-1.0,93696.2,307.57,1.06123
2025-07-03 02:00,KMHV,101016.0,32.0,-5.0,93696.2,306.57,1.06469
2025-07-03 03:00,KMHV,101049.8,30.0,-5.0,93727.6,304.57,1.07205
2025-07-03 04:00,KMHV,101083.7,29.0,-3.0,93759.0,303.57,1.07594
2025-07-03 05:00,KMHV,101083.7,28.0,0.0,93759.0,302.57,1.07949
2025-07-03 06:00,KMHV,101151.4,28.0,1.0,93821.8,302.57,1.08022
2025-07-03 07:00,KMHV,101151.4,27.0,2.0,93821.8,301.57,1.08380
2025-07-03 08:00,KMHV,101185.3,27.0,4.0,93853.2,301.57,1.08416
2025-07-03 09:00,KMHV,101185.3,26.0,4.0,93853.2,300.57,1.08777
2025-07-03 10:00,KMHV,101185.3,26.0,5.0,93853.2,300.57,1.08777
2025-07-03 11:00,KMHV,101219.2,25.0,4.0,93884.6,299.57,1.09176
2025-07-03 12:00,KMHV,101253.0,24.0,4.0,93916.0,298.57,1.09579
2025-07-03 13:00,KMHV,101320.8,22.0,4.0,93978.9,296.57,1.10392
2025-07-03 14:00,KMHV,101354.6,25.0,5.0,94010.3,299.57,1.09323
2025-07-03 15:00,KMHV,101422.4,28.0,5.0,94073.1,302.57,1.08311
2025-07-03 16:00,KMHV,101456.2,30.0,4.0,94104.5,304.57,1.07636
2025-07-03 17:00,KMHV,101456.2,30.0,6.0,94104.5,304.57,1.07636
2025-07-03 18:00,KMHV,101422.4,31.0,6.0,94073.1,305.57,1.07248
2025-07-03 19:00,KMHV,101422.4,33.0,6.0,94073.1,307.57,1.06550
2025-07-03 20:00,KMHV,101354.6,34.0,4.0,94010.3,308.57,1.06134
2025-07-03 21:00,KMHV,101286.9,35.0,4.0,93947.5,309.57,1.05720
2025-07-03 22:00,KMHV,101219.2,35.0,4.0,93884.6,309.57,1.05650
2025-07-03 23:00,KMHV,101185.3,35.0,4.0,93853.2,309.57,1.05614
2025-07-04 00:00,KMHV,101185.3,34.0,6.0,93853.2,308.57,1.05957
2025-07-04 01:00,KMHV,101185.3,34.0,6.0,93853.2,308.57,1.05957
2025-07-04 02:00,KMHV,101219.2,32.0,7.0,93884.6,306.57,1.06684
2025-07-04 03:00,KMHV,101219.2,30.0,7.0,93884.6,304.57,1.07384
2025-07-04 04:00,KMHV,101253.0,28.0,3.0,93916.0,302.57,1.08130
2025-07-04 05:00,KMHV,101388.5,27.0,5.0,94041.7,301.57,1.08634
2025-07-04 06:00,KMHV,101422.4,26.0,7.0,94073.1,300.57,1.09032
2025-07-04 07:00,KMHV,101490.1,25.0,1.0,94135.9,299.57,1.09469
2025-07-04 08:00,KMHV,101456.2,24.0,2.0,94104.5,298.57,1.09799
