month,n_obs,p_pad_mean_pa,p_pad_sd_pa,p_pad_p05_pa,p_pad_p95_pa,p_pad_min_pa,p_pad_max_pa,T_pad_n,T_pad_mean_k,T_pad_sd_k,T_pad_p05_k,T_pad_p95_k,rho_pad_mean,rho_pad_p05,rho_pad_p95,lw_T_pad_n,lw_T_pad_mean_k,lw_T_pad_p05_k,lw_T_pad_p95_k,lw_rho_pad_mean
1,726,94849.1,541.0,93947.5,95698.6,93664.8,96209.0,726,281.27,5.71,272.98,291.88,1.17527,1.13068,1.21874,269,285.46,275.78,294.18,1.15803
2,667,94527.6,548.4,93485.7,95329.5,93068.0,95486.5,667,284.33,6.67,274.86,295.78,1.15880,1.11283,1.20353,250,288.36,277.98,299.68,1.14291
3,729,94301.3,358.4,93821.8,94889.8,93633.4,95423.7,729,292.68,7.55,280.78,305.78,1.12322,1.07122,1.17306,274,297.86,287.80,307.09,1.10377
4,621,94029.6,356.0,93413.5,94669.9,93193.6,94952.6,621,290.79,6.17,280.28,301.38,1.12701,1.08486,1.17169,248,295.31,288.19,301.88,1.10991
5,649,93804.3,346.5,93130.8,94280.4,92534.0,94575.7,649,296.46,7.04,285.78,307.98,1.10293,1.05936,1.14611,253,301.19,291.88,309.92,1.08558
6,623,93708.3,255.2,93287.8,94135.9,93068.0,94355.8,623,302.85,6.28,291.88,312.48,1.07841,1.04343,1.11792,243,307.30,299.68,313.52,1.06303
7,730,94034.7,228.9,93664.8,94418.6,93476.3,94638.5,603,304.97,6.36,294.68,315.28,1.07462,1.03773,1.11361,239,309.06,300.78,316.38,1.06084
8,739,94155.6,236.7,93790.4,94544.2,93507.7,94732.7,739,304.97,6.47,294.68,315.28,1.07606,1.03687,1.11539,277,309.63,301.26,316.38,1.06006
9,679,94102.3,236.5,93693.0,94512.8,93539.1,94701.3,679,300.68,5.76,291.88,310.28,1.09067,1.05620,1.12349,261,304.48,296.38,311.38,1.07725
10,711,94239.1,373.5,93554.8,94826.9,93068.0,95141.0,711,292.34,6.21,282.98,302.48,1.12352,1.08375,1.16326,264,297.11,287.48,303.58,1.10556
11,718,94537.4,341.1,93947.5,95141.0,93696.2,95360.9,718,287.12,6.27,278.58,299.68,1.14760,1.09905,1.18608,270,290.95,281.88,301.65,1.13252
12,739,94635.7,382.3,94038.5,95266.7,93727.6,95549.4,733,282.55,5.69,274.68,292.48,1.16736,1.12313,1.20505,279,286.50,277.48,294.18,1.15124
