month,n_soundings,L_fit_mean_k_per_km,L_fit_sd,L_fit_p05,L_fit_p95,L_eq7_mean_k_per_km,L_isa_k_per_km
1,24,-6.122,0.605,-7.199,-5.179,-5.813,-6.500
2,36,-6.324,0.702,-7.438,-5.277,-6.407,-6.500
3,48,-6.681,0.694,-7.862,-5.776,-6.712,-6.500
4,34,-6.735,0.633,-7.676,-5.779,-6.909,-6.500
5,36,-7.149,0.600,-7.915,-6.027,-7.711,-6.500
6,32,-7.245,0.779,-8.105,-5.754,-8.416,-6.500
7,40,-7.246,0.747,-8.648,-6.102,-8.255,-6.500
8,48,-7.102,0.631,-7.952,-5.914,-8.197,-6.500
9,28,-6.775,0.660,-7.535,-5.718,-7.853,-6.500
10,35,-6.258,0.888,-7.449,-4.884,-6.976,-6.500
11,32,-6.117,0.619,-7.148,-5.280,-6.079,-6.500
12,23,-5.873,0.541,-6.614,-5.093,-6.145,-6.500
