month,n_soundings,H_msl_m,H_agl_ft,T_mean_k,T_sd_k,T_p05_k,T_p50_k,T_p95_k,eq7_minus_measured_k
1,24,630,0,276.94,9.98,256.84,278.54,288.10,+0.00
1,24,880,820,282.33,3.35,277.62,281.89,286.84,-6.85
1,24,1130,1640,281.77,3.95,276.37,281.73,287.98,-7.75
1,24,1380,2461,280.39,4.22,274.52,280.21,287.07,-7.81
1,24,1630,3281,279.03,4.62,272.58,278.79,285.73,-7.91
1,24,1880,4101,277.49,4.86,270.68,277.12,284.85,-7.82
1,24,2130,4921,276.16,4.92,268.73,275.56,283.27,-7.95
1,24,2380,5741,275.22,5.14,267.02,274.26,282.65,-8.46
1,24,2630,6562,274.25,5.30,265.53,273.02,282.53,-8.94
1,24,2880,7382,273.10,5.38,263.83,271.83,281.83,-9.25
1,24,3130,8202,271.96,5.14,262.36,271.07,279.93,-9.56
1,24,3380,9022,270.86,5.05,260.69,270.39,278.16,-9.92
1,24,3630,9843,269.64,5.13,259.05,269.73,276.53,-10.15
1,24,3880,10663,268.12,5.20,257.10,268.90,275.28,-10.08
1,24,4130,11483,266.40,5.17,255.06,267.10,273.19,-9.82
1,24,4380,12303,264.66,5.17,253.04,265.58,271.47,-9.52
1,24,4630,13123,262.92,5.25,250.88,263.90,270.05,-9.24
1,24,4880,13944,261.22,5.35,248.68,262.09,268.18,-8.99
1,24,5130,14764,259.42,5.47,246.57,260.58,266.78,-8.64
1,24,5380,15584,257.48,5.52,244.48,258.74,265.30,-8.16
1,24,5630,16404,255.62,5.61,242.62,256.90,263.17,-7.75
1,24,5880,17224,253.81,5.68,240.61,254.91,261.02,-7.40
1,24,6130,18045,252.07,5.74,238.56,253.18,258.91,-7.11
1,24,6380,18865,250.19,5.90,236.45,251.48,257.51,-6.68
1,24,6630,19685,248.26,5.98,234.32,249.59,256.12,-6.20
1,24,6880,20505,246.37,6.06,232.09,247.63,254.39,-5.77
1,24,7130,21325,244.71,6.25,230.00,245.62,252.72,-5.56
1,24,7380,22146,243.06,5.57,231.13,243.45,250.81,-5.36
1,24,7630,22966,241.32,5.05,231.42,241.34,248.77,-5.07
1,24,7880,23786,239.49,4.66,231.27,239.30,246.48,-4.70
1,24,8130,24606,237.59,4.39,230.79,237.38,244.25,-4.26
1,24,8380,25427,235.73,4.13,229.57,235.39,242.19,-3.85
2,36,630,0,283.09,9.47,263.21,285.28,295.71,+0.00
2,36,880,820,283.95,4.22,277.86,284.20,291.13,-2.46
2,36,1130,1640,282.76,4.27,275.85,283.40,289.32,-2.87
2,36,1380,2461,281.27,4.60,273.52,281.77,288.52,-2.99
2,36,1630,3281,279.85,5.04,271.15,279.68,287.61,-3.16
2,36,1880,4101,278.11,5.22,268.75,278.06,286.13,-3.03
2,36,2130,4921,276.49,5.39,266.93,277.12,284.83,-3.01
2,36,2380,5741,274.72,5.50,265.04,275.55,283.01,-2.84
2,36,2630,6562,273.09,5.56,263.39,273.91,281.62,-2.81
2,36,2880,7382,271.69,5.41,261.72,272.49,280.38,-3.01
2,36,3130,8202,270.58,5.31,260.93,271.24,278.96,-3.51
2,36,3380,9022,269.22,5.32,260.12,270.01,277.77,-3.75
2,36,3630,9843,267.97,5.49,258.25,268.42,277.20,-4.10
2,36,3880,10663,266.71,5.52,256.38,266.87,275.72,-4.44
2,36,4130,11483,265.20,5.56,254.51,265.02,274.25,-4.53
2,36,4380,12303,263.57,5.62,252.73,263.53,272.73,-4.51
2,36,4630,13123,261.93,5.60,251.25,262.26,271.14,-4.47
2,36,4880,13944,260.44,5.40,250.79,260.69,269.17,-4.58
2,36,5130,14764,258.85,5.31,250.79,259.03,267.11,-4.59
2,36,5380,15584,257.40,4.93,248.82,257.59,265.30,-4.74
2,36,5630,16404,255.86,4.92,246.83,256.27,263.74,-4.80
2,36,5880,17224,254.15,4.96,245.06,254.69,261.78,-4.69
2,36,6130,18045,252.34,4.90,243.38,252.57,260.47,-4.49
2,36,6380,18865,250.58,4.68,241.76,250.60,258.88,-4.33
2,36,6630,19685,248.68,4.53,240.66,248.35,256.75,-4.04
2,36,6880,20505,246.73,4.48,239.15,246.48,254.61,-3.68
2,36,7130,21325,244.76,4.43,238.02,244.56,252.48,-3.31
2,36,7380,22146,242.85,4.46,236.72,242.73,250.98,-3.00
2,36,7630,22966,240.86,4.49,234.74,240.34,249.48,-2.62
2,36,7880,23786,238.87,4.53,232.77,237.93,247.78,-2.23
2,36,8130,24606,236.95,4.53,230.82,235.76,245.90,-1.91
2,36,8380,25427,235.07,4.45,229.07,234.17,243.83,-1.64
3,48,630,0,286.25,13.33,265.50,286.64,305.67,+0.00
3,48,880,820,287.67,5.17,280.22,287.07,297.35,-3.09
3,48,1130,1640,286.36,5.28,277.98,286.33,295.47,-3.46
3,48,1380,2461,284.64,5.40,275.78,284.70,293.80,-3.42
3,48,1630,3281,282.89,5.51,273.61,283.29,291.53,-3.35
3,48,1880,4101,281.04,5.49,271.43,281.14,289.22,-3.18
3,48,2130,4921,279.26,5.55,269.24,278.86,286.92,-3.07
3,48,2380,5741,277.57,5.62,267.30,277.04,284.70,-3.06
3,48,2630,6562,275.95,5.77,265.42,276.20,282.51,-3.12
3,48,2880,7382,274.39,5.83,263.90,274.56,280.50,-3.24
3,48,3130,8202,272.92,5.84,262.18,273.14,278.91,-3.44
3,48,3380,9022,271.45,5.74,260.40,271.70,277.98,-3.65
3,48,3630,9843,270.06,5.78,258.60,270.15,277.61,-3.95
3,48,3880,10663,268.57,5.74,256.55,268.75,276.11,-4.13
3,48,4130,11483,267.10,5.75,254.32,267.77,274.37,-4.34
3,48,4380,12303,265.56,5.63,253.86,266.50,272.42,-4.48
3,48,4630,13123,263.84,5.69,252.15,264.81,270.33,-4.43
3,48,4880,13944,262.13,5.66,250.43,263.02,268.29,-4.40
3,48,5130,14764,260.40,5.66,248.71,261.42,266.46,-4.35
3,48,5380,15584,258.64,5.61,247.23,259.76,265.00,-4.27
3,48,5630,16404,256.85,5.58,246.20,257.89,263.24,-4.16
3,48,5880,17224,255.09,5.60,244.58,256.33,261.26,-4.07
3,48,6130,18045,253.24,5.53,242.73,254.49,259.57,-3.91
3,48,6380,18865,251.38,5.35,240.99,252.53,257.83,-3.72
3,48,6630,19685,249.50,5.19,239.15,250.43,255.84,-3.52
3,48,6880,20505,247.67,5.10,237.78,248.45,253.93,-3.36
3,48,7130,21325,245.81,4.99,236.39,246.50,251.70,-3.18
3,48,7380,22146,243.93,4.84,235.05,244.51,249.53,-2.98
3,48,7630,22966,242.04,4.70,234.09,242.27,247.49,-2.77
3,48,7880,23786,240.15,4.51,232.52,240.34,245.94,-2.56
3,48,8130,24606,238.24,4.36,231.23,238.53,243.80,-2.33
3,48,8380,25427,236.39,4.18,230.11,236.92,241.59,-2.15
4,34,630,0,288.30,10.14,267.96,288.38,301.50,+0.00
4,34,880,820,288.72,5.87,280.12,288.17,298.45,-2.15
4,34,1130,1640,287.19,5.84,278.48,287.00,298.48,-2.35
4,34,1380,2461,285.51,5.95,276.06,285.03,297.03,-2.40
4,34,1630,3281,283.79,6.15,273.85,283.77,294.91,-2.40
4,34,1880,4101,281.97,6.28,271.71,282.14,292.57,-2.31
4,34,2130,4921,280.10,6.40,269.67,280.25,290.32,-2.16
4,34,2380,5741,278.18,6.52,267.71,278.60,288.08,-1.98
4,34,2630,6562,276.28,6.61,265.64,276.59,286.24,-1.80
4,34,2880,7382,274.74,6.57,263.96,274.96,284.22,-1.99
4,34,3130,8202,273.36,6.29,263.12,274.19,282.13,-2.34
4,34,3380,9022,272.06,5.82,261.35,272.93,280.29,-2.76
4,34,3630,9843,270.58,5.90,259.23,271.87,278.45,-3.01
4,34,3880,10663,269.21,5.97,257.62,270.51,276.63,-3.37
4,34,4130,11483,267.80,6.11,255.95,269.89,275.23,-3.69
4,34,4380,12303,266.15,6.14,253.91,268.61,273.76,-3.77
4,34,4630,13123,264.39,6.16,251.89,266.78,272.09,-3.73
4,34,4880,13944,262.70,6.09,249.89,265.05,270.19,-3.77
4,34,5130,14764,260.90,6.09,247.92,263.11,268.28,-3.69
4,34,5380,15584,259.14,6.11,246.01,261.16,266.46,-3.66
4,34,5630,16404,257.33,6.19,244.19,259.39,264.85,-3.57
4,34,5880,17224,255.47,6.26,242.32,257.59,263.10,-3.45
4,34,6130,18045,253.60,6.21,240.59,255.55,261.16,-3.30
4,34,6380,18865,251.79,6.17,238.89,253.56,259.18,-3.22
4,34,6630,19685,250.12,5.87,237.47,251.72,257.14,-3.28
4,34,6880,20505,248.39,5.64,236.18,249.92,255.09,-3.27
4,34,7130,21325,246.55,5.47,235.34,247.97,253.05,-3.16
4,34,7380,22146,244.69,5.33,233.80,245.90,251.01,-3.03
4,34,7630,22966,242.75,5.22,232.41,243.86,249.00,-2.81
4,34,7880,23786,240.81,5.14,230.98,241.81,247.32,-2.60
4,34,8130,24606,238.93,4.98,229.97,240.00,245.56,-2.45
4,34,8380,25427,237.07,4.65,229.54,237.90,243.54,-2.31
5,36,630,0,296.62,10.92,278.23,301.03,309.74,+0.00
5,36,880,820,296.11,5.29,286.25,297.43,302.42,-1.42
5,36,1130,1640,294.53,4.81,284.38,296.12,300.11,-1.77
5,36,1380,2461,292.70,4.58,282.41,293.81,298.00,-1.86
5,36,1630,3281,290.70,4.51,280.28,291.72,295.86,-1.79
