month,n_soundings,H_msl_m,H_agl_ft,u_mean_ms,v_mean_ms,spd_mean_ms,spd_sd_ms,spd_p05_ms,spd_p50_ms,spd_p95_ms,dir_mean_deg
1,24,630,0,0.47,0.41,2.02,1.81,0.21,1.48,6.04,228.6
1,24,880,820,0.12,-0.25,2.51,2.49,0.25,1.49,6.30,333.4
1,24,1130,1640,0.17,-0.83,2.76,2.69,0.64,1.24,6.94,348.6
1,24,1380,2461,0.15,-1.27,3.55,2.71,0.83,2.64,8.89,353.4
1,24,1630,3281,0.18,-1.53,4.30,2.93,1.06,3.83,8.68,353.4
1,24,1880,4101,0.50,-1.62,4.82,3.05,1.19,4.38,9.63,342.7
1,24,2130,4921,0.84,-1.73,5.53,3.36,1.79,4.58,11.06,334.1
1,24,2380,5741,1.17,-1.83,6.31,3.89,2.12,5.35,13.36,327.4
1,24,2630,6562,1.51,-1.94,7.15,4.56,2.35,5.62,15.73,322.1
1,24,2880,7382,1.84,-2.04,8.04,5.32,2.55,6.18,18.23,317.9
1,24,3130,8202,2.15,-2.13,8.88,5.95,2.75,6.94,20.66,314.7
1,24,3380,9022,2.71,-2.10,9.07,6.18,3.19,7.24,21.41,307.7
1,24,3630,9843,3.28,-2.06,9.28,6.45,3.38,7.16,22.18,302.1
1,24,3880,10663,3.85,-2.02,9.55,6.74,3.26,7.23,22.98,297.7
1,24,4130,11483,4.42,-1.99,9.90,7.03,3.69,7.16,23.80,294.2
1,24,4380,12303,4.99,-1.95,10.33,7.31,3.88,7.46,24.66,291.4
1,24,4630,13123,5.56,-1.92,10.82,7.58,4.12,8.00,25.53,289.0
1,24,4880,13944,6.12,-1.88,11.37,7.85,4.46,8.43,26.43,287.1
1,24,5130,14764,6.69,-1.84,11.95,8.13,4.87,8.94,27.35,285.4
1,24,5380,15584,7.26,-1.81,12.56,8.42,5.03,9.83,28.28,284.0
1,24,5630,16404,7.83,-1.76,13.20,8.72,5.20,10.78,29.24,282.7
1,24,5880,17224,8.20,-1.73,13.63,8.96,4.70,11.52,30.54,281.9
1,24,6130,18045,8.41,-1.75,13.93,9.22,3.71,11.91,32.09,281.7
1,24,6380,18865,8.63,-1.77,14.30,9.46,3.46,11.97,33.65,281.6
1,24,6630,19685,8.84,-1.79,14.70,9.70,3.31,11.92,35.21,281.4
1,24,6880,20505,9.06,-1.81,15.15,9.95,3.21,11.87,36.77,281.3
1,24,7130,21325,9.38,-1.84,15.74,10.15,3.29,12.08,38.33,281.1
1,24,7380,22146,9.81,-1.69,16.55,10.34,3.69,13.00,39.88,279.8
