month,n_soundings,L_fit_mean_k_per_km,L_fit_sd,L_fit_p05,L_fit_p95,L_eq7_mean_k_per_km,L_isa_k_per_km
1,618,-6.233,0.629,-7.228,-5.195,-6.369,-6.500
2,565,-6.501,0.643,-7.575,-5.367,-6.622,-6.500
3,614,-6.909,0.655,-7.930,-5.767,-7.015,-6.500
4,584,-7.233,0.632,-8.260,-6.130,-7.498,-6.500
5,607,-7.475,0.689,-8.537,-6.285,-7.891,-6.500
6,592,-7.598,0.649,-8.592,-6.474,-8.502,-6.500
7,638,-7.555,0.609,-8.497,-6.519,-8.830,-6.500
8,616,-7.417,0.578,-8.253,-6.443,-8.705,-6.500
9,597,-7.165,0.620,-8.128,-6.098,-8.247,-6.500
10,619,-6.689,0.764,-7.853,-5.384,-7.501,-6.500
11,598,-6.333,0.612,-7.253,-5.238,-6.833,-6.500
12,615,-6.172,0.614,-7.163,-5.115,-6.401,-6.500
