month,n_soundings,H_msl_m,H_agl_ft,T_mean_k,T_sd_k,T_p05_k,T_p50_k,T_p95_k,eq7_minus_measured_k
1,618,630,0,282.70,7.04,270.83,283.64,292.42,+0.00
1,618,880,820,283.21,3.51,277.19,283.37,288.67,-2.11
1,618,1130,1640,281.68,3.51,275.72,281.91,287.51,-2.17
1,618,1380,2461,280.19,3.66,274.07,280.30,286.42,-2.27
1,618,1630,3281,278.75,3.86,272.08,278.81,285.06,-2.43
1,618,1880,4101,277.37,4.14,270.27,277.45,283.78,-2.64
1,618,2130,4921,276.09,4.38,268.42,276.18,282.88,-2.95
1,618,2380,5741,274.92,4.61,266.69,275.20,281.56,-3.37
1,618,2630,6562,273.80,4.78,264.87,274.20,280.30,-3.84
1,618,2880,7382,272.60,4.91,263.57,273.10,279.60,-4.23
1,618,3130,8202,271.30,4.99,261.97,271.84,278.22,-4.52
1,618,3380,9022,269.96,5.02,260.49,270.62,276.75,-4.78
1,618,3630,9843,268.57,5.04,258.95,269.33,275.48,-4.98
1,618,3880,10663,267.17,5.08,257.45,268.01,274.21,-5.17
1,618,4130,11483,265.65,5.08,255.72,266.63,272.61,-5.25
1,618,4380,12303,264.06,5.09,254.12,265.10,270.96,-5.24
1,618,4630,13123,262.46,5.08,252.44,263.51,269.23,-5.24
1,618,4880,13944,260.82,5.09,250.48,261.89,267.70,-5.19
1,618,5130,14764,259.14,5.11,248.85,260.13,266.09,-5.11
1,618,5380,15584,257.44,5.13,247.21,258.52,264.33,-5.00
1,618,5630,16404,255.72,5.15,245.61,256.63,262.62,-4.87
1,618,5880,17224,253.98,5.17,243.60,254.83,260.83,-4.72
1,618,6130,18045,252.17,5.15,241.68,252.99,259.07,-4.50
1,618,6380,18865,250.33,5.13,240.13,251.17,257.08,-4.26
1,618,6630,19685,248.49,5.11,238.56,249.36,255.33,-4.01
1,618,6880,20505,246.63,5.08,236.75,247.45,253.49,-3.74
1,618,7130,21325,244.80,5.01,235.24,245.52,251.69,-3.51
1,618,7380,22146,242.94,4.94,233.76,243.48,249.83,-3.23
1,618,7630,22966,241.09,4.76,232.77,241.54,247.70,-2.98
1,618,7880,23786,239.23,4.56,231.56,239.50,245.87,-2.71
1,618,8130,24606,237.36,4.38,230.05,237.64,243.80,-2.44
1,618,8380,25427,235.53,4.18,228.64,235.88,241.94,-2.19
2,565,630,0,285.32,7.59,273.41,285.14,297.06,+0.00
2,565,880,820,285.05,4.90,276.35,285.20,292.80,-1.38
2,565,1130,1640,283.29,4.85,274.88,283.73,290.71,-1.28
2,565,1380,2461,281.44,4.92,273.18,281.94,289.26,-1.08
2,565,1630,3281,279.63,5.01,271.14,280.16,287.50,-0.93
2,565,1880,4101,277.89,5.09,268.94,278.67,285.81,-0.84
2,565,2130,4921,276.22,5.17,266.76,276.97,283.97,-0.83
2,565,2380,5741,274.69,5.33,264.77,275.34,282.64,-0.96
2,565,2630,6562,273.31,5.48,262.76,274.15,281.33,-1.23
2,565,2880,7382,271.96,5.57,261.15,272.85,279.86,-1.54
2,565,3130,8202,270.65,5.65,259.23,271.49,278.38,-1.88
2,565,3380,9022,269.26,5.70,257.66,270.18,276.86,-2.15
2,565,3630,9843,267.83,5.69,256.23,268.93,275.33,-2.37
2,565,3880,10663,266.35,5.75,254.51,267.32,273.81,-2.55
2,565,4130,11483,264.83,5.75,253.06,265.80,272.44,-2.69
2,565,4380,12303,263.23,5.73,251.31,264.26,270.80,-2.74
2,565,4630,13123,261.67,5.69,250.16,262.73,269.20,-2.83
2,565,4880,13944,260.02,5.64,248.52,261.01,267.46,-2.84
2,565,5130,14764,258.30,5.61,247.04,259.14,265.62,-2.78
2,565,5380,15584,256.58,5.60,245.43,257.38,263.96,-2.71
2,565,5630,16404,254.88,5.60,243.65,255.64,262.39,-2.66
2,565,5880,17224,253.11,5.56,242.51,253.82,260.66,-2.55
2,565,6130,18045,251.30,5.54,240.20,252.00,259.01,-2.40
2,565,6380,18865,249.52,5.45,238.98,250.23,257.05,-2.27
2,565,6630,19685,247.73,5.34,237.34,248.42,255.24,-2.14
2,565,6880,20505,245.94,5.23,235.71,246.49,253.60,-2.01
2,565,7130,21325,244.14,5.12,234.20,244.71,251.98,-1.86
2,565,7380,22146,242.32,5.00,233.40,242.87,250.24,-1.69
2,565,7630,22966,240.49,4.88,232.06,240.87,248.15,-1.52
2,565,7880,23786,238.68,4.72,230.54,239.01,246.14,-1.37
2,565,8130,24606,236.87,4.57,228.96,237.16,244.22,-1.21
2,565,8380,25427,235.04,4.46,227.69,235.22,242.51,-1.04
3,614,630,0,289.39,7.94,277.14,288.90,303.00,+0.00
3,614,880,820,288.41,5.71,279.79,287.86,298.93,-0.77
3,614,1130,1640,286.45,5.65,278.01,285.83,297.46,-0.57
3,614,1380,2461,284.40,5.64,276.15,283.87,295.17,-0.27
3,614,1630,3281,282.37,5.59,274.30,281.88,293.00,+0.01
3,614,1880,4101,280.38,5.56,272.47,279.85,290.72,+0.24
3,614,2130,4921,278.43,5.53,270.58,277.88,288.69,+0.44
3,614,2380,5741,276.55,5.50,268.58,276.17,286.67,+0.57
3,614,2630,6562,274.76,5.49,266.68,274.58,284.61,+0.61
3,614,2880,7382,273.10,5.49,264.68,273.04,282.82,+0.51
3,614,3130,8202,271.60,5.50,262.79,271.64,280.83,+0.26
3,614,3380,9022,270.08,5.49,260.90,270.13,279.08,+0.02
3,614,3630,9843,268.60,5.48,259.39,268.64,277.36,-0.25
3,614,3880,10663,267.05,5.48,257.89,267.10,275.75,-0.46
3,614,4130,11483,265.49,5.46,256.13,265.67,274.06,-0.65
3,614,4380,12303,263.86,5.43,254.41,264.11,272.19,-0.77
3,614,4630,13123,262.19,5.41,252.59,262.57,270.26,-0.85
3,614,4880,13944,260.49,5.42,250.71,260.91,268.23,-0.91
3,614,5130,14764,258.80,5.40,249.27,259.38,266.16,-0.98
3,614,5380,15584,257.08,5.40,247.56,257.65,264.49,-1.01
3,614,5630,16404,255.34,5.38,245.65,256.02,263.08,-1.02
3,614,5880,17224,253.55,5.38,244.19,254.24,261.28,-0.98
3,614,6130,18045,251.76,5.35,242.43,252.46,259.16,-0.95
3,614,6380,18865,249.93,5.29,240.46,250.67,257.14,-0.87
3,614,6630,19685,248.10,5.24,238.64,248.80,255.39,-0.79
3,614,6880,20505,246.28,5.17,236.60,246.92,253.45,-0.73
3,614,7130,21325,244.47,5.09,234.78,245.07,251.49,-0.68
3,614,7380,22146,242.65,4.98,233.54,243.23,249.59,-0.61
3,614,7630,22966,240.77,4.90,231.73,241.37,247.39,-0.48
3,614,7880,23786,238.89,4.77,230.42,239.53,245.61,-0.36
3,614,8130,24606,237.06,4.60,229.09,237.61,243.74,-0.27
3,614,8380,25427,235.25,4.37,228.19,235.67,241.71,-0.22
4,584,630,0,294.40,8.03,282.12,294.14,307.29,+0.00
4,584,880,820,293.02,5.42,283.92,293.11,301.75,-0.49
4,584,1130,1640,291.07,5.21,282.24,291.30,299.10,-0.42
4,584,1380,2461,289.02,5.12,280.25,289.26,296.82,-0.25
4,584,1630,3281,286.91,5.06,278.18,287.13,294.62,-0.01
4,584,1880,4101,284.80,5.01,275.84,285.01,292.35,+0.23
4,584,2130,4921,282.71,4.96,274.04,283.01,290.15,+0.44
4,584,2380,5741,280.68,4.89,271.95,281.03,287.92,+0.60
4,584,2630,6562,278.69,4.82,270.01,279.11,285.64,+0.72
4,584,2880,7382,276.75,4.77,267.92,277.17,283.45,+0.78
4,584,3130,8202,274.89,4.72,266.16,275.61,281.58,+0.76
4,584,3380,9022,273.10,4.69,264.64,273.75,279.50,+0.68
4,584,3630,9843,271.42,4.69,262.54,272.19,277.70,+0.49
4,584,3880,10663,269.74,4.63,260.96,270.50,275.89,+0.29
4,584,4130,11483,268.10,4.60,259.23,268.92,274.19,+0.06
4,584,4380,12303,266.51,4.60,257.36,267.35,272.40,-0.23
4,584,4630,13123,264.85,4.64,256.05,265.73,271.10,-0.44
4,584,4880,13944,263.20,4.63,254.21,264.13,269.45,-0.67
4,584,5130,14764,261.55,4.55,252.67,262.30,267.48,-0.89
4,584,5380,15584,259.84,4.54,251.00,260.53,265.62,-1.05
4,584,5630,16404,258.11,4.53,249.09,258.91,263.94,-1.20
4,584,5880,17224,256.31,4.52,247.12,257.14,262.13,-1.27
4,584,6130,18045,254.46,4.49,245.20,255.31,260.27,-1.30
4,584,6380,18865,252.61,4.48,243.73,253.45,258.39,-1.32
4,584,6630,19685,250.77,4.42,242.06,251.61,256.35,-1.35
4,584,6880,20505,248.90,4.39,240.61,249.66,254.62,-1.36
4,584,7130,21325,247.02,4.39,238.83,247.72,252.65,-1.35
4,584,7380,22146,245.14,4.32,237.08,245.79,250.69,-1.35
4,584,7630,22966,243.26,4.20,235.37,243.77,248.49,-1.34
4,584,7880,23786,241.35,4.10,233.62,241.93,246.53,-1.31
4,584,8130,24606,239.46,3.97,232.01,239.93,244.66,-1.29
4,584,8380,25427,237.57,3.83,230.07,238.03,242.72,-1.27
5,607,630,0,298.48,8.07,286.62,297.82,311.02,+0.00
5,607,880,820,297.15,5.72,286.26,297.61,305.77,-0.64
5,607,1130,1640,295.23,5.45,284.93,295.69,303.39,-0.70
5,607,1380,2461,293.19,5.32,282.98,293.94,300.92,-0.62
5,607,1630,3281,291.08,5.22,281.09,292.00,298.36,-0.49
5,607,1880,4101,288.93,5.11,279.24,289.70,296.03,-0.31
5,607,2130,4921,286.81,4.96,277.58,287.50,293.74,-0.16
5,607,2380,5741,284.66,4.84,275.59,285.31,291.37,+0.01
5,607,2630,6562,282.51,4.73,273.70,283.18,289.03,+0.19
5,607,2880,7382,280.40,4.61,272.08,281.04,286.81,+0.33
5,607,3130,8202,278.31,4.51,270.14,278.91,284.63,+0.44
5,607,3380,9022,276.28,4.41,268.30,276.87,282.53,+0.50
5,607,3630,9843,274.31,4.33,266.41,274.90,280.41,+0.50
5,607,3880,10663,272.43,4.23,264.64,273.19,278.48,+0.41
5,607,4130,11483,270.65,4.14,262.89,271.30,276.61,+0.21
5,607,4380,12303,268.96,4.04,261.32,269.60,274.67,-0.07
5,607,4630,13123,267.28,3.99,259.61,267.92,272.78,-0.36
5,607,4880,13944,265.68,3.98,258.12,266.32,271.18,-0.74
5,607,5130,14764,264.07,3.98,256.49,264.67,269.49,-1.10
5,607,5380,15584,262.40,3.98,254.82,262.98,267.74,-1.40
5,607,5630,16404,260.70,4.01,253.20,261.33,266.07,-1.67
5,607,5880,17224,258.97,4.02,251.35,259.59,264.23,-1.91
5,607,6130,18045,257.15,4.00,249.40,257.67,262.43,-2.07
5,607,6380,18865,255.31,3.97,247.46,255.83,260.71,-2.20
5,607,6630,19685,253.45,3.91,245.39,254.00,258.74,-2.31
5,607,6880,20505,251.59,3.90,243.66,252.23,256.81,-2.43
5,607,7130,21325,249.69,3.91,241.57,250.36,255.08,-2.51
5,607,7380,22146,247.79,3.89,240.00,248.36,253.21,-2.58
5,607,7630,22966,245.90,3.84,238.31,246.53,251.32,-2.65
5,607,7880,23786,243.98,3.80,236.57,244.56,249.32,-2.71
5,607,8130,24606,242.07,3.73,234.80,242.64,247.42,-2.77
5,607,8380,25427,240.18,3.62,233.39,240.68,245.40,-2.85
6,592,630,0,304.82,9.66,292.57,304.89,316.97,+0.00
6,592,880,820,303.74,5.06,294.96,303.81,311.51,-1.05
6,592,1130,1640,301.89,4.66,293.45,302.24,308.56,-1.32
6,592,1380,2461,299.90,4.46,291.92,300.44,306.23,-1.46
6,592,1630,3281,297.83,4.29,290.20,298.35,303.84,-1.52
6,592,1880,4101,295.71,4.16,288.28,296.20,301.54,-1.52
6,592,2130,4921,293.52,4.06,286.23,294.05,299.20,-1.46
